,B4GALT3 (8703)
ACH-000004,-0.21545206609605905
ACH-000005,-0.14904516237413645
ACH-000007,-0.4486696598860324
ACH-000009,-0.35319598722016515
ACH-000011,-0.4476189269643121
ACH-000012,-0.3072202295490021
ACH-000013,-0.2377908919145511
ACH-000014,-0.3776271266644395
ACH-000015,-0.3961672396899796
ACH-000017,-0.2791864308973964
ACH-000018,-0.409181510805242
ACH-000019,-0.3837543664229781
ACH-000021,-0.1941265485910809
ACH-000022,-0.2850996583997589
ACH-000025,-0.39119653102882457
ACH-000028,-0.14846193726940515
ACH-000030,-0.2866872480003593
ACH-000035,-0.2249889370375072
ACH-000036,-0.5490350764461
ACH-000037,-0.16292328143903625
ACH-000039,-0.2374516418322109
ACH-000040,-0.09043505319291056
ACH-000041,-0.26461739898992226
ACH-000042,-0.24587353605852766
ACH-000045,-0.23476350998927345
ACH-000047,-0.26060625580938906
ACH-000052,-0.3284370223918675
ACH-000053,-0.2671402023344674
ACH-000054,-0.17757917105340493
ACH-000055,-0.07396198555180455
ACH-000060,-0.2985956538138264
ACH-000067,-0.14000121874716528
ACH-000070,-0.22144499863019404
ACH-000075,-0.3240463376632368
ACH-000078,-0.19765250881401167
ACH-000082,-0.3603441009214904
ACH-000085,-0.2563452377759413
ACH-000086,-0.4177453605414511
ACH-000087,-0.34442129029641005
ACH-000092,-0.3331674450639799
ACH-000095,-0.3054686942378436
ACH-000097,-0.3456313664810599
ACH-000098,-0.3316466007941892
ACH-000099,-0.232821862156428
ACH-000108,-0.2991194549297071
ACH-000113,-0.42378316404055655
ACH-000116,-0.2464235902907657
ACH-000118,-0.1010920386102816
ACH-000120,-0.19672511249878705
ACH-000123,-0.3510687826044981
ACH-000127,-0.26614370980933216
ACH-000128,-0.2337116380049294
ACH-000132,-0.33539245521821986
ACH-000133,-0.42633319712328943
ACH-000137,-0.2320414323511404
ACH-000138,-0.2174952948841192
ACH-000142,-0.4645209707235237
ACH-000143,-0.32620976924808937
ACH-000146,-0.2373538621963084
ACH-000148,-0.2822854261526833
ACH-000150,-0.0794599643498068
ACH-000152,-0.19255569170065032
ACH-000153,-0.4122145897093332
ACH-000159,-0.2850335599354599
ACH-000160,-0.2884543461557689
ACH-000163,-0.18768189360554585
ACH-000167,0.04770155486426751
ACH-000168,-0.39421237076986704
ACH-000169,-0.35277058936472155
ACH-000178,-0.2504371577614607
ACH-000183,-0.5374867965783353
ACH-000188,-0.1938884817015817
ACH-000189,-0.6491009437785316
ACH-000190,-0.22040461645068712
ACH-000198,-0.3210949901990467
ACH-000203,0.00175067801774395
