,PCBP1 (5093)
ACH-000004,-0.8585885124838792
ACH-000005,-1.1880155166101531
ACH-000007,-0.9946317360706958
ACH-000009,-1.132413635895374
ACH-000011,-1.2799038176927082
ACH-000012,-1.173392047801872
ACH-000013,-0.7612418887427687
ACH-000014,-1.0733954374019934
ACH-000015,-0.8323088476703143
ACH-000017,-1.2588172029313405
ACH-000018,-1.0237514668074938
ACH-000019,-1.0024698771812195
ACH-000021,-1.0206565082463674
ACH-000022,-0.9448972733814638
ACH-000025,-1.0928780762951478
ACH-000028,-0.9948532408158456
ACH-000030,-1.1486875720251608
ACH-000035,-0.8676639025409832
ACH-000036,-1.1018894888342805
ACH-000037,-0.907783281912433
ACH-000039,-1.2921796147560525
ACH-000040,-1.1855532688869526
ACH-000041,-1.0185384250527587
ACH-000042,-1.1897785442579714
ACH-000045,-1.0272149152186754
ACH-000047,-1.0669097850704476
ACH-000052,-1.0492921384029574
ACH-000053,-0.9837624826268632
ACH-000054,-1.1311098686978986
ACH-000055,-1.078809328544731
ACH-000060,-1.2460268219213264
ACH-000067,-0.9955078134064782
ACH-000070,-0.7270808927423354
ACH-000075,-1.0138041323188676
ACH-000078,-0.8705438450872204
ACH-000082,-1.2581353860844235
ACH-000085,-1.3108170793294531
ACH-000086,-1.0368229965400846
ACH-000087,-1.0244078650465285
ACH-000092,-1.0439222899132297
ACH-000095,-0.6884963032779923
ACH-000097,-1.0744227976631506
ACH-000098,-0.8364727138446642
ACH-000099,-0.9266975289768902
ACH-000108,-1.0542649976602556
ACH-000113,-0.9087566753950352
ACH-000116,-1.063744730201005
ACH-000118,-1.3678479412853892
ACH-000120,-0.9727017805716686
ACH-000123,-0.9661288463704512
ACH-000127,-1.1658299756886594
ACH-000128,-0.7309852286303112
ACH-000132,-0.37536157822356303
ACH-000133,-1.0770003711592664
ACH-000137,-0.914061129340578
ACH-000138,-1.0559737096922068
ACH-000142,-0.8734859711308043
ACH-000143,-1.0462085592706285
ACH-000146,-0.7575971178319428
ACH-000148,-1.1148230978192704
ACH-000150,-1.0420591705769722
ACH-000152,-1.0925769857710277
ACH-000153,-1.3477139821674504
ACH-000159,-0.9179550279548008
ACH-000160,-0.9252432968919828
ACH-000163,-1.024007642070011
ACH-000167,-1.3201800491765634
ACH-000168,-0.6635906803536448
ACH-000169,-0.9921578339128984
ACH-000178,-1.098279028931189
ACH-000183,-0.9232226959346608
ACH-000188,-1.2097697487010648
ACH-000189,-0.9737244489210544
ACH-000190,-1.4026705423872108
ACH-000198,-1.1289435034062485
ACH-000203,-1.3913261239716117
ACH-000204,-1.05102615215851
ACH-000206,-1.4542355144331058
ACH-000207,-1.4922218595717334
ACH-000208,-1.1452812397410903
ACH-000210,-0.7506265852354747
ACH-000211,-0.9258761618236594
ACH-000215,-1.083313482826483
ACH-000221,-0.8941616675971216
ACH-000222,-1.2385988440279692
ACH-000223,-1.0424054142162271
ACH-000226,-1.0714310063167911
ACH-000227,-0.8096440933535958
ACH-000228,-0.6738108320862924
ACH-000231,-1.095067885651593
ACH-000232,-0.6326220046024639
ACH-000233,-1.2373649324983689
ACH-000234,-0.6780470654410621
ACH-000235,-1.0691184711055035
ACH-000237,-1.1782768172605511
ACH-000238,-1.4211589020600732
ACH-000242,-0.8602450368996277
ACH-000243,-1.2850049341640115
ACH-000244,-0.7951064278089389
ACH-000246,-1.1129406439561895
ACH-000248,-1.168538283869978
ACH-000250,-1.2290123890472409
ACH-000251,-1.123883051065795
ACH-000252,-1.2032853085335664
ACH-000253,-1.1248019258918291
ACH-000255,-1.1055134420561836
ACH-000256,-0.9056881280035142
ACH-000257,-0.9637362363372224
ACH-000258,-1.1142547087508643
ACH-000259,-1.2175974102445384
ACH-000260,-1.0100762625832334
ACH-000261,-1.0180914828184449
ACH-000262,-1.057973837960583
ACH-000263,-0.9039287287900803
ACH-000264,-1.227421024941793
ACH-000265,-1.1670082961481392
ACH-000266,-1.168770593176948
ACH-000272,-0.780952564952029
ACH-000274,-0.8825253892767536
ACH-000277,-1.339440403331175
ACH-000278,-1.0757830562948825
ACH-000279,-1.3223889962149284
ACH-000280,-1.2919803098781442
ACH-000281,-0.9002155038034745
ACH-000288,-1.1336666840464455
ACH-000291,-0.6674831923478167
ACH-000293,-0.5852621604441849
ACH-000294,-1.331977627958291
