,OS9 (10956)
ACH-000004,-0.29132657551943125
ACH-000005,-0.2624678381850197
ACH-000007,-0.23514053452543754
ACH-000009,-0.29056887842949103
ACH-000011,-0.07306052163787978
ACH-000012,-0.4598876118192245
ACH-000013,-0.1998181070733742
ACH-000014,-0.17605445272144668
ACH-000015,-0.3635986979953617
ACH-000017,-0.2468399112793571
ACH-000018,-0.44266572961469697
ACH-000019,-0.04646992840833255
ACH-000021,-0.2972132735156488
ACH-000022,-0.2684656165694761
ACH-000025,-0.2688225385906085
ACH-000028,-0.16097516789606953
ACH-000030,-0.222370711549878
ACH-000035,-0.3006935820678916
ACH-000036,-0.23274244343625214
ACH-000037,-0.29029169651730097
ACH-000039,-0.29556887936922344
ACH-000040,-0.24489162863078304
ACH-000041,-0.3955288734813111
ACH-000042,-0.19799291068587768
ACH-000045,-0.2676212900964555
ACH-000047,-0.17756563535868722
ACH-000052,-0.4050132555721297
ACH-000053,-0.2569744833337208
ACH-000054,-0.2297850681004533
ACH-000055,-0.1940380932843826
ACH-000060,-0.08452630114249553
ACH-000067,-0.22668150727868014
ACH-000070,-0.24311267511561066
ACH-000075,-0.2661159132592163
ACH-000078,-0.15633619933062265
ACH-000082,-0.3758755401524228
ACH-000085,-0.2719466215499584
ACH-000086,-0.4517079778653823
ACH-000087,-0.3337022400275845
ACH-000092,-0.1586525983062516
ACH-000095,-0.2003932405006512
ACH-000097,-0.2467449947486757
ACH-000098,-0.13428005984335936
ACH-000099,-0.19447907011062252
ACH-000108,-0.11982049997553434
ACH-000113,-0.2405762947179069
ACH-000116,-0.20361185486189415
ACH-000118,-0.3341558446484416
ACH-000120,-0.24143306766504924
ACH-000123,-0.37781524189594906
ACH-000127,-0.17745799640353574
ACH-000128,-0.4251955351369727
ACH-000132,-0.07007401833760532
ACH-000133,-0.38346251282150906
ACH-000137,-0.16351267827885502
ACH-000138,-0.2668483309774951
ACH-000142,-0.31166234439974544
ACH-000143,-0.2517408712908392
ACH-000146,-0.16096676991504902
ACH-000148,-0.2983283696685924
ACH-000150,-0.3409238959561521
ACH-000152,-0.37761487080947204
ACH-000153,-0.492686433535766
ACH-000159,-0.2270968805680067
ACH-000160,-0.2634880009301915
ACH-000163,-0.3194324396264753
ACH-000167,-0.4154871711400925
ACH-000168,-0.23385027850034484
ACH-000169,-0.17384735833704956
ACH-000178,-0.25490548842721616
ACH-000183,-0.2465150755065629
ACH-000188,-0.2594693594178207
ACH-000189,-0.4292989548971271
ACH-000190,-0.1689096876369874
ACH-000198,-0.22959624401530596
ACH-000203,-0.19716876712242265
ACH-000204,-0.39972293279458987
ACH-000206,-0.23128292113945115
ACH-000207,-0.3870174764498107
ACH-000208,-0.5485051705679372
ACH-000210,-0.1772508222524863
ACH-000211,-0.22216351155368044
ACH-000215,-0.22823577744371046
ACH-000221,-0.2482696913381227
ACH-000222,-0.0711148266553784
ACH-000223,-0.1738239016064075
ACH-000226,-0.1216696339458034
ACH-000227,-0.15627133867971293
ACH-000228,-0.2618424781782701
ACH-000231,-0.2112155276701619
ACH-000232,-0.3048407193454947
ACH-000233,-0.2346604007170171
ACH-000234,-0.4946160223817821
ACH-000235,-0.25075908274609154
ACH-000237,-0.07084520511204641
ACH-000238,-0.2984724251904654
ACH-000242,-0.11623915680274895
ACH-000243,-0.18239002981584132
ACH-000244,-0.2806349616633784
ACH-000246,-0.2587983475576053
ACH-000248,-0.25432505492064594
ACH-000250,-0.15226625191018048
ACH-000251,-0.3683464126225106
ACH-000252,-0.3398371822542127
ACH-000253,-0.09371911277957794
ACH-000255,-0.1685926612849587
ACH-000256,-0.2824831242835066
ACH-000257,-0.2666895884390171
ACH-000258,-0.040017202652842636
ACH-000259,-0.225555732424728
ACH-000260,-0.2406292826906921
ACH-000261,-0.2825243954218597
ACH-000262,-0.1116205485908128
ACH-000263,-0.33716005657838016
ACH-000264,-0.22613200880291956
ACH-000265,-0.23921132054357114
ACH-000266,-0.22517352300517607
ACH-000272,-0.12856150875107414
ACH-000274,-0.2630555950443144
ACH-000277,-0.2237748541609243
ACH-000278,-0.3809368692002054
ACH-000279,-0.3104961426965457
ACH-000280,-0.2435208345782064
ACH-000281,-0.25251766472999604
ACH-000288,-0.3190542537947467
ACH-000291,-0.21958707848508666
ACH-000293,-0.0392010993013703
ACH-000294,-0.16804735394674125
ACH-000295,-0.15432584676679012
ACH-000296,-0.27944537679014897
ACH-000302,-0.1515821683436082
ACH-000304,-0.4212088785518585
ACH-000307,-0.2017032537940213
ACH-000308,-0.2744437042410949
ACH-000310,-0.11772260471214732
ACH-000311,-0.16073158569644114
ACH-000312,-0.2487953173904308
ACH-000315,0.03282085239142216
ACH-000316,-0.3913958510316362
ACH-000317,-0.14737335870158552
ACH-000318,-0.3947910932804304
ACH-000319,-0.28283629539670563
ACH-000320,-0.19187191161004385
ACH-000322,-0.28305987001975946
ACH-000323,-0.15081722426355096
ACH-000324,-0.21821020997515791
ACH-000329,-0.2810826736055905
ACH-000330,-0.21239641501575304
ACH-000331,-0.2685159618635949
ACH-000332,-0.1929937553762008
ACH-000334,-0.3114366161426054
ACH-000335,-0.15646976975974192
