,IL18 (3606)
ACH-000004,-0.0980265479189332
ACH-000005,-0.2772136258760657
ACH-000007,-0.2387182851870565
ACH-000009,-0.22260174359616391
ACH-000011,-0.019442017635515837
ACH-000012,-0.13083974564166076
ACH-000013,-0.1903931517633683
ACH-000014,-0.2461172313326052
ACH-000015,-0.1453266501596335
ACH-000017,-0.17637068744545048
ACH-000018,-0.22488050779420546
ACH-000019,-0.17105454897945513
ACH-000021,-0.09569822800839244
ACH-000022,-0.1482741667459706
ACH-000025,-0.21963349158999948
ACH-000028,-0.13297723631071626
ACH-000030,-0.1432708415207356
ACH-000035,-0.09923847056105282
ACH-000036,-0.13055401102288247
ACH-000037,-0.1953777115602708
ACH-000039,-0.11794146434809152
ACH-000040,-0.12012589647694474
ACH-000041,-0.19235897747697064
ACH-000042,-0.1139771535548507
ACH-000045,-0.2557805330939062
ACH-000047,-0.13739574343443253
ACH-000052,-0.08037887592885817
ACH-000053,-0.1977280711580503
ACH-000054,-0.1354727733133919
ACH-000055,-0.1598839404436742
ACH-000060,-0.1856818972495569
ACH-000067,-0.08752220583135281
ACH-000070,-0.3578959642803455
ACH-000075,-0.19527535270761506
ACH-000078,-0.2134245994642136
ACH-000082,-0.19426102267870785
ACH-000085,-0.2170424773247767
ACH-000086,-0.2010565413987448
ACH-000087,-0.15343550078280974
ACH-000092,-0.17282685765297956
ACH-000095,-0.16214159827543986
ACH-000097,-0.1885388024136641
ACH-000098,-0.1589162382018229
ACH-000099,-0.11697658651606625
ACH-000108,-0.19037589705757127
ACH-000113,-0.28955171923046674
ACH-000116,-0.29268416676851955
ACH-000118,-0.07750418591220938
ACH-000120,-0.021484080006064388
ACH-000123,-0.14374175947426826
ACH-000127,-0.2344255794977252
ACH-000128,-0.08802669381690145
ACH-000132,-0.2809813080387261
ACH-000133,-0.1744032656555259
ACH-000137,-0.2294193523643545
ACH-000138,-0.25053064299346695
ACH-000142,-0.25050223573342617
ACH-000143,-0.118820213738942
ACH-000146,-0.1831920753202544
ACH-000148,-0.21971281178993354
ACH-000150,-0.2235817628729256
ACH-000152,-0.20144651416564954
ACH-000153,-0.12897800348261376
ACH-000159,-0.04921941508314224
ACH-000160,-0.2723956358718909
ACH-000163,-0.2233296202833531
ACH-000167,-0.2944617203720657
ACH-000168,-0.3660123391614876
ACH-000169,-0.2495219791455588
ACH-000178,-0.052423066039730716
ACH-000183,-0.13877629736486188
ACH-000188,-0.20158542419632736
ACH-000189,-0.2491179102337163
ACH-000190,-0.17560150069378833
ACH-000198,-0.3132283686703838
ACH-000203,-0.08782587063596155
ACH-000204,-0.05197770829107688
ACH-000206,-0.07162153292407418
ACH-000207,-0.2418425118692589
ACH-000208,0.1706680675682666
ACH-000210,-0.3470862062107743
ACH-000211,-0.21632217297729844
ACH-000215,-0.1862679526754051
ACH-000221,-0.14834768111634306
ACH-000222,-0.16956605986548154
ACH-000223,-0.18569617244026154
ACH-000226,-0.1603351496924493
ACH-000227,-0.5265006652029653
ACH-000228,-0.278451270123506
ACH-000231,-0.17843499744572788
ACH-000232,-0.1782096159204555
ACH-000233,-0.18888103269168116
ACH-000234,-0.23735473771058235
ACH-000235,-0.2186879045431025
ACH-000237,-0.12283099824160384
ACH-000238,-0.1278339225779002
ACH-000242,-0.00864186823642532
ACH-000243,-0.12168422747346558
ACH-000244,-0.26757666847754263
ACH-000246,-0.1224188244586965
ACH-000248,-0.2566014196036446
