,FANCM (57697)
ACH-000004,0.0992068990379298
ACH-000005,-0.011720702332707236
ACH-000007,-0.4588702414671826
ACH-000009,-0.2289177928177479
ACH-000011,-0.4677374111270582
ACH-000012,-0.2136337841453487
ACH-000013,-0.27893252438461064
ACH-000014,-0.44107431210906395
ACH-000015,-0.050682591677217434
ACH-000017,-0.31693838258114304
ACH-000018,-0.05520964994849554
ACH-000019,-0.2620579445316482
ACH-000021,-0.3785651132716683
ACH-000022,-0.12832113517748692
ACH-000025,-0.4544545022129896
ACH-000028,-0.4514708729431369
ACH-000030,-0.18549462238916894
ACH-000035,-0.27149860206947524
ACH-000036,-0.5016357223148791
ACH-000037,-0.3190971781684621
ACH-000039,-0.3208556268545984
ACH-000040,-0.25211485586364113
ACH-000041,-0.1018246206606692
ACH-000042,-0.15629583670414454
ACH-000045,-0.3472529976774179
ACH-000047,-0.4939427836671455
ACH-000052,-0.5177389948565261
ACH-000053,-0.10689133303588157
ACH-000054,-0.19565830098567635
ACH-000055,-0.15729078732868385
ACH-000060,-0.25050050771381965
ACH-000067,-0.3490294121199445
ACH-000070,-0.4017444854050228
ACH-000075,-0.3679065369555614
ACH-000078,-0.3763509791649042
ACH-000082,-0.4253561961479419
ACH-000085,-0.2139758555654709
ACH-000086,-0.2320956504893069
ACH-000087,-0.07942240385417253
ACH-000092,-0.5437436323733149
ACH-000095,-0.10676603991818323
ACH-000097,-0.29726694273746435
ACH-000098,-0.19988170682402084
ACH-000099,-0.3087990658469236
ACH-000108,-0.23203760521809424
ACH-000113,-0.4888102585654569
ACH-000116,-0.43254082655926224
ACH-000118,-0.5411435192334769
ACH-000120,-0.2613359608089157
ACH-000123,-0.15236193981045007
ACH-000127,-0.2637984008357623
ACH-000128,-0.12271853985715794
ACH-000132,-0.7569836278505683
ACH-000133,-1.0640081565740878
ACH-000137,-0.29220712129904364
ACH-000138,-0.036828408124931634
ACH-000142,-0.35817973056689045
ACH-000143,-0.31775207485182017
ACH-000146,-0.3378046669344939
ACH-000148,-0.43268891347200783
ACH-000150,-0.1281233110263173
ACH-000152,-0.5263604826776667
ACH-000153,-0.2720063254587008
ACH-000159,-0.2698747156915017
ACH-000160,-0.1502595223126152
ACH-000163,-0.1652456389584082
ACH-000167,0.04634078084393997
ACH-000168,-0.13498977828437106
ACH-000169,-0.16531201670194787
ACH-000178,-0.10758211330563848
ACH-000183,-0.13961321523401676
ACH-000188,-0.37398049118923177
ACH-000189,-0.6769852843047252
ACH-000190,-0.5011816535345517
ACH-000198,-0.09910702170606643
ACH-000203,-0.5480268440111746
ACH-000204,-0.18693034088733348
ACH-000206,-0.20325993368463816
ACH-000207,-0.014026402787896543
ACH-000208,-0.3535633975732113
ACH-000210,-0.06383380868386307
ACH-000211,-0.4554593706661851
ACH-000215,-0.16690059926333803
ACH-000221,-0.2337327887126673
ACH-000222,-0.1236019470572856
ACH-000223,-0.24408722468512584
ACH-000226,-0.5905581315940716
ACH-000227,-0.055053365380030105
ACH-000228,-0.5710577525881904
ACH-000231,-0.4924019143932011
ACH-000232,-0.2668667651123115
ACH-000233,-0.13538140414918487
ACH-000234,-0.1691578153618141
ACH-000235,-0.12986350770910848
ACH-000237,-0.3647266468392278
ACH-000238,-0.1364217912475045
ACH-000242,-0.13395507069047147
ACH-000243,-0.3889217888420107
ACH-000244,-0.13725062845806354
ACH-000246,-0.4584670361009803
ACH-000248,-0.3163733537774283
ACH-000250,-0.29250907358344824
ACH-000251,-0.18199132858217154
ACH-000252,-0.06646220370406823
ACH-000253,-0.1884563265266009
ACH-000255,-0.5919685152737832
ACH-000256,-0.4399568107348889
ACH-000257,-0.2651225652560652
ACH-000258,-0.27726789749299896
ACH-000259,-0.6286783547952058
ACH-000260,-0.11325047097486125
ACH-000261,-0.3475154622712188
ACH-000262,-0.34982399788594776
ACH-000263,0.03619110992124551
ACH-000264,-0.14089741372466827
