,KPRP (448834)
ACH-000004,0.14096430100554794
ACH-000005,0.23358748099135676
ACH-000007,0.1807072624849463
ACH-000009,0.030837745044996964
ACH-000011,0.07251271386881206
ACH-000012,0.12547041575992518
ACH-000013,0.1312095346215087
ACH-000014,0.10472651152187312
ACH-000015,0.016359136939494704
ACH-000017,0.14893519703080518
ACH-000018,0.1119417438398067
ACH-000019,0.125710903251603
ACH-000021,0.0658284500898459
ACH-000022,0.1250974582615566
ACH-000025,0.04878598620306535
ACH-000028,0.00775685186068577
ACH-000030,0.09336710562002347
ACH-000035,0.0058245295609552755
ACH-000036,0.1327873052375879
ACH-000037,0.16016469106827386
ACH-000039,0.059315579734142684
ACH-000040,0.10244353044866553
ACH-000041,0.3084217777676889
ACH-000042,0.15013046823114853
ACH-000045,0.1067439376812037
ACH-000047,0.20735508048630766
ACH-000052,0.1318280596922094
ACH-000053,0.09697503406074824
ACH-000054,0.11393015547215005
ACH-000055,0.07048310737644715
ACH-000060,0.17945893331311993
ACH-000067,0.09202074568688827
ACH-000070,0.10064374033541976
ACH-000075,0.1485920182496176
ACH-000078,-0.000897491173472789
ACH-000082,-0.02805928618470641
ACH-000085,0.041766938156107145
ACH-000086,-0.046087944280303016
ACH-000087,0.06533795771581302
ACH-000092,0.06503005939847988
ACH-000095,0.17556087422880978
ACH-000097,0.15166430674869516
ACH-000098,0.09568622449917936
ACH-000099,0.1759577415061442
ACH-000108,0.18370450302815367
ACH-000113,0.1409965546017971
ACH-000116,0.021315731431847697
ACH-000118,0.03582004329130887
ACH-000120,0.06036327184031388
ACH-000123,0.19385370482180536
ACH-000127,0.1033402794494226
ACH-000128,0.20965804353786088
ACH-000132,0.0851297799988274
ACH-000133,0.19064262074537
ACH-000137,0.12926596841961066
ACH-000138,0.11640376845133565
ACH-000142,0.1598523900305466
ACH-000143,0.22470654079905314
ACH-000146,0.0905918530985347
ACH-000148,0.05542703043583227
ACH-000150,0.16764305479004527
ACH-000152,0.0781669340454082
ACH-000153,0.16640707100579538
ACH-000159,0.07828133935089962
ACH-000160,0.10669105382601628
ACH-000163,0.07331117236758428
ACH-000167,0.1473019337185309
ACH-000168,0.2381931144678413
ACH-000169,0.07778613971192654
