,BUB1 (699)
ACH-000004,-0.7282141864862021
ACH-000005,-0.3581092027343179
ACH-000007,-0.5146852665838122
ACH-000009,-0.6764572216835019
ACH-000011,-0.5372792653305902
ACH-000012,-0.6384303573387576
ACH-000013,-0.5347561181057598
ACH-000014,-0.6390827294359702
ACH-000015,-0.5002773413933872
ACH-000017,-0.4907354853368834
ACH-000018,-0.5902851724696654
ACH-000019,-0.5738036881325169
ACH-000021,-0.6290521332782011
ACH-000022,-0.6937367235978299
ACH-000025,-0.4014518396078774
ACH-000028,-0.573031343281964
ACH-000030,-0.5900165943259336
ACH-000035,-0.6417928015199357
ACH-000036,-0.721241155977125
ACH-000037,-0.3218655498827228
ACH-000039,-0.36055488457319945
ACH-000040,-0.5775106009101147
ACH-000041,-0.6229153760643998
ACH-000042,-0.4968120125399006
ACH-000045,-0.4057967780568856
ACH-000047,-1.0189855789792233
ACH-000052,-0.5675303839204848
ACH-000053,-0.5307463407798143
ACH-000054,-0.5617987904550263
ACH-000055,-0.7082946303386872
ACH-000060,-0.4950822989760122
ACH-000067,-0.5379772338197225
ACH-000070,-0.4085766143249396
ACH-000075,-0.6380857795816435
ACH-000078,-0.3484283326162288
ACH-000082,-0.4381817716298548
ACH-000085,-0.7976098893838202
ACH-000086,-0.6617661621529265
ACH-000087,-0.551188320112542
ACH-000092,-0.5343490477715216
ACH-000095,-0.5716511171004813
ACH-000097,-0.5709988938494928
ACH-000098,-0.7187251871784255
ACH-000099,-0.44733835212943
ACH-000108,-0.6841978525393363
ACH-000113,-0.5537851829450819
ACH-000116,-0.633544174290449
ACH-000118,-0.5933165550974014
ACH-000120,-0.6962249124467702
ACH-000123,-0.6228228500402908
ACH-000127,-0.5225585124658578
ACH-000128,-0.4726539736838585
ACH-000132,-0.7990963331940201
ACH-000133,-0.6805619699547301
ACH-000137,-0.7645830265094472
ACH-000138,-0.489961054567379
ACH-000142,-0.6293280179618556
ACH-000143,-0.6906984587735262
ACH-000146,-0.5485144422482053
ACH-000148,-0.6614578681525206
ACH-000150,-0.4295808439996259
ACH-000152,-0.7074551064535078
ACH-000153,-0.7304093746106548
ACH-000159,-0.5512660759975421
ACH-000160,-0.3602850614598009
ACH-000163,-0.5078237013947109
ACH-000167,-0.37076231686297256
ACH-000168,-0.45904729818156703
ACH-000169,-0.6151157266091823
ACH-000178,-0.5966756059350691
ACH-000183,-0.6977634727406179
ACH-000188,-0.4981495923947696
ACH-000189,-0.7680074819511177
ACH-000190,-0.3571612348765518
ACH-000198,-0.5533622051075915
ACH-000203,-1.0366623397095214
ACH-000204,-0.5976033529352199
ACH-000206,-0.585411171292077
ACH-000207,-0.565000039390921
ACH-000208,-0.40366917448670303
ACH-000210,-0.4932543280716861
ACH-000211,-0.6322626216679872
ACH-000215,-0.6150465813004499
ACH-000221,-0.7123331170602111
ACH-000222,-0.6237772614268332
ACH-000223,-0.7511487890479519
