,GRIN2A (2903)
ACH-000004,-0.18913202354572092
ACH-000005,-0.08862964611650752
ACH-000007,-0.0992387556613486
ACH-000009,-0.08233371237003773
ACH-000011,-0.19563021331700486
ACH-000012,-0.13169256602758386
ACH-000013,-0.2421470978790753
ACH-000014,-0.15657848122135767
ACH-000015,-0.34213425384103885
ACH-000017,-0.20901122634149288
ACH-000018,-0.2271890808699947
ACH-000019,-0.16400903007338066
ACH-000021,-0.2595991655378125
ACH-000022,-0.2314380476063212
ACH-000025,-0.1833082359757629
ACH-000028,-0.1765333862932187
ACH-000030,-0.04788305994264769
ACH-000035,-0.16770223420238173
ACH-000036,-0.20888497062357425
ACH-000037,-0.15728170685315
ACH-000039,-0.1404178166325617
ACH-000040,-0.09882078214397168
ACH-000041,0.04026742859563878
ACH-000042,-0.18905785932157124
ACH-000045,-0.1903218785161596
ACH-000047,-0.14867113260199122
ACH-000052,-0.13187824383367222
ACH-000053,-0.189376179963619
ACH-000054,-0.21823502238742692
ACH-000055,-0.21488888082143026
ACH-000060,-0.09961483886768244
ACH-000067,-0.05335037209791947
ACH-000070,-0.2331008860370843
ACH-000075,-0.288593899534396
ACH-000078,-0.1218734122355631
ACH-000082,-0.20359196428016565
ACH-000085,-0.17003739204599885
ACH-000086,-0.09016393145878386
ACH-000087,0.06320104987740055
ACH-000092,-0.005064755879597209
ACH-000095,-0.08674483322673343
ACH-000097,-0.20545871937737692
ACH-000098,-0.2566604271001457
ACH-000099,-0.09939613849731578
ACH-000108,-0.17269723156441474
ACH-000113,-0.1889365352560063
ACH-000116,-0.18753644276423007
ACH-000118,-0.2510526776666491
ACH-000120,-0.30272130421063703
ACH-000123,-0.10244207247222983
ACH-000127,-0.3529343445173623
ACH-000128,-0.04792300939503436
ACH-000132,-0.14023545245506466
ACH-000133,-0.24409753231368655
ACH-000137,-0.256552176870894
ACH-000138,-0.18395232635410486
ACH-000142,-0.16846720404794516
ACH-000143,-0.25571122269901003
ACH-000146,-0.2804209368757894
ACH-000148,-0.19660094916541948
ACH-000150,-0.1387152666552351
ACH-000152,-0.20782217371522735
ACH-000153,-0.2475786305625439
ACH-000159,-0.17318575704644731
ACH-000160,-0.15562602482889168
ACH-000163,-0.10380175384069673
ACH-000167,0.022103335615124974
ACH-000168,-0.08723575854874044
ACH-000169,-0.08384476754306437
ACH-000178,-0.22022161799706635
ACH-000183,-0.18225085409475866
ACH-000188,-0.07075924553360002
ACH-000189,-0.1995614883694744
ACH-000190,-0.18021730005709366
ACH-000198,-0.32732579446133153
ACH-000203,-0.12368371537703395
ACH-000204,-0.21040517393470604
ACH-000206,-0.273052350207167
ACH-000207,-0.10957763681198177
ACH-000208,-0.17368089752737295
ACH-000210,-0.21485498277134846
ACH-000211,-0.12236395574369315
ACH-000215,-0.19280320984381996
ACH-000221,-0.18500903803766336
ACH-000222,-0.23988400578797894
ACH-000223,-0.0571571515249534
ACH-000226,-0.11417791917207425
ACH-000227,-0.09875694562094048
ACH-000228,-0.2096109615894062
ACH-000231,-0.26356003711053483
ACH-000232,-0.28219347793693295
ACH-000233,-0.14938185041663835
ACH-000234,-0.08464023683825543
ACH-000235,-0.2219049748631341
ACH-000237,-0.24937741604512026
ACH-000238,0.1048377303150077
ACH-000242,-0.586802279416737
ACH-000243,-0.3035738632441779
ACH-000244,-0.2009038416448835
ACH-000246,-0.20290712595379531
ACH-000248,-0.3062853963364195
ACH-000250,-0.2370126039156526
ACH-000251,-0.02604523123579611
ACH-000252,-0.21741967681239466
ACH-000253,-0.22673901365848384
ACH-000255,0.033458445936472625
ACH-000256,-0.16519342516922822
ACH-000257,-0.30176372693613
ACH-000258,-0.10250643666519793
ACH-000259,-0.1934632305227422
ACH-000260,-0.3020446313933043
ACH-000261,-0.20559637862928248
ACH-000262,-0.21687432024257425
ACH-000263,-0.2071924283051108
ACH-000264,-0.146115297479274
ACH-000265,-0.2766045086014688
ACH-000266,-0.16674636401898638
ACH-000272,-0.27185252225570433
ACH-000274,-0.2264710230826927
ACH-000277,-0.2432848491465756
ACH-000278,-0.04778500588776954
ACH-000279,-0.2431481373972057
ACH-000280,-0.21184066146247976
ACH-000281,-0.22588269922095566
ACH-000288,-0.12038949615363333
ACH-000291,-0.2556748887826729
ACH-000293,-0.13847322157454905
ACH-000294,-0.14021717583495685
ACH-000295,-0.23428333103502705
ACH-000296,-0.025073361147418104
ACH-000302,-0.12355723795056388
ACH-000304,-0.07335326486835947
ACH-000307,-0.2343225155000365
ACH-000308,-0.1792603156141482
ACH-000310,-0.25038244094379075
ACH-000311,-0.2828572273005831
ACH-000312,-0.2268948067281412
ACH-000315,-0.108372683964404
ACH-000316,-0.23858265666801798
ACH-000317,-0.3008146657655276
ACH-000318,-0.1672783977067328
ACH-000319,-0.23417280414260055
ACH-000320,-0.13873975442235875
ACH-000322,-0.13585864452857574
ACH-000323,-0.19069277739500495
ACH-000324,-0.1473988670823681
ACH-000329,-0.18416421741944652
ACH-000330,-0.2901571799696733
ACH-000331,-0.21154465631051064
ACH-000332,-0.2696347246831872
ACH-000334,-0.2266056814433867
ACH-000335,-0.1989692408651184
ACH-000336,-0.2252378027561752
ACH-000337,-0.27485854703772505
ACH-000338,-0.09107781197556343
ACH-000339,-0.17791085137586482
ACH-000341,-0.20854512941621234
ACH-000348,-0.14857062517717545
ACH-000350,-0.2335053278246529
ACH-000352,-0.1925681301536472
ACH-000356,-0.16170479013722186
ACH-000361,-0.08130059001889374
ACH-000362,-0.2297880062228236
ACH-000363,-0.2848531914105273
ACH-000364,-0.12404759386685325
ACH-000365,-0.09923084478466528
ACH-000366,-0.26614903166420945
ACH-000368,-0.179823101161994
ACH-000374,-0.06205188604506767
ACH-000375,-0.29913835859927274
ACH-000376,-0.1455025155683555
ACH-000381,0.01937816128715997
ACH-000383,-0.15497074646771114
ACH-000387,-0.08604072904645069
ACH-000389,-0.09440473642230338
ACH-000390,-0.2053599161301853
ACH-000393,-0.15735063866172502
ACH-000395,-0.0380740350130194
ACH-000396,-0.3569909681961341
ACH-000397,-0.19681784824614684
ACH-000401,-0.22302884781360072
ACH-000402,-0.4178159565780099
ACH-000403,-0.2283034563988729
ACH-000404,-0.15247223869673127
ACH-000406,-0.2578968309613715
ACH-000407,-0.2665016587218424
ACH-000408,-0.25230791370593203
ACH-000410,-0.17391853728755655
ACH-000411,-0.1535533111532638
ACH-000414,-0.29026996089653345
ACH-000415,-0.2503437785276883
ACH-000416,-0.09864237386462138
ACH-000420,-0.2222288185261952
ACH-000421,-0.2726983852389621
ACH-000424,-0.05084808915128161
ACH-000425,-0.23308009124725665
ACH-000426,-0.3892292830651872
ACH-000427,-0.18060873430684013
ACH-000433,-0.2142351757993104
ACH-000435,-0.13212257749572026
ACH-000436,-0.18597167636168047
ACH-000444,-0.3404939454922232
ACH-000445,-0.1516588579846292
ACH-000448,-0.2275216524191281
ACH-000450,-0.2346185286388636
ACH-000452,-0.27596040980899306
ACH-000454,-0.009699761157085507
ACH-000458,-0.12807839367335966
ACH-000459,-0.20959753518406876
ACH-000460,-0.14781763497390146
ACH-000461,-0.1758438200318682
ACH-000463,-0.2723833724337002
ACH-000464,-0.2648635051747045
ACH-000466,-0.10611084112678834
ACH-000467,-0.11698865732556454
ACH-000468,-0.0905405419236047
ACH-000469,-0.09961967354309734
ACH-000470,-0.19494552506396431
ACH-000471,-0.15171102937368974
ACH-000472,-0.27574311728855283
ACH-000473,-0.12324916867277234
ACH-000475,-0.15791874635955974
ACH-000476,-0.11300276561345435
ACH-000477,-0.17584966320647674
ACH-000479,-0.005310018981232847
ACH-000480,-0.14622709416893434
ACH-000481,-0.09246277154661266
ACH-000483,-0.5353210413985421
ACH-000484,-0.14415271244112782
ACH-000485,-0.14786219797619052
ACH-000486,-0.1797903325752135
ACH-000487,-0.2638986767259409
ACH-000488,-0.20139897956157973
ACH-000490,-0.16273354048096356
ACH-000491,-0.06073956494190735
ACH-000495,-0.3481619343545509
ACH-000496,-0.2141610191413137
ACH-000499,-0.22121363637273173
ACH-000500,0.056614790368489924
ACH-000502,-0.2059939447042199
ACH-000503,-0.12210196922675295
ACH-000505,-0.2594767423190393
ACH-000507,-0.3076890486901391
ACH-000510,-0.2351339890354037
ACH-000511,-0.1607222599470717
ACH-000512,-0.389586773255661
ACH-000516,-0.07321029758402023
ACH-000517,-0.10163836647355946
ACH-000518,-0.195887514942297
ACH-000520,-0.27919177466779904
ACH-000521,-0.12327201323807585
ACH-000522,-0.2857312560017091
ACH-000524,-0.09758034169179534
ACH-000527,-0.2755541491851549
ACH-000528,-0.12411270764350035
ACH-000537,-0.21060414946153236
ACH-000541,-0.23050854833719736
ACH-000542,-0.2582385909181187
ACH-000544,-0.24806517506727285
ACH-000545,-0.182789976418057
ACH-000547,-0.20737761164278445
ACH-000548,-0.3666283606239897
ACH-000549,-0.2755037838438891
ACH-000550,-0.24717692837275
ACH-000552,-0.2252442070531952
ACH-000556,-0.4063507287289486
ACH-000557,-0.22533433839930084
ACH-000569,-0.09199743971707186
ACH-000570,-0.1465624589746033
ACH-000571,-0.17568096038443434
ACH-000573,-0.13952366254753734
ACH-000576,-0.23287367143142645
ACH-000579,-0.1671871128419659
ACH-000580,-0.11983742968536587
ACH-000584,-0.2754380534949889
ACH-000585,-0.2543546068083904
ACH-000588,-0.13752752445763974
ACH-000589,-0.2483067472952859
ACH-000591,-0.17022423790712018
ACH-000593,-0.1523003976484472
ACH-000600,-0.15962998584217336
ACH-000601,-0.2038851255048822
ACH-000605,-0.16165639145005956
ACH-000606,-0.2326386541498265
ACH-000608,-0.2341776572498715
ACH-000614,-0.3217247091532814
ACH-000616,-0.2967012452396074
ACH-000618,-0.20946989251097686
ACH-000619,-0.10417113623353197
ACH-000620,-0.3406798127268358
ACH-000621,-0.2555345882601077
ACH-000622,-0.19165962014847013
ACH-000623,-0.214808129954415
ACH-000624,-0.17077108353831807
ACH-000627,-0.07204410680800495
ACH-000630,-0.2278852625273328
ACH-000631,-0.2896807213822469
ACH-000632,-0.1673290707718742
ACH-000633,-0.2638277134822217
ACH-000637,-0.22287629647566465
ACH-000638,-0.08230760164628231
ACH-000646,-0.4204840228930409
ACH-000647,-0.2187642777375378
ACH-000648,-0.12917414431403226
ACH-000649,-0.17923281143670075
ACH-000651,-0.2853158742952369
ACH-000652,-0.18403861956687806
ACH-000653,-0.15215671381968754
ACH-000657,-0.13654170112660555
ACH-000658,-0.2820264165791498
ACH-000661,-0.13170784073019448
ACH-000662,-0.23193923752541834
ACH-000663,-0.3300350037972728
ACH-000665,-0.020142292350337043
ACH-000671,-0.3142334309405235
ACH-000672,-0.4190462095836135
ACH-000673,-0.143366005567153
ACH-000676,-0.22013409227743824
ACH-000677,-0.1971627202519074
ACH-000681,-0.3005802249851231
ACH-000683,-0.2242073544614509
ACH-000684,-0.10320635246595213
ACH-000688,-0.2216736752025913
ACH-000693,-0.1684730304426313
ACH-000694,-0.2139521896716889
ACH-000695,-0.22276848560199974
ACH-000696,-0.17159714744098886
ACH-000697,-0.22791741600791274
ACH-000699,-0.2853607004095597
ACH-000701,-0.19455360914712086
ACH-000706,-0.1978618882427815
ACH-000711,-0.11717399224195367
ACH-000713,-0.13368245260064254
ACH-000714,-0.2929890184151355
ACH-000718,-0.1669094079694211
ACH-000720,-0.02777159020048322
ACH-000721,-0.1682543894597423
ACH-000724,-0.21076260131069674
ACH-000725,-0.3359669295469034
ACH-000732,-0.23581720582833945
ACH-000734,-0.16813802697133626
ACH-000735,-0.09983228939276692
ACH-000736,-0.2686040865701324
ACH-000738,-0.048567929786299036
ACH-000746,-0.3918974793749284
ACH-000747,-0.19707026850848208
ACH-000748,-0.12531771221071336
ACH-000753,-0.2425997385292395
ACH-000756,-0.2587553773285282
ACH-000757,-0.3606492538490648
ACH-000758,-0.3387520704837592
ACH-000760,-0.2784612448940427
ACH-000762,-0.09937681116873344
ACH-000763,-0.2277795122266573
ACH-000764,-0.17491627895954814
ACH-000765,-0.19012063082544184
ACH-000766,0.007971453907310692
ACH-000767,-0.18027511966637647
ACH-000768,-0.09909554531642983
