,IFFO1 (25900)
ACH-000004,-0.1577314385295248
ACH-000005,-0.4797473596653429
ACH-000007,0.035072995647364116
ACH-000009,-0.06457672770262861
ACH-000011,-0.02941150351754295
ACH-000012,-0.08327263605257454
ACH-000013,-0.05666133453798244
ACH-000014,-0.12745583468782246
ACH-000015,-0.08013049474006073
ACH-000017,-0.15455151967617625
ACH-000018,-0.3610432484972228
ACH-000019,0.0931729436468813
ACH-000021,-0.1349358098300294
ACH-000022,-0.2175576587839725
ACH-000025,0.026534252812897476
ACH-000028,-0.025788590758685517
ACH-000030,-0.051789517044921816
ACH-000035,0.034961517557944466
ACH-000036,-0.13148811299286012
ACH-000037,0.002561082243712657
ACH-000039,0.06261853572961237
ACH-000040,-0.037194798525426856
ACH-000041,-0.04424017677924927
ACH-000042,-0.14626797482354112
ACH-000045,0.06445534533426461
ACH-000047,0.06823852233610234
ACH-000052,-0.016375716920323618
ACH-000053,-0.0759841716202683
ACH-000054,-0.1955618696698355
ACH-000055,0.08303009792364062
ACH-000060,-0.20387699932787454
ACH-000067,-0.019246423993974103
ACH-000070,-0.05390557463021785
ACH-000075,0.05082410289976277
ACH-000078,-0.0656656785647555
ACH-000082,-0.1200060128702764
ACH-000085,-0.14049384152286096
ACH-000086,-0.1303040193515916
ACH-000087,0.06400804046195636
ACH-000092,-0.11590456959500832
ACH-000095,-0.061615527835094976
ACH-000097,-0.09071229116417304
ACH-000098,-0.09009812356240178
ACH-000099,-0.1310809559625789
ACH-000108,-0.037728041325994464
ACH-000113,-0.12152460310637413
ACH-000116,-0.04271814150168048
ACH-000118,-0.03245038331765054
ACH-000120,-0.21898860351582888
ACH-000123,0.10608210188726523
ACH-000127,-0.08055069254785649
ACH-000128,-0.054654761133971684
ACH-000132,-0.01986963757429937
ACH-000133,0.09183650624273064
ACH-000137,0.05110820219746669
ACH-000138,-0.13444331695261588
ACH-000142,-0.07942783522381129
ACH-000143,-0.0408856748284069
ACH-000146,-0.047240243474419935
ACH-000148,-0.021565030517784217
ACH-000150,-0.11437075459625012
ACH-000152,-0.014410527517034574
ACH-000153,-0.1474344224500934
ACH-000159,-0.07058358032977674
ACH-000160,-0.0975096413806204
ACH-000163,0.05778149680699415
ACH-000167,-0.1739868623191852
ACH-000168,0.05516773639171633
ACH-000169,-0.0778824154131718
ACH-000178,-0.17842165474885258
ACH-000183,-0.15293763674533498
ACH-000188,-0.0853390326453255
ACH-000189,-0.028498868566264574
ACH-000190,0.12630338089182824
ACH-000198,-0.03299286484393078
ACH-000203,-0.29037003553428625
ACH-000204,-0.041900811565563086
ACH-000206,-0.01227701886057313
ACH-000207,-0.1687133798298422
ACH-000208,-0.38297007839095903
ACH-000210,-0.16608367457586842
ACH-000211,-0.03435036838479403
ACH-000215,-0.0389673906379894
ACH-000221,-0.1092404771077677
ACH-000222,0.01534781901160079
ACH-000223,-0.136554469785405
ACH-000226,0.004706026777909407
ACH-000227,-0.07597384789578547
ACH-000228,-0.20133446310196515
ACH-000231,-0.10630030785931377
ACH-000232,-0.14844412818728847
ACH-000233,-0.09906817088722247
ACH-000234,-0.2065128066507619
ACH-000235,-0.11290767309529635
ACH-000237,-0.053360076096703735
ACH-000238,-0.28886939997473354
ACH-000242,-0.12561286092611768
ACH-000243,-0.009948664983836323
ACH-000244,-0.26713005743588314
ACH-000246,-0.07847703531908139
ACH-000248,-0.04592151188402351
ACH-000250,-0.009608411829841144
ACH-000251,-0.0887453217610129
ACH-000252,-0.11697026541775853
ACH-000253,-0.1060142862310443
ACH-000255,-0.08350027073995155
ACH-000256,-0.26997725662257394
ACH-000257,0.030120186332672126
ACH-000258,-0.05191400683326417
ACH-000259,-0.1650267034333585
ACH-000260,-0.01760816397425723
ACH-000261,-0.2050705837485842
ACH-000262,-0.08505987952997189
ACH-000263,-0.14353719589424152
ACH-000264,-0.15412752452600875
ACH-000265,0.06511662616111312
ACH-000266,-0.1659958464541144
ACH-000272,-0.13714472254554852
ACH-000274,-0.10854813051785958
ACH-000277,0.013268338050153832
ACH-000278,0.03269335548339869
ACH-000279,-0.0885879256137206
ACH-000280,-0.03646522437428272
ACH-000281,-0.3210731287146973
ACH-000288,-0.2260682687038505
ACH-000291,-0.11298805567815685
ACH-000293,0.057193933455676714
ACH-000294,-0.10999724810093756
ACH-000295,-0.2675196331933178
ACH-000296,-0.09600969006498644
ACH-000302,-0.032347233107834224
ACH-000304,0.013314154320429102
ACH-000307,-0.2469298746069359
ACH-000308,-0.17602876295636444
ACH-000310,-0.20811728391878007
ACH-000311,-0.1237215154077011
ACH-000312,-0.06359782119751622
ACH-000315,-0.014613770071342297
ACH-000316,0.005324166056562505
