,MAK (4117)
ACH-000004,-0.008300189543196947
ACH-000005,0.01620303555111045
ACH-000007,-0.2420306239472993
ACH-000009,-0.15284529527139998
ACH-000011,-0.07644602508742288
ACH-000012,-0.0980322628378512
ACH-000013,-0.08964874100948249
ACH-000014,-0.12942433070693754
ACH-000015,-0.015023907496475059
ACH-000017,-0.13399023808955446
ACH-000018,-0.19932085344206624
ACH-000019,0.016754249912780194
ACH-000021,-0.04552901165813385
ACH-000022,-0.06789776011972437
ACH-000025,-0.062391478475189374
ACH-000028,-0.10922473997886914
ACH-000030,-0.10118087311563552
ACH-000035,0.05974126656205831
ACH-000036,-0.1762664747392758
ACH-000037,-0.08328719842488662
ACH-000039,-0.08208686035786729
ACH-000040,-0.07694368403058736
ACH-000041,-0.09069634106958516
ACH-000042,-0.08088076725350793
ACH-000045,-0.04633338662043323
ACH-000047,-0.1162808881910514
ACH-000052,-0.17405824090306649
ACH-000053,-0.11129974515926497
ACH-000054,-0.16876106615234193
ACH-000055,-0.12491516609623457
ACH-000060,-0.054805666563544415
ACH-000067,0.0025535387196430324
ACH-000070,0.01675594444572599
ACH-000075,0.024033736111950758
ACH-000078,-0.13633480545255772
ACH-000082,-0.016131052609689552
ACH-000085,0.0407698673586982
ACH-000086,0.006581386525371449
ACH-000087,-0.11714584687913128
ACH-000092,-0.09284910703592768
ACH-000095,-0.10731404821267287
ACH-000097,0.0350317338112711
ACH-000098,-0.1788731354401676
ACH-000099,-0.11956423964680972
ACH-000108,-0.007878008320886358
ACH-000113,-0.16743411808849532
ACH-000116,-0.10647195537819604
ACH-000118,-0.004922467579004899
ACH-000120,-0.24682785882917435
ACH-000123,-0.05842366013456884
ACH-000127,-0.08160130094268449
ACH-000128,-0.14778366624494524
ACH-000132,-0.09778240095432393
ACH-000133,-0.053804131854117546
ACH-000137,-0.12496452286034722
ACH-000138,-0.2872371199660523
ACH-000142,-0.24352631429366814
ACH-000143,-0.059533394233627676
ACH-000146,-0.05469766120813928
ACH-000148,-0.058848819562437225
ACH-000150,-0.15423643818025154
ACH-000152,-0.06381742058751419
ACH-000153,-0.10047206079136917
ACH-000159,-0.06214973987233258
ACH-000160,0.10659296875364327
ACH-000163,-0.12484422004742547
ACH-000167,0.3737194031087273
ACH-000168,-0.06037638725338675
ACH-000169,-0.0880193517697957
ACH-000178,-0.07084435245093977
ACH-000183,-0.04501010348911425
ACH-000188,-0.02590984594697411
ACH-000189,0.056317904214320126
ACH-000190,0.17094422604492215
ACH-000198,-0.010757073279734441
ACH-000203,-0.4757839120595544
ACH-000204,-0.17898716453127358
ACH-000206,-0.1027224821166488
ACH-000207,-0.14170949558145796
ACH-000208,0.12317167536405865
ACH-000210,-0.05329098041790562
ACH-000211,-0.11160021594657264
ACH-000215,-0.1302049256975543
ACH-000221,-0.06825567777460706
ACH-000222,0.004386380849947668
