,PPARGC1B (133522)
ACH-000004,-0.7063658078515376
ACH-000005,-0.17240356068696222
ACH-000007,-0.6196477532927246
ACH-000009,-0.5898338042416373
ACH-000011,-0.5306506152487646
ACH-000012,-0.6652255631914462
ACH-000013,-0.5687848218502967
ACH-000014,-0.7152190357425487
ACH-000015,-0.7256756641744184
ACH-000017,-0.5663262823865982
ACH-000018,-0.823605187184452
ACH-000019,-0.6422181845225643
ACH-000021,-0.6673541387111084
ACH-000022,-0.6946339616070459
ACH-000025,-0.7727290494740051
ACH-000028,-0.6380425686870687
ACH-000030,-0.6475744583037117
ACH-000035,-0.6120760282311548
ACH-000036,-0.5594986735398929
ACH-000037,-0.6423891150113724
ACH-000039,-0.8361971954485982
ACH-000040,-0.6092191140242313
ACH-000041,-0.6169576866959702
ACH-000042,-0.6286264260903504
ACH-000045,-0.4191424548421984
ACH-000047,-0.8764405961099249
ACH-000052,-0.612748691286635
ACH-000053,-0.6734467588569668
ACH-000054,-0.6981182393773162
ACH-000055,-0.6883953891431428
ACH-000060,-0.7095202963882518
ACH-000067,-0.8362261876365711
ACH-000070,-0.8453104565245675
ACH-000075,-0.5689666434464253
ACH-000078,-0.889339503916398
ACH-000082,-0.6725371963154292
ACH-000085,-0.670596363500241
ACH-000086,-0.490003842829902
ACH-000087,-0.5504049053403909
ACH-000092,-0.6072850183716594
ACH-000095,-0.7769459932896321
ACH-000097,-0.7430353360081489
ACH-000098,-0.5517608083006802
ACH-000099,-0.6024013515360152
ACH-000108,-0.5989957959983604
ACH-000113,-0.5276318321034208
ACH-000116,-0.8113658113837029
ACH-000118,-0.5238060179777568
ACH-000120,-0.5885967141559824
ACH-000123,-0.6363778619163446
ACH-000127,-0.6198426530539676
ACH-000128,-0.5393445395906521
ACH-000132,-0.7553634941806338
ACH-000133,-0.6944890634462305
ACH-000137,-0.4836021190304866
ACH-000138,-0.5416165424180831
ACH-000142,-0.6283267755671943
ACH-000143,-0.4540589534825618
ACH-000146,-0.7442065858628033
ACH-000148,-0.6577921982301924
ACH-000150,-0.7193007574534196
ACH-000152,-0.6260793352779049
ACH-000153,-0.4051042473251068
ACH-000159,-0.6416463745576766
ACH-000160,-0.5404458940508804
ACH-000163,-0.6536118117365611
ACH-000167,-0.4392860622186947
ACH-000168,-0.7816341606417291
ACH-000169,-0.6102505371009092
ACH-000178,-0.7145502356392279
ACH-000183,-0.7468895538130388
ACH-000188,-0.6872174265065235
ACH-000189,-0.6485233648978167
ACH-000190,-0.3752478513344308
ACH-000198,-0.7188367663369156
ACH-000203,-0.5923423065297989
ACH-000204,-0.5896796221863575
ACH-000206,-0.6737606343740578
