,TSNAXIP1 (55815)
ACH-000004,-0.27445708072431163
ACH-000005,-0.2916229005780543
ACH-000007,0.07689220553668882
ACH-000009,-0.12456770067979
ACH-000011,-0.17506218117812314
ACH-000012,-0.18254413048668414
ACH-000013,-0.2083945050424716
ACH-000014,-0.0488897064533697
ACH-000015,-0.05571770716752829
ACH-000017,-0.1785652587348274
ACH-000018,-0.19475607575358486
ACH-000019,-0.10093093670292144
ACH-000021,-0.0397181262985471
ACH-000022,-0.06792962531365736
ACH-000025,-0.1208465244217815
ACH-000028,0.017725179171866532
ACH-000030,-0.06638985184840211
ACH-000035,-0.2771895409528559
ACH-000036,-0.14235269157429575
ACH-000037,-0.05719764838598985
ACH-000039,0.03081773506463721
ACH-000040,0.01358146418894776
ACH-000041,-0.17871619083071538
ACH-000042,-0.2666608512410039
ACH-000045,-0.12540552374654249
ACH-000047,-0.10181833637064283
ACH-000052,-0.17289604068979195
ACH-000053,-0.14243171130416504
ACH-000054,-0.11838490546260605
ACH-000055,-0.3322334476658533
ACH-000060,-0.1663531827240795
ACH-000067,-0.20687837543907048
ACH-000070,-0.02450925051589171
ACH-000075,0.05547117759307369
ACH-000078,-0.19335179545426368
ACH-000082,-0.21077789210860176
ACH-000085,-0.0749001902163908
ACH-000086,-0.07569184399674705
ACH-000087,0.18829679827254514
ACH-000092,-0.15934174653696365
ACH-000095,-0.11041775443134676
ACH-000097,-0.22970223605555465
ACH-000098,-0.17924056106911773
ACH-000099,-0.18408493433413567
ACH-000108,-0.28601536148343537
ACH-000113,-0.1041650844643532
ACH-000116,-0.07265534071836338
ACH-000118,-0.15337035218418746
ACH-000120,-0.27611165233161306
ACH-000123,0.07221210250036329
ACH-000127,-0.2631286628217258
ACH-000128,0.14756963625900935
ACH-000132,-0.18325779855656546
ACH-000133,-0.08254976433041335
ACH-000137,-0.07101356787693328
ACH-000138,-0.08496888894943867
ACH-000142,-0.17870832254607447
ACH-000143,0.09759951059410672
ACH-000146,-0.035051384990858726
ACH-000148,-0.08951408634543673
ACH-000150,-0.14982068994829842
ACH-000152,-0.23538056064859256
ACH-000153,-0.15978408411187345
ACH-000159,-0.10614885877903207
ACH-000160,-0.004724787674267596
ACH-000163,-0.2050098022273462
ACH-000167,0.018773359603282237
ACH-000168,-0.03819446456113933
ACH-000169,-0.18611074968491365
ACH-000178,-0.2190804792656807
ACH-000183,-0.16306777692670404
ACH-000188,-0.1055526994153706
ACH-000189,0.068425319008994
ACH-000190,-0.357840051681794
ACH-000198,-0.2582545419518795
ACH-000203,-0.5073948853350624
ACH-000204,-0.23413841362746315
ACH-000206,-0.20682442559298647
ACH-000207,-0.15512886667708328
ACH-000208,-0.3208387381961155
ACH-000210,-0.07235391601503832
ACH-000211,-0.1431378646825155
ACH-000215,-0.15347105475690911
ACH-000221,-0.1749837576207565
ACH-000222,-0.2689597265488526
ACH-000223,-0.12202306683634508
ACH-000226,-0.05404332152336717
ACH-000227,-0.1341381770067643
ACH-000228,-0.13598038022383266
ACH-000231,-0.1015123264865516
ACH-000232,-0.13707533669359612
ACH-000233,-0.13334635166997774
ACH-000234,-0.11089420627928924
ACH-000235,-0.10461346604599976
ACH-000237,-0.22128370519391588
ACH-000238,-0.1397351212134262
ACH-000242,0.10272611092301827
ACH-000243,-0.171326379881365
ACH-000244,-0.382329901554464
ACH-000246,-0.1013093961498876
ACH-000248,-0.05463595962437665
ACH-000250,-0.07259645452450564
ACH-000251,-0.09054892235049038
ACH-000252,-0.06939657816331328
ACH-000253,-0.12183673342490008
ACH-000255,-0.34658132984747186
ACH-000256,-0.24702466084109306
ACH-000257,-0.08247370169334656
ACH-000258,-0.09476271285925973
ACH-000259,-0.15113675232067655
ACH-000260,-0.15321374493267004
ACH-000261,-0.16792744738979273
ACH-000262,-0.0010672084490360174
ACH-000263,0.0228443252800661
ACH-000264,-0.10247376162985357
ACH-000265,-0.08152792018565894
ACH-000266,-0.12337153888848552
ACH-000272,-0.11632123625079695
ACH-000274,-0.10454390729508076
ACH-000277,0.023404980048323268
ACH-000278,-0.14235172406894842
ACH-000279,-0.1504960154338199
ACH-000280,-0.1334191990687251
ACH-000281,-0.21532224510149164
ACH-000288,-0.13684885671285812
ACH-000291,-0.05789202034762533
ACH-000293,-0.3224674604907539
ACH-000294,-0.08751034361164592
ACH-000295,-0.16312480985372074
ACH-000296,0.05886434348674655
ACH-000302,-0.011087251032517698
ACH-000304,0.2964173881574687
ACH-000307,-0.25720920466623703
ACH-000308,-0.1400499177548038
ACH-000310,0.013909491580018423
ACH-000311,-0.1271795270212048
ACH-000312,-0.17692946337178672
ACH-000315,-0.20465758587993294
ACH-000316,-0.2524734288679257
ACH-000317,-0.06940131472159579
ACH-000318,0.017145308689023718
ACH-000319,-0.052140958481826635
ACH-000320,-0.2562934180317307
ACH-000322,-0.06767974131640704
ACH-000323,0.055622908159090635
ACH-000324,-0.24275364187614376
ACH-000329,-0.1713947347713721
ACH-000330,-0.13322074082040844
ACH-000331,-0.12347770695681674
ACH-000332,-0.10801288178277042
ACH-000334,-0.12650433229475902
ACH-000335,-0.3347268325446568
ACH-000336,-0.2128117123050973
ACH-000337,-0.3126332857673398
ACH-000338,-0.30991276675831964
ACH-000339,-0.06618780367846237
ACH-000341,-0.08475353708589425
ACH-000348,-0.1434119801796857
ACH-000350,-0.1307119055962233
ACH-000352,-0.20327430444456715
ACH-000356,-0.20683941482638707
ACH-000361,0.08816220920347516
ACH-000362,-0.09499693784586666
ACH-000363,0.0042173166830259436
ACH-000364,-0.1988649042739246
ACH-000365,-0.03502022279307061
ACH-000366,-0.10547180675283067
ACH-000368,-0.16250344303681452
ACH-000374,-0.10443834686179287
ACH-000375,-0.18069316556025636
ACH-000376,-0.10036592015186016
ACH-000381,-0.13223032231065554
ACH-000383,-0.188294508965108
ACH-000387,-0.20414214071125936
ACH-000389,-0.2508442612343845
ACH-000390,-0.18351976791705416
ACH-000393,-0.2576410241697624
ACH-000395,-0.281588133841818
ACH-000396,-0.11039908360388173
ACH-000397,-0.05298835298297268
ACH-000401,-0.10250135733418317
ACH-000402,-0.12314616829312935
ACH-000403,-0.13770211619078326
ACH-000404,-0.4505676755461909
ACH-000406,-0.06899879337596057
ACH-000407,-0.12525433682023535
ACH-000408,-0.10038840378046716
ACH-000410,-0.04616967366360153
ACH-000411,-0.23077888287126816
ACH-000414,-0.20680467638928068
ACH-000415,-0.0049995676644280715
ACH-000416,-0.3284760302847852
ACH-000420,-0.17572748637815014
