,PSMB6 (5694)
ACH-000004,-1.3672712393812203
ACH-000005,-1.621356169575135
ACH-000007,-1.0529583487907594
ACH-000009,-1.6197425516396904
ACH-000011,-1.5726964080977903
ACH-000012,-1.2643642950512362
ACH-000013,-1.844431470970492
ACH-000014,-1.7494197911500289
ACH-000015,-1.4869253739091806
ACH-000017,-1.967905065949736
ACH-000018,-1.2176330508328144
ACH-000019,-0.7616882792827424
ACH-000021,-1.337882345533816
ACH-000022,-1.7153931213628328
ACH-000025,-1.237878190680687
ACH-000028,-1.0267872815910817
ACH-000030,-1.3995575458029856
ACH-000035,-1.17704670735648
ACH-000036,-1.3900780899151286
ACH-000037,-1.0467643230460428
ACH-000039,-1.6528381407324688
ACH-000040,-1.3428080059386387
ACH-000041,-1.7536847843929868
ACH-000042,-1.8172048392916844
ACH-000045,-1.5539445995582173
ACH-000047,-1.6493576520586188
ACH-000052,-0.8509388740223153
ACH-000053,-0.3511450884832523
ACH-000054,-1.4978881826791843
ACH-000055,-1.459848013019012
ACH-000060,-1.3713629572230883
ACH-000067,-1.2349337772414082
ACH-000070,-1.1032275908974056
ACH-000075,-1.3721373970335955
ACH-000078,-1.5808123313290883
ACH-000082,-1.542930052412104
ACH-000085,-1.7793386729386995
ACH-000086,-1.1687750555988834
ACH-000087,-1.5673375450093097
ACH-000092,-0.7481145847601829
ACH-000095,-1.1914092969219676
ACH-000097,-1.0876367616820648
ACH-000098,-1.1152688581795516
ACH-000099,-1.5082831968323118
ACH-000108,-1.4163634500001077
ACH-000113,-1.4123040251534795
ACH-000116,-1.9257048925339668
ACH-000118,-1.479285862970815
ACH-000120,-1.1818029471278175
ACH-000123,-1.0073705541027376
ACH-000127,-1.5820125651266017
ACH-000128,-1.1488963914057475
ACH-000132,-1.1814518909287488
ACH-000133,-1.3863000054368972
ACH-000137,-1.0075704208366238
ACH-000138,-1.3196082289243272
ACH-000142,-1.1843164556098946
ACH-000143,-0.7641871840927535
ACH-000146,-1.392176207457955
ACH-000148,-1.3958311341248129
ACH-000150,-1.4210038985344084
ACH-000152,-0.8416754387611729
ACH-000153,-1.452563412423481
ACH-000159,-1.3798155322303571
ACH-000160,-1.61291889493776
ACH-000163,-1.5231930288055846
ACH-000167,-1.2395393638970242
ACH-000168,-1.5776948225603915
ACH-000169,-1.5372211207270616
ACH-000178,-1.4380701300692158
ACH-000183,-1.6040361652309971
ACH-000188,-1.4448139437435985
ACH-000189,-1.4700426384460858
ACH-000190,-1.53960954501847
ACH-000198,-1.7135202711425863
ACH-000203,-1.49937813978901
ACH-000204,-0.9349105379790422
ACH-000206,-1.5785145943133214
ACH-000207,-1.2430546979974222
ACH-000208,-1.1813222744269172
ACH-000210,-1.0646828949859075
ACH-000211,-1.2946208656726308
ACH-000215,-0.9115165410589708
ACH-000221,-1.4855292520040324
ACH-000222,-1.1138822827441692
ACH-000223,-1.2563744193584254
ACH-000226,-0.8421482866275566
ACH-000227,-1.8183269753651716
ACH-000228,-1.3340879406384167
ACH-000231,-1.195001061401725
ACH-000232,-1.3991322559366322
ACH-000233,-1.2188530875412502
ACH-000234,-1.6108956495246154
ACH-000235,-1.4703007571359072
ACH-000237,-1.2319098143381395
ACH-000238,-1.7513913767033376
ACH-000242,-1.4651967483836064
ACH-000243,-1.6555068332494192
ACH-000244,-1.4706480496090617
ACH-000246,-1.2763934567579336
ACH-000248,-1.4571078344004074
ACH-000250,-1.2359218970660064
ACH-000251,-1.6997149382034171
ACH-000252,-1.0195034210448808
ACH-000253,-1.1872114777561351
ACH-000255,-1.1787075536442737
ACH-000256,-1.6289195846843847
ACH-000257,-1.4783064818957448
ACH-000258,-1.2195950203892931
ACH-000259,-1.4482380174300156
ACH-000260,-1.618850301453734
ACH-000261,-1.4621257723167322
ACH-000262,-1.1309776945048722
ACH-000263,-2.0499130697631056
ACH-000264,-1.2271738706282185
