,CHUK (1147)
ACH-000004,-0.0449395691394425
ACH-000005,-0.2476161398306323
ACH-000007,-0.1180787733270847
ACH-000009,0.13817147513767009
ACH-000011,-0.3576283156805669
ACH-000012,-0.11952442947940264
ACH-000013,-0.1039970965213723
ACH-000014,-0.06970021408739471
ACH-000015,-0.06609371688664012
ACH-000017,0.012201694902469156
ACH-000018,-0.3284824395654838
ACH-000019,0.07163660680873353
ACH-000021,-0.008574588702431642
ACH-000022,0.1394200401012012
ACH-000025,-0.3766731603268533
ACH-000028,-0.05423525750385246
ACH-000030,-0.1649555404995054
ACH-000035,-0.14355790012196185
ACH-000036,-0.02012494667458837
ACH-000037,-0.20061909481816034
ACH-000039,-0.11033367146400452
ACH-000040,-0.12548738114745014
ACH-000041,-0.05391926936410494
ACH-000042,-0.2387012146979841
ACH-000045,-0.004993568915159443
ACH-000047,-0.0627910798640153
ACH-000052,-0.2207890052718961
ACH-000053,0.05060602941347635
ACH-000054,-0.04977405213825667
ACH-000055,-0.0790017394270305
ACH-000060,-0.3358234188346355
ACH-000067,-0.21202297820457264
ACH-000070,0.2425258111538505
ACH-000075,-0.04115172780769827
ACH-000078,0.01501195089037596
ACH-000082,0.09294692079803668
ACH-000085,0.01872841003691445
ACH-000086,-0.2022082747942882
ACH-000087,0.01429192897437091
ACH-000092,-0.12845406740809875
ACH-000095,-0.010763860008323902
ACH-000097,0.10539343761681924
ACH-000098,-0.2724415783881915
ACH-000099,-0.08419685619357188
ACH-000108,-0.04840059433118337
ACH-000113,0.09328726257017038
ACH-000116,-0.023482957315502213
ACH-000118,-0.3298054901971056
ACH-000120,-0.10351002275848352
ACH-000123,-0.027949484750650618
ACH-000127,-0.061771074759381525
ACH-000128,-0.04389681312178655
ACH-000132,-0.18167656445015995
ACH-000133,-0.15704667754815732
ACH-000137,-0.4002437541440278
ACH-000138,0.09879215463643046
ACH-000142,-0.2630733438185893
ACH-000143,-0.1101801510813133
ACH-000146,-0.08561525968543142
