,SRSF10 (10772)
ACH-000004,-0.5681152271736563
ACH-000005,-0.5360757224521124
ACH-000007,-0.5992938027910466
ACH-000009,-0.5560692874814451
ACH-000011,-0.8580586137863787
ACH-000012,-0.7296405615165898
ACH-000013,-0.6302697083065466
ACH-000014,-0.6596666884535224
ACH-000015,-0.5745847756504524
ACH-000017,-0.887454468963075
ACH-000018,-0.7662600075237576
ACH-000019,-0.633717897223635
ACH-000021,-0.4920656874050606
ACH-000022,-0.5643498143684211
ACH-000025,-0.4783565261144324
ACH-000028,-0.8505913382942398
ACH-000030,-0.17475021613171204
ACH-000035,-0.7017748430885061
ACH-000036,-0.9225825238429168
ACH-000037,-0.8414366825093449
ACH-000039,-0.8842386203942608
ACH-000040,-0.9619014722857128
ACH-000041,-0.7085337263589294
ACH-000042,-0.6431870943893987
ACH-000045,-0.4850410206364977
ACH-000047,-0.3440440735057026
ACH-000052,-0.8106361788114752
ACH-000053,-0.5718148795159498
ACH-000054,-0.4459351786538042
ACH-000055,-0.8282482489193044
ACH-000060,-0.5115200021319106
ACH-000067,-1.1956794277520997
ACH-000070,-0.4984213636985291
ACH-000075,-0.7344278832671349
ACH-000078,-0.4933245639794728
ACH-000082,-0.7831749273776707
ACH-000085,-0.8120307699387246
ACH-000086,-0.5481774840835916
ACH-000087,-0.9376923353124612
ACH-000092,-0.7993350936820495
ACH-000095,-0.4417573408957309
ACH-000097,-0.7122849249115573
ACH-000098,-0.6976057705110612
ACH-000099,-0.3748423711572052
ACH-000108,-0.6074240578205763
ACH-000113,-0.8475237803517272
ACH-000116,-0.6786854128657772
ACH-000118,-0.4969885628302751
ACH-000120,-0.5454851560911771
ACH-000123,-0.6725023137484307
ACH-000127,-0.7308040996769152
ACH-000128,-1.0356283416902652
ACH-000132,-0.6421054675677442
ACH-000133,-0.7105817029085572
ACH-000137,-0.4152659512424302
ACH-000138,-0.601003128305363
ACH-000142,-0.7390032598625556
ACH-000143,-0.6203544095725634
ACH-000146,-0.6630478249333654
ACH-000148,-0.7719062381843593
ACH-000150,-0.5228677732781756
ACH-000152,-0.9631172598320128
ACH-000153,-0.8258977803862879
ACH-000159,-0.6173566722214169
ACH-000160,-0.5795333267966016
ACH-000163,-0.5095639302011078
ACH-000167,-1.0989122509526996
ACH-000168,-0.738792781998875
ACH-000169,-0.6262096993426689
ACH-000178,-0.8474388140422425
ACH-000183,-0.7694675792565329
ACH-000188,-0.7317059127779272
ACH-000189,-0.7569611107803443
ACH-000190,-0.8603457944223635
ACH-000198,-0.8562867373738515
ACH-000203,-0.6823475846147281
ACH-000204,-0.5863145066918783
ACH-000206,-0.4503205871906173
ACH-000207,-1.0048058748059976
ACH-000208,-0.4507188047429605
ACH-000210,-0.4715260986603204
ACH-000211,-0.9740311253454556
ACH-000215,-0.8225908148567864
ACH-000221,-0.7300806675094921
ACH-000222,-0.8765752568967538
ACH-000223,-0.6012597970733835
ACH-000226,-0.8091496169400946
ACH-000227,-0.6695688341207795
ACH-000228,-0.5916030462523748
ACH-000231,-0.7653443908545029
ACH-000232,-1.0111590136298199
ACH-000233,-0.8435249785786296
ACH-000234,-0.5327819227100437
ACH-000235,-0.4709468543663651
ACH-000237,-0.9137829238373836
ACH-000238,-0.8560619921595882
ACH-000242,-0.5038083997696174
ACH-000243,-0.4019273092246095
ACH-000244,-0.5950207184414783
ACH-000246,-0.2933550136695833
ACH-000248,-0.7222962941255974
ACH-000250,-0.9662545195640558
ACH-000251,-0.7193763995086663
ACH-000252,-0.7969510135794533
ACH-000253,-0.544800222485182
ACH-000255,-0.44315338798472775
ACH-000256,-1.1189269482866258
ACH-000257,-0.6232239265294928
ACH-000258,-0.8747996077176434
ACH-000259,-0.5740779378773149
ACH-000260,-0.9013005532775068
ACH-000261,-0.6519345132039716
ACH-000262,-0.6960460590393396
ACH-000263,-0.6083640076386381
ACH-000264,-0.9086700842203131
ACH-000265,-0.6599093044507615
ACH-000266,-0.6910623397795391
ACH-000272,-0.5294421805333481
ACH-000274,-1.0048207873796449
ACH-000277,-0.636697858635333
ACH-000278,-0.93195727412741
ACH-000279,-0.8364702378066291
ACH-000280,-0.5269570696005006
ACH-000281,-0.45970967302068205
ACH-000288,-0.8832363464304178
ACH-000291,-0.8712476764686701
ACH-000293,-0.6325789607911313
ACH-000294,-0.8799116678799913
ACH-000295,-0.6479898805414104
ACH-000296,-0.5758080690151217
ACH-000302,-0.4715545184760266
ACH-000304,-0.4813359832062884
ACH-000307,-0.7958965783582397
ACH-000308,-0.41969237998953773
ACH-000310,-0.4878274453547954
ACH-000311,-0.5396044462306294
ACH-000312,-0.6638252594186147
ACH-000315,-0.5028774630125986
ACH-000316,-0.8706570237351328
ACH-000317,-0.9784473944700988
ACH-000318,-0.6185252337309101
ACH-000319,-0.6982182180964097
ACH-000320,-0.8377672635981349
ACH-000322,-0.7408566348908299
ACH-000323,-0.5637457019569587
ACH-000324,-0.5136050292462185
ACH-000329,-0.8121576848281364
ACH-000330,-0.971982257233456
ACH-000331,-0.6665988839378004
ACH-000332,-0.7756311436886966
ACH-000334,-0.5110988768913438
ACH-000335,-0.3084748881915084
ACH-000336,-0.6725429899603722
ACH-000337,-0.5718275528912957
ACH-000338,-1.032611827642572
ACH-000339,-0.4738863626793378
ACH-000341,-0.8199851575121534
ACH-000348,-0.6186344221075996
ACH-000350,-0.5476173880770712
ACH-000352,-0.7646748062032094
ACH-000356,-0.8130193970728555
ACH-000361,-0.457621678859985
ACH-000362,-0.8295364583833965
ACH-000363,-0.473588438760751
ACH-000364,-0.7651060373030134
ACH-000365,-0.4554377731396777
ACH-000366,-0.2293524328285177
ACH-000368,-1.079739400138458
ACH-000374,-1.1114706589911525
ACH-000375,-0.5244051184580787
ACH-000376,-0.891448572968923
ACH-000381,-0.6130690629834944
ACH-000383,-0.7210320966151507
ACH-000387,-0.4153488808144296
ACH-000389,-0.8737531909541683
ACH-000390,-0.806873712664933
ACH-000393,-0.8764679764963141
ACH-000395,-0.7889595074339373
ACH-000396,-0.6016733582178435
ACH-000397,-0.7778654168138291
ACH-000401,-0.6488186220028029
ACH-000402,-0.3947737240200366
ACH-000403,-0.9940295522174624
ACH-000404,-0.7074272048785092
ACH-000406,-0.5158781520244982
ACH-000407,-0.9264723450894832
ACH-000408,-0.8844851707885542
ACH-000410,-0.6233028683423102
ACH-000411,-0.8638444806784429
ACH-000414,-0.5972966164797109
ACH-000415,-0.5318445599308189
ACH-000416,-0.5107631906121979
ACH-000420,-0.8481374200129481
ACH-000421,-0.7715567332821968
ACH-000424,-0.4937683028965502
ACH-000425,-0.6410903330189349
ACH-000426,-0.7956229461907428
ACH-000427,-0.4936651962853154
ACH-000433,-0.5017181042295313
ACH-000435,-0.4003177125280888
ACH-000436,-0.9826656062694912
ACH-000444,-0.8469500241391669
ACH-000445,-0.7477515216681166
ACH-000448,-0.6879414361592638
ACH-000450,-0.8194674580095621
ACH-000452,-0.6811878719478764
ACH-000454,-0.6887345258548692
ACH-000458,-0.4928378137191082
ACH-000459,-0.3515160287992231
ACH-000460,-0.56044961488231
ACH-000461,-0.8614096031186581
ACH-000463,-0.6549346860041896
ACH-000464,-0.975618935966177
ACH-000466,-0.6608310211439663
ACH-000467,-0.7290714804373849
ACH-000468,-0.6250339046945441
ACH-000469,-1.0527550251084934
ACH-000470,-0.8261932934782793
ACH-000471,-0.8688272802975809
ACH-000472,-0.5204006810538299
ACH-000473,-0.4690267261657903
ACH-000475,-0.5678312054593669
ACH-000476,-0.7590204549386802
ACH-000477,-0.7950498112263513
ACH-000479,-0.8587779517232911
ACH-000480,-0.5041050395019374
ACH-000481,-0.8119131632785458
ACH-000483,-0.4395754043410907
ACH-000484,-1.1149238262918282
ACH-000485,-0.3788936488302761
ACH-000486,-0.4711000636628218
