,CENPF (1063)
ACH-000004,-0.3116142882571464
ACH-000005,-0.4602787389712558
ACH-000007,-0.27905694891449434
ACH-000009,-0.5427610136679929
ACH-000011,-0.5982201735324176
ACH-000012,-0.16323826081967052
ACH-000013,-0.3841323189271163
ACH-000014,-0.4329344703878505
ACH-000015,-0.2359263135960395
ACH-000017,-0.13028621766712753
ACH-000018,-0.3615347399209956
ACH-000019,-0.23298777905528614
ACH-000021,-0.37502529980079546
ACH-000022,-0.4587380734713502
ACH-000025,-0.2479871850775089
ACH-000028,-0.26661770229619514
ACH-000030,-0.24156022545331216
ACH-000035,-0.05048192050263085
ACH-000036,-0.4347091090347669
ACH-000037,-0.4357971832671949
ACH-000039,-0.2538954237292188
ACH-000040,-0.3134393982877636
ACH-000041,-0.1168071620067622
ACH-000042,-0.38493686199556426
ACH-000045,-0.14837781387190535
ACH-000047,-0.2859580204905552
ACH-000052,-0.4116735430640962
ACH-000053,-0.3456126948239781
ACH-000054,-0.4133320221242232
ACH-000055,-0.34482234511490084
ACH-000060,-0.22253657356355414
ACH-000067,-0.2818408111159526
ACH-000070,-0.4053955851713259
ACH-000075,-0.022772623551855758
ACH-000078,-0.3115831328988929
ACH-000082,-0.3145941717826628
ACH-000085,-0.26659179051877363
ACH-000086,-0.2319367017305897
ACH-000087,-0.4518493313300863
ACH-000092,-0.3347429696971321
ACH-000095,-0.1977703374124508
ACH-000097,-0.25171126503652674
ACH-000098,-0.35965563661244354
ACH-000099,-0.1420289256830478
ACH-000108,-0.10694275716967386
ACH-000113,-0.18471636681506168
ACH-000116,-0.2810886131405851
ACH-000118,-0.2672926568624341
ACH-000120,-0.3950716397752595
ACH-000123,-0.4149037941138299
ACH-000127,-0.3664779628957895
ACH-000128,-0.16210715219452104
ACH-000132,-0.4749368816262333
ACH-000133,-0.27275167240851644
ACH-000137,-0.20615845604128227
ACH-000138,-0.1469425088508136
ACH-000142,-0.2440045121574911
ACH-000143,-0.2828232109422124
ACH-000146,-0.17770259648784198
ACH-000148,-0.2630975230210136
ACH-000150,-0.20902788004154715
ACH-000152,-0.3016037431621921
ACH-000153,-0.4357627813184531
ACH-000159,-0.40925379079460894
ACH-000160,-0.3402932695413877
ACH-000163,-0.1833614100994448
ACH-000167,0.1575164866939003
ACH-000168,-0.09959333822336183
ACH-000169,-0.4093080059436375
ACH-000178,-0.24840313049097404
ACH-000183,-0.17219325320878345
ACH-000188,-0.2824655936387053
ACH-000189,-0.16254348650884573
ACH-000190,-0.3181569137530573
ACH-000198,-0.5481099314415772
ACH-000203,-0.488339228347537
ACH-000204,-0.093008574855279
ACH-000206,-0.3520792728025119
ACH-000207,-0.08395195514606835
ACH-000208,-0.2968740548136495
ACH-000210,-0.07260057102364495
ACH-000211,-0.3357422201319186
ACH-000215,-0.2335747552991897
ACH-000221,-0.17199885892062775
ACH-000222,-0.43850413298939506
ACH-000223,-0.35735535098147553
ACH-000226,-0.15963858797398972
ACH-000227,-0.22501844413931305
ACH-000228,-0.3079743304251585
ACH-000231,-0.14912791961697178
ACH-000232,-0.2452183896650469
ACH-000233,-0.2781529353266625
ACH-000234,-0.5031775985356577
ACH-000235,-0.2587459289417225
ACH-000237,-0.1556728521452424
ACH-000238,-0.4245580677666595
ACH-000242,-0.3609548677085572
ACH-000243,-0.1826393032597912
ACH-000244,-0.3775837560875453
ACH-000246,-0.5389806219359763
ACH-000248,-0.1848813106453531
ACH-000250,-0.4019030846387517
ACH-000251,-0.38105317996355104
ACH-000252,-0.14646414367953034
ACH-000253,-0.2393557996293744
ACH-000255,-0.24158450974193865
ACH-000256,-0.3426973363511089
ACH-000257,-0.4123471173056992
ACH-000258,-0.32602530364191945
ACH-000259,-0.29242013658489685
ACH-000260,-0.3349948619123941
ACH-000261,-0.2590067927543466
ACH-000262,-0.24637390910625875
ACH-000263,-0.30274606315840674
ACH-000264,-0.18463538254578124
ACH-000265,-0.1300800274841962
ACH-000266,-0.2793312444129755
ACH-000272,-0.3330898968806348
ACH-000274,-0.4869280251724643
ACH-000277,-0.1894502812267808
ACH-000278,-0.1687857754226552
ACH-000279,-0.2894677290927625
ACH-000280,-0.4229899840689091
ACH-000281,-0.4242290760388818
ACH-000288,-0.204498455663558
ACH-000291,-0.4645858814802122
ACH-000293,-0.1877961750854072
ACH-000294,-0.3504978001832858
ACH-000295,-0.07350754597082956
ACH-000296,-0.22791627368576986
ACH-000302,-0.2032353672987928
ACH-000304,-0.3506551903253378
ACH-000307,-0.2552287736401673
ACH-000308,-0.28434147999726594
ACH-000310,-0.5064035452037886
