,VKORC1L1 (154807)
ACH-000004,0.06937798203108111
ACH-000005,0.09903435474375327
ACH-000007,-0.20554901301027184
ACH-000009,-0.1950780178804236
ACH-000011,-0.15995949884747804
ACH-000012,-0.2859453107279216
ACH-000013,-0.033722417215899
ACH-000014,-0.3762251473472776
ACH-000015,-0.4609433103531014
ACH-000017,-0.02710824921574901
ACH-000018,-0.11307887570954492
ACH-000019,-0.21024374025315093
ACH-000021,-0.4322567631980958
ACH-000022,0.00276139013405835
ACH-000025,-0.5828523367098805
ACH-000028,-0.3096743228535251
ACH-000030,0.008103620108042792
ACH-000035,-0.2825812864726432
ACH-000036,-0.2361405853572613
ACH-000037,-0.292009876226379
ACH-000039,-0.19645933388942868
ACH-000040,-0.3423038103700716
ACH-000041,-0.1772953427271173
ACH-000042,-0.2191606397286973
ACH-000045,0.05320631705226738
ACH-000047,-0.24913263160568436
ACH-000052,-0.467050730198645
ACH-000053,-0.1875103935760658
ACH-000054,-0.3502902920995144
ACH-000055,-0.11596451077621278
ACH-000060,-0.22756301700981305
ACH-000067,-0.2349378162408525
ACH-000070,-0.32970886590702897
ACH-000075,-0.14440092447921088
ACH-000078,-0.15070723559862312
ACH-000082,-0.33606806924521765
ACH-000085,-0.12993356602386008
ACH-000086,-0.1599870799642457
ACH-000087,-0.12299726992536905
ACH-000092,-0.2076740050242805
ACH-000095,-0.4236335509414884
ACH-000097,-0.2993929841363142
ACH-000098,-0.3837555490739645
ACH-000099,-0.2622052662508037
ACH-000108,-0.2767748703957942
ACH-000113,-0.032875527421055074
ACH-000116,-0.19245860970903667
ACH-000118,-0.3122087732046104
ACH-000120,-0.1867890530778255
ACH-000123,-0.2924733870957434
ACH-000127,-0.2209812184251107
ACH-000128,-0.5784113807255817
ACH-000132,-0.3422645972822821
ACH-000133,-0.4172119797129212
ACH-000137,-0.1536850683415865
ACH-000138,-0.0866344676408778
ACH-000142,-0.1148279274919451
ACH-000143,-0.4962810805090432
ACH-000146,-0.2988244918856029
ACH-000148,-0.2782852270578716
ACH-000150,-0.030972027690133724
ACH-000152,-0.453691219431876
ACH-000153,-0.16728417915946964
ACH-000159,-0.4195401880113443
ACH-000160,-0.01093840587882685
ACH-000163,-0.3582391248471119
ACH-000167,-0.24079529250662146
ACH-000168,-0.2183204533867448
ACH-000169,-0.40896910003243175
ACH-000178,-0.2578361191535967
ACH-000183,-0.08500749968535648
ACH-000188,-0.09401110733041422
ACH-000189,-0.3820216477208452
ACH-000190,-0.21429502904748493
ACH-000198,-0.13062754301519006
ACH-000203,0.2222968125543644
ACH-000204,-0.2234392114825798
ACH-000206,-0.04710588960987911
ACH-000207,-0.16010019839841874
ACH-000208,-0.14433205981696862
ACH-000210,-0.4096044666369025
ACH-000211,-0.2434083534934423
ACH-000215,-0.2464696695625649
ACH-000221,-0.4215087835645098
ACH-000222,-0.2012713114224454
ACH-000223,-0.21651586099505654
ACH-000226,-0.2025342272413323
ACH-000227,-0.06087152071316215
ACH-000228,-0.2397008750179313
ACH-000231,-0.3310216909984288
ACH-000232,-0.410565255155178
ACH-000233,-0.0384324476145023
ACH-000234,-0.1803088294391199
ACH-000235,-0.3034140307726928
ACH-000237,-0.22038949119151172
ACH-000238,-0.12505591256278334
ACH-000242,-0.2725392599648989
ACH-000243,-0.2189347601279092
ACH-000244,-0.5918459994987716
ACH-000246,-0.2722842146074429
ACH-000248,-0.3161275030923344
ACH-000250,-0.07871352068098371
ACH-000251,-0.03625725738392719
ACH-000252,-0.3661530079092328
ACH-000253,-0.1225303993297936
ACH-000255,-0.3650184085532252
ACH-000256,-0.11409386863434096
ACH-000257,-0.1646084873079706
ACH-000258,-0.21181500573643636
ACH-000259,-0.2977597830675292
ACH-000260,-0.286617687410059
ACH-000261,-0.3349118630242556
ACH-000262,-0.5551137531278643
ACH-000263,-0.23900000608546626
ACH-000264,-0.2794955416436196
ACH-000265,-0.2625630326332076
ACH-000266,-0.2304687033089451
ACH-000272,-0.3479594841673162
ACH-000274,-0.2218481936046804
ACH-000277,-0.1683653949230836
ACH-000278,-0.25965632481611783
ACH-000279,-0.21846422509790805
ACH-000280,-0.350488202458326
ACH-000281,-0.20075681613066115
ACH-000288,-0.34702083411449863
ACH-000291,-0.13833133960646826
ACH-000293,-0.203240409227984
ACH-000294,0.939856118511314
ACH-000295,-0.2850210806882355
ACH-000296,-0.3631088142143885
ACH-000302,-0.17960660725990288
ACH-000304,-0.41235379098922825
ACH-000307,-0.16797636013346448
ACH-000308,-0.24211779445690895
ACH-000310,-0.2466463211155712
ACH-000311,-0.4282459810392605
ACH-000312,-0.2038330071800668
ACH-000315,-0.1993924583325758
ACH-000316,-0.35280735716626616
ACH-000317,-0.007329267230714769
ACH-000318,-0.4548087007185727
ACH-000319,-0.26413432206813714
ACH-000320,-0.3582482014098051
ACH-000322,-0.2494989893255864
