,CA13 (377677)
ACH-000004,0.020223046838425924
ACH-000005,-0.11458119521421276
ACH-000007,0.3277985909798369
ACH-000009,0.3146546405100865
ACH-000011,0.2092988170502602
ACH-000012,0.2062518342522714
ACH-000013,0.1665221149275759
ACH-000014,0.230218918154668
ACH-000015,0.1841653720783548
ACH-000017,0.13136845065205646
ACH-000018,0.17557559232015724
ACH-000019,0.10205280390690423
ACH-000021,0.1765549166633934
ACH-000022,0.24938852835926986
ACH-000025,0.23901131253360205
ACH-000028,0.1423668200958257
ACH-000030,0.17980397579379553
ACH-000035,0.10294964440321933
ACH-000036,0.23031042327679224
ACH-000037,0.1889474702509872
ACH-000039,0.31707994535768824
ACH-000040,0.2010678659842654
ACH-000041,0.2845223177335836
ACH-000042,0.1859964895331876
ACH-000045,0.2977869248710893
ACH-000047,0.1873708379040981
ACH-000052,0.34994476402646746
ACH-000053,0.21823178699701248
ACH-000054,0.0702450992781066
ACH-000055,0.1250971146429478
ACH-000060,0.1615751218060028
ACH-000067,0.159900002265178
ACH-000070,0.2384585851648928
ACH-000075,0.2480967746906245
ACH-000078,0.26761229836784123
ACH-000082,0.15347257958282007
ACH-000085,0.2812761146938728
ACH-000086,0.2648601393527377
ACH-000087,0.22354103408508344
ACH-000092,0.100165528757783
ACH-000095,0.17762006780119746
ACH-000097,0.21490298028470525
ACH-000098,0.19719731170143875
ACH-000099,0.22388486650562064
ACH-000108,0.2088754885151552
ACH-000113,0.10372534789820573
ACH-000116,0.15190912616375793
ACH-000118,0.22107659282326148
ACH-000120,0.1630193185348686
ACH-000123,0.19261731851250766
ACH-000127,0.1805416906853512
ACH-000128,0.17404202109790354
ACH-000132,0.09100497279826088
ACH-000133,0.09412133661140236
ACH-000137,0.2847317250255306
ACH-000138,0.1987619711391393
ACH-000142,0.2347010962384298
ACH-000143,0.2567776439928144
ACH-000146,0.1348257376892053
ACH-000148,0.2225800066733813
ACH-000150,0.13351619422102298
ACH-000152,0.20431206522298687
ACH-000153,0.1050548154841885
ACH-000159,0.09285836393620324
ACH-000160,0.2322768248111481
ACH-000163,0.08694534501666934
ACH-000167,0.3886963180664023
ACH-000168,0.20929784747541647
ACH-000169,0.17716222212295565
ACH-000178,0.19390578448197407
ACH-000183,0.15033737842209186
ACH-000188,0.21648977500723127
ACH-000189,0.09734672096507413
ACH-000190,0.15024919793603653
ACH-000198,0.1742603009667941
ACH-000203,-0.12704574832840013
ACH-000204,0.17453524833437778
ACH-000206,0.1281710421156496
ACH-000207,0.24571934245532895
ACH-000208,0.1463168652051906
ACH-000210,0.3832698446408254
ACH-000211,0.2684213163170591
ACH-000215,0.17375891491005194
ACH-000221,0.10738058005894573
ACH-000222,0.20651031299987307
ACH-000223,0.13429645905769105
ACH-000226,0.15243617421481034
ACH-000227,0.2993997161536964
ACH-000228,0.2539999855105886
ACH-000231,0.21594358336987265
ACH-000232,0.1732569297865343
ACH-000233,0.12740581594551265
ACH-000234,0.10255844912840516
ACH-000235,0.18484587509593345
ACH-000237,0.14065569445229326
ACH-000238,0.2684743315299479
ACH-000242,0.32044550742738964
ACH-000243,0.1769411590275772
ACH-000244,0.2698551818116522
ACH-000246,0.1770066626423758
