,SLX1A (548593)
ACH-000004,-0.4122060034890263
ACH-000005,-0.4434626882817062
ACH-000007,-0.2605617145767788
ACH-000009,-0.14690795023915512
ACH-000011,-0.3451730916987937
ACH-000012,-0.37705906330622974
ACH-000013,-0.2405211495792643
ACH-000014,-0.4846037564247591
ACH-000015,-0.3094645517954748
ACH-000017,-0.437644484039723
ACH-000018,-0.2974696723120501
ACH-000019,-0.23025909671761724
ACH-000021,-0.217447036503057
ACH-000022,-0.1714260381341084
ACH-000025,-0.29155223304972205
ACH-000028,-0.3115672974674351
ACH-000030,0.19613561687637984
ACH-000035,-0.1501943542035218
ACH-000036,-0.3238014597254198
ACH-000037,-0.2617284515086733
ACH-000039,-0.22628103693211984
ACH-000040,-0.2673964516875771
ACH-000041,-0.18853440152698506
ACH-000042,0.008048147523148095
ACH-000045,-0.4029475170938585
ACH-000047,-0.1583630899522174
ACH-000052,-0.20054621676522252
ACH-000053,-0.16704303494435965
ACH-000054,-0.3203487998779744
ACH-000055,-0.3569907818872932
ACH-000060,-0.03785036137779526
ACH-000067,-0.21567517370338266
ACH-000070,-0.06196696602766295
ACH-000075,-0.5166072317763787
ACH-000078,-0.17786862125938455
ACH-000082,-0.4105616270326188
ACH-000085,-0.09218454244177778
ACH-000086,-0.13007369485190065
ACH-000087,-0.5346961227282993
ACH-000092,-0.27102264968935513
ACH-000095,-0.14594932109640127
ACH-000097,-0.3215182570200199
ACH-000098,-0.3910060867197201
ACH-000099,-0.2936189280575563
ACH-000108,0.002573474366652047
ACH-000113,-0.2994013493868384
ACH-000116,-0.1261912511885551
ACH-000118,-0.28273516561390805
ACH-000120,-0.3114597335467925
ACH-000123,-0.21089530274418036
ACH-000127,-0.5225574819395787
ACH-000128,-0.2385416822924387
ACH-000132,-0.3185848851309475
ACH-000133,-0.18464929400199045
ACH-000137,-0.4226290314989514
ACH-000138,-0.11974861763447905
ACH-000142,-0.33231469877120273
ACH-000143,-0.4896318393458934
ACH-000146,-0.4047844470960219
ACH-000148,-0.2416059139064309
ACH-000150,-0.2393347213989763
ACH-000152,-0.19562107040618956
ACH-000153,-0.3139942236844016
ACH-000159,-0.3014732194679011
ACH-000160,-0.20264597750078112
ACH-000163,-0.2470540707247889
ACH-000167,-0.10446398189447813
ACH-000168,-0.19524977385374725
ACH-000169,-0.33294417958486994
ACH-000178,-0.2516533832981589
ACH-000183,-0.3010739746272213
ACH-000188,-0.02041166418934172
ACH-000189,-0.6766079637594965
ACH-000190,-0.23437906231205805
ACH-000198,-0.2024684845386448
ACH-000203,-0.4835430005840156
ACH-000204,-0.4999790679945849
ACH-000206,-0.3665714604248501
ACH-000207,-0.2830564724242974
ACH-000208,-0.04697481231384236
ACH-000210,-0.05983497171216405
ACH-000211,-0.3761754936694036
ACH-000215,-0.4045616531492538
ACH-000221,-0.2824303395321224
ACH-000222,0.005147576103141458
ACH-000223,-0.17311150572299214
ACH-000226,-0.3373058864699641
ACH-000227,-0.3293188531836224
ACH-000228,-0.3316441827822656
ACH-000231,-0.4265419012751343
ACH-000232,-0.3376032758910609
ACH-000233,-0.21341727758936188
ACH-000234,-0.25155693572057425
ACH-000235,-0.21287043822413312
ACH-000237,-0.3798501056007073
ACH-000238,-0.013459827084643414
ACH-000242,-0.07730316840034797
ACH-000243,-0.44524028893378936
ACH-000244,-0.28409599248623385
ACH-000246,-0.3006483378356448
ACH-000248,-0.2555384387485195
ACH-000250,-0.16623183485673673
ACH-000251,-0.2600273972878185
ACH-000252,-0.2414971432552305
ACH-000253,-0.16158667488175704
ACH-000255,-0.1678439227336367
ACH-000256,-0.2067454553836764
ACH-000257,-0.3164228608740688
ACH-000258,-0.2174990233161084
ACH-000259,-0.17348741528479336
ACH-000260,-0.2631928107220072
ACH-000261,-0.3621687458076207
ACH-000262,-0.4250718060230516
ACH-000263,-0.32600606939008675
ACH-000264,-0.318245411437421
ACH-000265,-0.3118285408404894
ACH-000266,-0.2427221841737145
ACH-000272,-0.40662448170454585
ACH-000274,-0.2601666313238989
ACH-000277,-0.2838575553038043
ACH-000278,-0.3041244320993282
ACH-000279,-0.11930134583437448
ACH-000280,-0.4319612553896289
ACH-000281,0.06726834514902642
ACH-000288,-0.4428699004787812
ACH-000291,-0.3205747275390386
ACH-000293,-0.27864253649423065
ACH-000294,-0.2578579252073278
ACH-000295,-0.15691475658472753
ACH-000296,-0.4176572103851919
ACH-000302,-0.18231983031699134
ACH-000304,-0.4044042528935152
ACH-000307,-0.38422373896133
ACH-000308,-0.30613256154223745
ACH-000310,-0.3026852609376391
ACH-000311,-0.2520393586072788
ACH-000312,-0.12432188796596814
ACH-000315,-0.2208386136978942
ACH-000316,-0.2956492815598297
ACH-000317,-0.4027524638574664
ACH-000318,-0.3309243487110271
ACH-000319,-0.257332179172548
ACH-000320,0.00883821516460004
ACH-000322,-0.6472256474808238
ACH-000323,-0.493435988271205
ACH-000324,-0.3095184126561367
ACH-000329,-0.24134978072654545
ACH-000330,-0.4677791812053501
ACH-000331,-0.2809125866519221
ACH-000332,-0.33148726142643475
ACH-000334,-0.4078570179383016
ACH-000335,-0.386703143846836
