,ANKRD34A (284615)
ACH-000004,-0.09015959980904296
ACH-000005,-0.3708801961066054
ACH-000007,0.1220579543245998
ACH-000009,-0.11641064713682835
ACH-000011,-0.2311812735554916
ACH-000012,-0.1845091265208756
ACH-000013,-0.023638246708395337
ACH-000014,-0.016027206024435886
ACH-000015,-0.1144676404018538
ACH-000017,-0.06216005106700265
ACH-000018,-0.016697507873755485
ACH-000019,-0.19605792824845825
ACH-000021,-0.17900574099399685
ACH-000022,-0.1437512417788515
ACH-000025,-0.03169694525202048
ACH-000028,-0.1390539720100206
ACH-000030,-0.21159900941258186
ACH-000035,-0.20284950410157448
ACH-000036,-0.16514820785945186
ACH-000037,-0.15629668791003756
ACH-000039,-0.2846117450594468
ACH-000040,-0.10536814134441344
ACH-000041,0.014573767879471981
ACH-000042,-0.0938032028422064
ACH-000045,-0.07009401613174858
ACH-000047,0.03372736616828192
ACH-000052,0.06775915352856651
ACH-000053,-0.12356663716506552
ACH-000054,-0.09783487073657818
ACH-000055,0.0008492289691449624
ACH-000060,-0.4123342559072665
ACH-000067,-0.07953334263756884
ACH-000070,0.042343104682626934
ACH-000075,-0.1643277627768046
ACH-000078,-0.032471007017714236
ACH-000082,-0.08592724883821083
ACH-000085,-0.2891669498745991
ACH-000086,-0.07474204112221483
ACH-000087,-0.10493754474278004
ACH-000092,-0.13213750549987782
ACH-000095,-0.12175765996873923
ACH-000097,-0.08755353527230879
ACH-000098,-0.1719484631733395
ACH-000099,-0.02179310379035938
ACH-000108,-0.027825040460287172
ACH-000113,-0.10467847961422402
ACH-000116,-0.16633549312953474
ACH-000118,-0.1277633306276437
ACH-000120,-0.1597795256600117
ACH-000123,-0.1460522988528263
ACH-000127,-0.16033334225270052
ACH-000128,-0.19934979384818466
ACH-000132,-0.09057948133624824
ACH-000133,-0.22073862654773205
ACH-000137,0.09975989643578162
ACH-000138,-0.017692959115963018
ACH-000142,-0.23030014566260104
ACH-000143,-0.2812381848217718
ACH-000146,-0.12758739623258575
