,CALCOCO1 (57658)
ACH-000004,-0.2322019880464898
ACH-000005,-0.1962076968157298
ACH-000007,-0.2663662310052207
ACH-000009,-0.057093015573592476
ACH-000011,-0.14509353311529335
ACH-000012,-0.2162691708274056
ACH-000013,-0.2364297045198193
ACH-000014,-0.08962857032377515
ACH-000015,-0.19459018521645507
ACH-000017,-0.020629547389589692
ACH-000018,-0.42030925965614574
ACH-000019,-0.1148139526099938
ACH-000021,-0.13033991756151794
ACH-000022,-0.2259024277592776
ACH-000025,-0.3273243562903303
ACH-000028,-0.3593047248940096
ACH-000030,-0.2690880909835545
ACH-000035,-0.3882744848826753
ACH-000036,-0.2451645689931221
ACH-000037,-0.3764998189085068
ACH-000039,-0.2298881734240475
ACH-000040,-0.25348767885005624
ACH-000041,-0.3219913164483263
ACH-000042,-0.14601860362397426
ACH-000045,-0.361446688539796
ACH-000047,-0.2492777905190752
ACH-000052,-0.1661932520588597
ACH-000053,-0.186372148297784
ACH-000054,-0.27432819313599976
ACH-000055,-0.17996621914686273
ACH-000060,-0.06470413849451072
ACH-000067,-0.32752210303489143
ACH-000070,-0.2355263592519039
ACH-000075,0.11084537207484256
ACH-000078,-0.0250439962238168
ACH-000082,-0.2059093516734392
ACH-000085,-0.3986783759404608
ACH-000086,-0.2820138885315498
ACH-000087,-0.18700175490827145
ACH-000092,-0.0918199402957176
ACH-000095,-0.20432872564901905
ACH-000097,-0.29089796394963435
ACH-000098,-0.18581744821072066
ACH-000099,-0.09074553346317908
ACH-000108,-0.17064997481572258
ACH-000113,-0.3918665077545119
ACH-000116,-0.1565540215230931
ACH-000118,-0.24196766050613244
ACH-000120,-0.222175639924092
ACH-000123,-0.2771291182064
ACH-000127,-0.16696662503338505
ACH-000128,-0.34383636290098185
ACH-000132,-0.01738229652046393
ACH-000133,-0.3000465492830937
ACH-000137,-0.3889794748958303
ACH-000138,-0.27443576872365083
ACH-000142,-0.2638132085038717
ACH-000143,-0.09088954919452903
ACH-000146,-0.226104858631614
ACH-000148,-0.22641338371335884
ACH-000150,-0.1962343732204296
ACH-000152,-0.3543920128424479
ACH-000153,-0.337206614308187
ACH-000159,-0.12710989905439446
ACH-000160,0.036022165111470286
ACH-000163,-0.27013204058188894
ACH-000167,0.4122454372397161
ACH-000168,-0.3168093130406634
ACH-000169,-0.19656980704926735
ACH-000178,-0.22172473383734415
ACH-000183,-0.23738978919914602
ACH-000188,-0.20992247535010844
