,SLFN12L (100506736)
ACH-000004,-0.32071835971577256
ACH-000005,0.05787712848763042
ACH-000007,0.08675640893230825
ACH-000009,-0.06647954838126001
ACH-000011,-0.023458542207408454
ACH-000012,0.0014135708805253107
ACH-000013,-0.10337434328913524
ACH-000014,0.07019028782938498
ACH-000015,-0.032013722045031966
ACH-000017,-0.057143258675839234
ACH-000018,0.21457236425735965
ACH-000019,0.005005140583287819
ACH-000021,-0.12521664841100705
ACH-000022,-0.04755857211486007
ACH-000025,0.13849212844965034
ACH-000028,-0.18140134970485935
ACH-000030,-0.02716846292470606
ACH-000035,-0.012534813852687544
ACH-000036,-0.1340104710434348
ACH-000037,-0.16209685211033442
ACH-000039,-0.07177249901118228
ACH-000040,-0.17757603485336934
ACH-000041,-0.05377258795713927
ACH-000042,0.03124288214753837
ACH-000045,-0.19560306500978455
ACH-000047,-0.07124078182200999
ACH-000052,0.11500966530363135
ACH-000053,-0.06320449128712302
ACH-000054,-0.1489562633419466
ACH-000055,-0.1162976436661522
ACH-000060,0.13146644880437933
ACH-000067,0.03933919976463077
ACH-000070,0.05907443152149624
ACH-000075,0.0011506501289127358
ACH-000078,-0.010533657949999359
ACH-000082,-0.10087513894836604
ACH-000085,-0.01996250434320226
ACH-000086,-0.056706886651229235
ACH-000087,-0.31364455272298963
ACH-000092,-0.04923801450510019
ACH-000095,-0.1999105335731904
ACH-000097,-0.11770238098109455
ACH-000098,-0.006078826190033388
ACH-000099,0.03754422340152086
ACH-000108,-0.02141614459878343
ACH-000113,0.052744739137586295
ACH-000116,-0.07623029897555451
ACH-000118,0.007019913371787078
ACH-000120,0.13968833340471185
ACH-000123,0.03894678672127422
ACH-000127,-0.08489289344763329
ACH-000128,-0.005777548091112067
ACH-000132,-0.10130846495293593
ACH-000133,-0.0638637667975528
ACH-000137,-0.05540788432413525
ACH-000138,0.05146058160090162
ACH-000142,0.025995955799799568
ACH-000143,-0.04267526142133391
ACH-000146,-0.11078890170501696
ACH-000148,-0.11891351880544444
ACH-000150,0.054740124647452
ACH-000152,-0.06551432345389226
ACH-000153,-0.13111518129655178
ACH-000159,-0.1161843741684448
ACH-000160,0.045259354075576685
ACH-000163,0.007242737595549666
ACH-000167,-0.2830842031130084
ACH-000168,-0.047398537240256916
ACH-000169,0.048479187444927546
ACH-000178,-0.04721256750635485
ACH-000183,-0.04001480745770394
ACH-000188,0.04794233122323807
ACH-000189,0.06789698791968705
ACH-000190,-0.32291024442168004
ACH-000198,0.13247948850564706
ACH-000203,-0.2570247935246964
ACH-000204,-0.0251273521639398
ACH-000206,-0.1726109313591085
ACH-000207,0.001561994461840584
ACH-000208,-0.0378029988376816
ACH-000210,-0.1039003653213439
ACH-000211,-0.0803637370166561
ACH-000215,-0.0719633468745169
ACH-000221,-0.09362461113555773
ACH-000222,-0.013989235870918626
ACH-000223,-0.04367763137720687
ACH-000226,0.0040915852154324
ACH-000227,-0.13739811682939074
ACH-000228,-0.2449128317948407
ACH-000231,-0.09350197290000384
ACH-000232,0.014571059791107538
ACH-000233,0.006003795505939522
ACH-000234,-0.14874189259664422
ACH-000235,-0.06590825035983787
ACH-000237,-0.04075056963043077
ACH-000238,-0.007038083052358705
ACH-000242,-0.2831027914988679
ACH-000243,-0.20827618015427452
ACH-000244,-0.025366872476840455
ACH-000246,-0.0532287442473547
ACH-000248,0.10270463689559384
ACH-000250,-0.02539504573082704
