,DR1 (1810)
ACH-000004,-0.4904815143097671
ACH-000005,-0.83642902543246
ACH-000007,-0.5917224455760247
ACH-000009,-0.6565567965063943
ACH-000011,-0.8193623605225501
ACH-000012,-0.3967613451730411
ACH-000013,-0.4437419338394585
ACH-000014,-0.5862101451706655
ACH-000015,-0.6885916717501434
ACH-000017,-0.22621451766709302
ACH-000018,-0.7689231418461833
ACH-000019,-0.5392975947099464
ACH-000021,-0.4252072041218113
ACH-000022,-0.6898953067726292
ACH-000025,-0.8751677071010407
ACH-000028,-0.8817102921138545
ACH-000030,-0.5990896008084875
ACH-000035,-0.7660423844438298
ACH-000036,-0.5912809689806537
ACH-000037,-0.6694445665457107
ACH-000039,-0.5941406048926625
ACH-000040,-0.6346239107232186
ACH-000041,-0.7534382010387065
ACH-000042,-0.7139760904245136
ACH-000045,-0.6960065864610978
ACH-000047,-0.569036824939901
ACH-000052,-0.7519705442650586
ACH-000053,-0.20629010182429067
ACH-000054,-0.18146417725421804
ACH-000055,-0.6528785184242629
ACH-000060,-0.8266018934614271
ACH-000067,-0.8183175031019208
ACH-000070,-0.4685084322383822
ACH-000075,-0.5517554285391978
ACH-000078,-0.4396111543280613
ACH-000082,-0.6162300554505848
ACH-000085,-0.6901079296434987
ACH-000086,-0.6364323937063404
ACH-000087,-0.7793172667543957
ACH-000092,-0.653529908271795
ACH-000095,-0.6193772351274552
ACH-000097,-0.8435583962275559
ACH-000098,-0.6929894050772073
ACH-000099,-0.20201907024432694
ACH-000108,-0.5315116469951088
ACH-000113,-0.6627226855061523
ACH-000116,-0.6273531390882432
ACH-000118,-0.6015865679263077
ACH-000120,-0.660117281918985
ACH-000123,-0.6917348140008716
ACH-000127,-0.6530516092847366
ACH-000128,-0.776065188360461
ACH-000132,-0.5310472775752415
ACH-000133,-0.917508332039001
ACH-000137,-0.7189033426934753
ACH-000138,-0.5847398571867963
ACH-000142,-0.5462140098050405
ACH-000143,-0.7541958916702404
ACH-000146,-0.5642528871091431
ACH-000148,-0.7192609878704268
ACH-000150,-0.6677104081313116
ACH-000152,-0.7260592444851438
ACH-000153,-0.07121209531660445
ACH-000159,-0.6028643376199803
ACH-000160,-0.250408669730094
ACH-000163,-0.6549863727699458
ACH-000167,-0.27844301850754866
ACH-000168,-0.7807122382914546
ACH-000169,-0.4987737208209685
ACH-000178,-0.6291295156961294
ACH-000183,-0.8549362539901927
ACH-000188,-0.6546495356359829
ACH-000189,-0.8037050823666029
ACH-000190,-0.6658047873059397
ACH-000198,-0.7470033286143037
ACH-000203,-0.9213510844551529
ACH-000204,-0.6438550188514852
ACH-000206,-1.0341487079884952
ACH-000207,-0.6678933253887651
ACH-000208,-0.7589432429711992
ACH-000210,-0.7108036287490161
ACH-000211,-0.5608303530804161
ACH-000215,-0.7509161879180892
ACH-000221,-0.5337513653965245
ACH-000222,-0.727368524608731
ACH-000223,-0.7025688441353559
ACH-000226,-0.7338509861008287
ACH-000227,-0.4708878412857321
