,BARHL2 (343472)
ACH-000004,-0.1808952020244551
ACH-000005,-0.0212413529092738
ACH-000007,-0.31193158236606155
ACH-000009,-0.2211360902843611
ACH-000011,-0.26500371839526715
ACH-000012,-0.07495395394772042
ACH-000013,-0.21321195013177066
ACH-000014,-0.163787676403926
ACH-000015,-0.07045022967011733
ACH-000017,-0.1027771354483095
ACH-000018,-0.12204468124191314
ACH-000019,-0.09763016181458584
ACH-000021,-0.20667497999422574
ACH-000022,-0.059325677024678176
ACH-000025,-0.3581857103674605
ACH-000028,-0.25227427107318723
ACH-000030,-0.2172958540437159
ACH-000035,-0.2513252154973101
ACH-000036,-0.1621644786091969
ACH-000037,-0.09304585150933964
ACH-000039,-0.10415665793631937
ACH-000040,-0.22009126533169115
ACH-000041,0.08301843587896078
ACH-000042,-0.20691262622978165
ACH-000045,-0.14323898963298498
ACH-000047,-0.18268572435505576
ACH-000052,-0.10215050704425263
ACH-000053,-0.1610164496021132
ACH-000054,-0.03059895084272384
ACH-000055,-0.2273566761842754
ACH-000060,-0.3200427890874993
ACH-000067,-0.11602163349256625
ACH-000070,-0.3334495498952305
ACH-000075,-0.11522209130756447
ACH-000078,-0.15262486490054686
ACH-000082,-0.18789576460967208
ACH-000085,-0.21937194283135855
ACH-000086,-0.14520464272551156
ACH-000087,-0.0778721173339927
ACH-000092,-0.2984062194680995
ACH-000095,-0.0704476578621436
ACH-000097,-0.2772631600907541
ACH-000098,-0.1343468599219172
ACH-000099,-0.10396720311274577
ACH-000108,-0.10917520032183156
ACH-000113,-0.3386129975366419
ACH-000116,-0.10133660468083418
ACH-000118,-0.155400022649757
ACH-000120,-0.1283098082770487
ACH-000123,-0.08793772698610514
ACH-000127,-0.1499378951543556
ACH-000128,-0.2341455170695921
ACH-000132,-0.19000398803018426
ACH-000133,-0.2093352155532744
ACH-000137,-0.4166625236778152
ACH-000138,-0.038319995124808194
ACH-000142,-0.2316671443769095
ACH-000143,-0.08382901218224187
ACH-000146,-0.17099575799312489
ACH-000148,-0.12645602999059366
ACH-000150,-0.4378139390526345
ACH-000152,-0.07316933861923461
ACH-000153,-0.2450851714547881
ACH-000159,-0.09311153297444366
ACH-000160,-0.24064658757552584
ACH-000163,-0.17214338905465776
ACH-000167,-0.047746423814410056
ACH-000168,-0.21609646643597014
ACH-000169,-0.02598611260156369
ACH-000178,-0.22024459996536744
ACH-000183,-0.27731653339937595
ACH-000188,-0.1439564082978235
ACH-000189,-0.3000984453539897
ACH-000190,-0.06832574693184366
ACH-000198,-0.15300356436512233
ACH-000203,-0.07926247355275799
ACH-000204,-0.045646897223760176
ACH-000206,-0.06753581813919049
ACH-000207,-0.04252181640691996
ACH-000208,-0.07135040039014945
