,DENND1B (163486)
ACH-000004,-0.13164794497276042
ACH-000005,0.060545347472160525
ACH-000007,-0.03684030594085134
ACH-000009,-0.16119731472993618
ACH-000011,-0.11487656473737788
ACH-000012,0.07503982197233644
ACH-000013,-0.018571616352863158
ACH-000014,-0.03419823367344366
ACH-000015,-0.07008006183574672
ACH-000017,0.0015539209342001756
ACH-000018,-0.13539868103986286
ACH-000019,0.0015376765734247322
ACH-000021,0.0546893530192525
ACH-000022,0.02131554361286489
ACH-000025,-0.1107923167470331
ACH-000028,0.04169847799573112
ACH-000030,0.022832174251970226
ACH-000035,-0.0217939366013956
ACH-000036,0.08402374980679768
ACH-000037,-0.06318015438931457
ACH-000039,-0.10138715504325116
ACH-000040,-0.12146207684077112
ACH-000041,-0.14693875430996856
ACH-000042,-0.046943296119970064
ACH-000045,0.009869847878474934
ACH-000047,-0.02965657925597019
ACH-000052,-0.023943496971835523
ACH-000053,-0.07083143070160931
ACH-000054,0.03111017075323185
ACH-000055,0.05634920055200436
ACH-000060,0.16709435968218006
ACH-000067,-0.1291392991047969
ACH-000070,-0.004366068369061697
ACH-000075,0.12554362027840393
ACH-000078,0.2127459229287325
ACH-000082,-0.03458217063468469
ACH-000085,-0.055844661259013634
ACH-000086,-0.16153959188306286
ACH-000087,0.033135260348977784
ACH-000092,-0.0806975575320992
ACH-000095,0.0008528620535352572
ACH-000097,0.01038570889699604
ACH-000098,-0.047247970357057335
ACH-000099,-0.034239286367924435
ACH-000108,0.010119549070552588
ACH-000113,-0.041235822972090067
ACH-000116,-0.06772192889068346
ACH-000118,0.03769216988921387
ACH-000120,0.004039801849677583
ACH-000123,-0.014312569855936387
ACH-000127,0.02536704578777644
ACH-000128,0.044115136042502376
ACH-000132,-0.03623903595017132
ACH-000133,-0.04301624152956116
ACH-000137,0.017189297228252826
ACH-000138,0.002111379162204248
ACH-000142,-0.035175501388557275
ACH-000143,-0.06898289780410337
ACH-000146,-0.02339792324574604
ACH-000148,-0.0180230830735432
ACH-000150,-0.17500546197232958
ACH-000152,-0.059793033975415015
