,CCNE1 (898)
ACH-000004,-0.06751498191557782
ACH-000005,0.3597314861868643
ACH-000007,-0.06827450521145116
ACH-000009,0.0006076004940056284
ACH-000011,-0.0313319453190147
ACH-000012,-0.11166790851203552
ACH-000013,-0.8288727995555625
ACH-000014,-0.183189562643308
ACH-000015,-0.07545699336593185
ACH-000017,-0.4280497132987745
ACH-000018,-0.15179321748594116
ACH-000019,-0.008253242948066704
ACH-000021,0.0194882223451472
ACH-000022,0.018509629597404275
ACH-000025,-0.0027621082178340395
ACH-000028,-0.20577599751327394
ACH-000030,-0.08318012225761874
ACH-000035,-0.2743900371317791
ACH-000036,-0.04467719172874208
ACH-000037,0.0037273840743712212
ACH-000039,-0.07583814148826501
ACH-000040,0.0925879472485686
ACH-000041,-0.3177154814093928
ACH-000042,-0.11440687485719117
ACH-000045,-0.04909080278051044
ACH-000047,-0.7857446921882955
ACH-000052,-0.1374285530564244
ACH-000053,-0.02022735361444449
ACH-000054,-0.05991796086650698
ACH-000055,-0.1367670990183102
ACH-000060,-0.07816519620462885
ACH-000067,-0.05169456029595043
ACH-000070,0.08127524378404187
ACH-000075,-0.408118435928886
ACH-000078,-0.11792331239626495
ACH-000082,0.025816781093220286
ACH-000085,-0.13000785376897148
ACH-000086,-0.15471659401207968
ACH-000087,-0.2399303521972962
ACH-000092,-0.026631319660171685
ACH-000095,-0.1387605170952634
ACH-000097,-0.1846093685230029
ACH-000098,-0.046199402304522366
ACH-000099,-0.05336652649187115
ACH-000108,-0.01916491257812441
ACH-000113,-0.12644554413461992
ACH-000116,-0.6037040824071287
ACH-000118,-0.0400190754819364
ACH-000120,-0.11231168060931927
ACH-000123,-0.2307751333727773
ACH-000127,-0.06499222927942983
ACH-000128,-0.21161009404647288
ACH-000132,0.09693032644274699
ACH-000133,-0.4299578228854804
ACH-000137,-0.4394073260828634
ACH-000138,-0.048917280004444855
ACH-000142,-0.07396963460971483
ACH-000143,-0.3303419537727173
ACH-000146,0.07811488095510652
ACH-000148,-0.0855205736780086
ACH-000150,-0.11113547291047428
ACH-000152,-0.3269549797491239
ACH-000153,-0.3495773719858161
ACH-000159,0.02406678838037469
ACH-000160,0.17716223132491454
ACH-000163,-0.10325494407607863
ACH-000167,0.23260247284090502
ACH-000168,-0.2031543275448498
ACH-000169,0.05131216213071818
ACH-000178,-0.08633549289008666
ACH-000183,-0.0825761265127347
ACH-000188,-0.004399192250943797
ACH-000189,0.05485360447288522
ACH-000190,0.08298057300270167
ACH-000198,-0.1169990903855362
ACH-000203,-0.10428629403516156
ACH-000204,-0.13728297090302888
ACH-000206,0.06787192148628625
ACH-000207,-0.13821360220603304
ACH-000208,-0.07527786689132213
ACH-000210,-0.13119140422336964
ACH-000211,-0.03646277458344586
ACH-000215,0.018220069521288188
ACH-000221,-0.03720834152140553
ACH-000222,-0.0030703946245968024
ACH-000223,-0.07597151767122645
ACH-000226,-0.001574950273650743
ACH-000227,-0.13953495776929806
ACH-000228,-0.2298494713466897
ACH-000231,-0.16096695077446746
ACH-000232,-0.3523440793737536
ACH-000233,-0.14180840989110322
ACH-000234,-0.08961677205565814
ACH-000235,-0.045161655753400164
ACH-000237,-0.036503064131964434
ACH-000238,0.1134232654754335
ACH-000242,-0.035905209148802436
ACH-000243,-0.019825187414222727
ACH-000244,-0.2534109147971765
ACH-000246,-0.12558545323047024
ACH-000248,-0.2279116137301581
ACH-000250,0.02389624157855306
