,MCEE (84693)
ACH-000004,-0.07311423787904058
ACH-000005,-0.13053539312369933
ACH-000007,-0.17771195610053928
ACH-000009,-0.1009550886858761
ACH-000011,-0.2543048561923165
ACH-000012,-0.13431533206848184
ACH-000013,-0.21351356083166426
ACH-000014,-0.038776935904712116
ACH-000015,-0.13476133041935665
ACH-000017,-0.2266681272911665
ACH-000018,-0.1596727886745208
ACH-000019,-0.29767604785194834
ACH-000021,-0.13387050319927274
ACH-000022,-0.23826820985014255
ACH-000025,-0.06820202783904789
ACH-000028,-0.2258272465079784
ACH-000030,-0.17065026556832702
ACH-000035,-0.14478378773087144
ACH-000036,-0.3217562195672745
ACH-000037,-0.13304494522355867
ACH-000039,-0.06805191039896978
ACH-000040,-0.3383580126354135
ACH-000041,-0.03713966836408383
ACH-000042,-0.1971328433151888
ACH-000045,-0.09586487945084364
ACH-000047,-0.21675555124995075
ACH-000052,-0.18968976330179535
ACH-000053,-0.25317815844027663
ACH-000054,-0.2796522035141567
ACH-000055,-0.3469804840589719
ACH-000060,-0.2264936325537319
ACH-000067,-0.2837247161079957
ACH-000070,-0.1056319510271342
ACH-000075,-0.2914379490803807
ACH-000078,-0.04781240028743319
ACH-000082,-0.18058232390013748
ACH-000085,-0.3981714684986332
ACH-000086,-0.1763360001009479
ACH-000087,-0.10441269547404766
ACH-000092,-0.2393667177206282
ACH-000095,-0.20617703571980805
ACH-000097,-0.28754151868887234
ACH-000098,-0.1750840634170892
ACH-000099,-0.11339563747723252
ACH-000108,-0.2271785723756742
ACH-000113,-0.31120845571090844
ACH-000116,-0.2709373124363677
ACH-000118,-0.22716134192295925
ACH-000120,-0.23910809334874045
ACH-000123,0.022754653576184173
ACH-000127,-0.14943871427006938
ACH-000128,-0.2473154981341112
ACH-000132,-0.12516461460395004
ACH-000133,-0.28593248459165144
ACH-000137,-0.35525654083830976
ACH-000138,-0.18316190515268854
ACH-000142,-0.15433397120470418
ACH-000143,-0.2541205120424461
ACH-000146,-0.2641920627483579
ACH-000148,-0.2802390936021536
ACH-000150,-0.20271256080193328
ACH-000152,-0.2710585534984468
ACH-000153,0.04085181382680979
ACH-000159,-0.15274164690720188
ACH-000160,0.0197320490387112
ACH-000163,-0.14610172220144715
ACH-000167,0.09511684278056966
ACH-000168,-0.10711185318515758
ACH-000169,-0.22441277719815186
ACH-000178,-0.15684753054641248
ACH-000183,-0.18668372204843944
ACH-000188,-0.1031451406377574
ACH-000189,-0.3121163916135785
ACH-000190,-0.03547265266595988
ACH-000198,-0.2019257097376024
ACH-000203,-0.25260794148734955
ACH-000204,-0.3086040159411261
ACH-000206,-0.30740073618692965
ACH-000207,-0.09121384659374206
ACH-000208,-0.3498007722108609
ACH-000210,0.06018876899371035
ACH-000211,-0.1341809456827202
ACH-000215,-0.12481958185907152
ACH-000221,-0.14958474230701613
ACH-000222,-0.2763492615349206
ACH-000223,-0.2769073757613041
ACH-000226,-0.2388677998705208
ACH-000227,-0.23959967402950985
ACH-000228,-0.13915155645441482
ACH-000231,-0.16397552412590258
ACH-000232,-0.11848035162305798
ACH-000233,-0.33330139788265123
ACH-000234,-0.20711182539266831
ACH-000235,-0.1511287576574137
ACH-000237,-0.24689260424291226
ACH-000238,-0.15484873748030886
ACH-000242,-0.2629065471029841
ACH-000243,-0.2938954191124965
ACH-000244,-0.2352868246510552
ACH-000246,-0.15287869689307196
ACH-000248,-0.20378854315216255
ACH-000250,-0.11929134057041912
ACH-000251,-0.1011197048362596
ACH-000252,-0.3120850006879617
ACH-000253,-0.1296051278172172
ACH-000255,-0.3888807673993204
ACH-000256,-0.2181959130550925
ACH-000257,-0.10256741315978772
ACH-000258,-0.0215011902256424
ACH-000259,-0.146681134481469
ACH-000260,-0.16933243620880695
ACH-000261,-0.18508343285225348
ACH-000262,-0.21346184339180085
ACH-000263,-0.2931970232442739
ACH-000264,-0.1677141704405916
ACH-000265,-0.35494979129582793
ACH-000266,-0.17926573717619398
ACH-000272,-0.16478395923979888
ACH-000274,-0.13608246280388334
ACH-000277,-0.15393058552900102
ACH-000278,-0.11885202939531635
ACH-000279,-0.2189837044082204
ACH-000280,0.004931218356239471
ACH-000281,-0.2322591757193901
ACH-000288,-0.2634205459515325
ACH-000291,-0.1762722058047772
ACH-000293,-0.2249736816111748
ACH-000294,-0.04796371980520165
ACH-000295,-0.08973663781683021
ACH-000296,-0.03207157480297868
ACH-000302,-0.15350311825119156
ACH-000304,-0.13424729225237084
ACH-000307,-0.10962839983570978
ACH-000308,-0.2004355419410612
ACH-000310,-0.2158894706178517
ACH-000311,-0.17581316774378478
ACH-000312,-0.27433165486281297
ACH-000315,-0.20183592592968
ACH-000316,-0.0620269180091551
ACH-000317,-0.3523449652964329
ACH-000318,-0.2299830939781282
ACH-000319,-0.2911496371691059
ACH-000320,-0.196130062947644
ACH-000322,-0.12209562575204985
ACH-000323,-0.025814001237767916
ACH-000324,-0.22969312541247375
ACH-000329,-0.1945596399989685
ACH-000330,-0.17185775333307995
ACH-000331,-0.26403446330306796
ACH-000332,-0.2315758855010927
ACH-000334,-0.3408225518454037
ACH-000335,-0.42354228119699183
ACH-000336,-0.3853814846724379
ACH-000337,-0.02174872224230412
ACH-000338,-0.5120218906080651
ACH-000339,-0.19325748741206905
ACH-000341,-0.20841696760632428
ACH-000348,-0.13069772875817534
ACH-000350,-0.11809243445225398
ACH-000352,-0.264987168533332
ACH-000356,-0.08240324483556474
ACH-000361,-0.2937245861232725
ACH-000362,-0.01389363569790358
ACH-000363,-0.19827060561480345
ACH-000364,-0.24774791358201134
ACH-000365,-0.14600818048356612
ACH-000366,-0.16566103666545576
ACH-000368,-0.2757312311661487
ACH-000374,-0.2898152346146277
ACH-000375,-0.1860915081561768
ACH-000376,-0.3009895122138527
ACH-000381,-0.1699036073633245
ACH-000383,-0.1465583852852155
ACH-000387,-0.07369597516885303
ACH-000389,0.0005186383457704955
ACH-000390,-0.32233322993656066
ACH-000393,-0.2487854106694063
ACH-000395,-0.016826672001195506
ACH-000396,-0.13179716779900488
ACH-000397,-0.34054278104030805
ACH-000401,-0.13672161608376618
ACH-000402,-0.2669129629883639
ACH-000403,-0.1455497486016553
ACH-000404,-0.39993782583980064
ACH-000406,-0.16082144536609108
ACH-000407,-0.26549098204089244
ACH-000408,-0.1951853083867969
ACH-000410,-0.2697504158637247
ACH-000411,-0.08956500431730574
ACH-000414,-0.2500564160034172
ACH-000415,-0.2545977157753248
ACH-000416,-0.2318412454554273
ACH-000420,-0.1670304691660168
ACH-000421,-0.13751723020639706
