,ENDOG (2021)
ACH-000004,-0.10728240073772133
ACH-000005,-0.10647151874134272
ACH-000007,0.002938742365641173
ACH-000009,-0.2100737530188643
ACH-000011,-0.02082380169435293
ACH-000012,-0.3657106459922511
ACH-000013,-0.15913052048902945
ACH-000014,-0.13276729345770075
ACH-000015,-0.15103978401542245
ACH-000017,-0.03136144510918462
ACH-000018,-0.024138255707458683
ACH-000019,-0.04901030680008068
ACH-000021,-0.2536154137257807
ACH-000022,-0.05050189178863699
ACH-000025,-0.1810454975376105
ACH-000028,-0.15221947393340668
ACH-000030,-0.07651997053081176
ACH-000035,-0.14562724986317424
ACH-000036,-0.3549297084778435
ACH-000037,-0.1167535290830883
ACH-000039,-0.10956071893014802
ACH-000040,-0.20938742672561636
ACH-000041,0.035219027936128716
ACH-000042,-0.24237177657512785
ACH-000045,-0.08574833685989805
ACH-000047,0.026527700495502238
ACH-000052,0.00627947607671677
ACH-000053,-0.1446986974866951
ACH-000054,-0.16634902154762246
ACH-000055,-0.11334640183724005
ACH-000060,-0.1924456515944728
ACH-000067,-0.12703358892530062
ACH-000070,0.04909057968085797
ACH-000075,-0.2309844365429648
ACH-000078,-0.18679142360319068
ACH-000082,-0.053782342531154166
ACH-000085,-0.10369206515027672
ACH-000086,-0.036947342630104366
ACH-000087,-0.3616835271559539
ACH-000092,-0.12771325837729766
ACH-000095,-0.06873872192543383
ACH-000097,-0.10913423937340604
ACH-000098,-0.183484846708382
ACH-000099,-0.11708183523017088
ACH-000108,-0.15929234478837134
ACH-000113,-0.0026897919017214176
ACH-000116,-0.139661070609032
ACH-000118,-0.17066230653077266
ACH-000120,0.08362681927781357
ACH-000123,-0.0800161981165964
ACH-000127,-0.26312996868865124
ACH-000128,-0.2314069406763249
ACH-000132,-0.11460233589252855
ACH-000133,-0.1368811233165996
ACH-000137,-0.10212589019090994
ACH-000138,-0.0715383243721629
ACH-000142,-0.22223609936845568
ACH-000143,-0.2855626086983106
ACH-000146,-0.15994912795881736
ACH-000148,-0.2506279009764065
ACH-000150,-0.14995218615043568
ACH-000152,-0.05926348164357344
ACH-000153,-0.1645690305060824
ACH-000159,-0.08463942070978778
ACH-000160,-0.03867086006828182
ACH-000163,-0.2846036576772624
ACH-000167,-0.3957691216317266
ACH-000168,0.034045017827092884
ACH-000169,-0.4111794000437545
ACH-000178,0.020230956595893662
ACH-000183,-0.0689324602594896
ACH-000188,-0.29632682056980625
ACH-000189,0.11150434632820423
ACH-000190,-0.03437905018991017
ACH-000198,-0.10110286020630158
ACH-000203,-0.7734096952128796
ACH-000204,-0.2544098080130289
ACH-000206,0.1306739188561073
ACH-000207,-0.1329045620338371
ACH-000208,-0.1912915950668216
ACH-000210,0.1478020211286474
ACH-000211,-0.08622582552780682
ACH-000215,0.005635202872745341
ACH-000221,-0.03737803254767368
ACH-000222,-0.06943174908538681
ACH-000223,-0.2774462466609831
ACH-000226,-0.14725684676100612
ACH-000227,-0.15758037857848922
ACH-000228,-0.20449117394498728
ACH-000231,-0.07558976460718547
ACH-000232,-0.06756979386576269
ACH-000233,-0.005649393696326471
ACH-000234,-0.25808806954604
ACH-000235,-0.11158503071208556
ACH-000237,-0.10592886407331313
ACH-000238,-0.15504211810781152
ACH-000242,-0.18284435559582884
ACH-000243,-0.09713516523044068
