,SULT1E1 (6783)
ACH-000004,0.05483084911437759
ACH-000005,-0.026556452967276024
ACH-000007,-0.06277527576395509
ACH-000009,-0.10657218215829037
ACH-000011,-0.036200230604648505
ACH-000012,-0.0006527860806444251
ACH-000013,0.002517867714449143
ACH-000014,-0.0734903133551983
ACH-000015,-0.08574781415444034
ACH-000017,0.00412973362868993
ACH-000018,-0.10674437049621166
ACH-000019,-0.13086164197222852
ACH-000021,-0.007424550376207682
ACH-000022,-0.13868512132199784
ACH-000025,-0.025302204802868825
ACH-000028,-0.1455972900457599
ACH-000030,-0.18635172834414274
ACH-000035,0.004155093934379911
ACH-000036,-0.07452872244433048
ACH-000037,-0.029786715977472174
ACH-000039,-0.04975299573897866
ACH-000040,-0.09815154964015034
ACH-000041,-0.08218116998893618
ACH-000042,-0.053532625835177435
ACH-000045,0.03746316195445549
ACH-000047,-0.1846817165437038
ACH-000052,-0.19980692422506224
ACH-000053,-0.08358095361182573
ACH-000054,0.0165543383634252
ACH-000055,0.15943298236956244
ACH-000060,0.04827727432107302
ACH-000067,-0.19928137045372646
ACH-000070,-0.22409431706322544
ACH-000075,-0.08169059971251479
ACH-000078,-0.1429905487041717
ACH-000082,-0.09824876957775236
ACH-000085,-0.27335066541092923
ACH-000086,-0.06048417563508076
ACH-000087,-0.04113882691437118
ACH-000092,-0.063016940379553
ACH-000095,0.01247079352908099
ACH-000097,-0.10928278259454176
ACH-000098,-0.16933313519550414
ACH-000099,-0.11021161552150743
ACH-000108,-0.05495901085237336
ACH-000113,0.033184273848059616
ACH-000116,-0.14177080033837006
ACH-000118,-0.057815326509882685
ACH-000120,0.14983304134861247
ACH-000123,-0.19006214266511412
ACH-000127,-0.1186909890742794
ACH-000128,-0.20663418743119388
ACH-000132,-0.08430575204621554
ACH-000133,-0.002752009773069051
ACH-000137,-0.0017418368340613446
ACH-000138,-0.091072406971135
ACH-000142,-0.10905890438184243
ACH-000143,-0.0817905531328785
ACH-000146,-0.0007547878660253188
ACH-000148,-0.02571025830779337
ACH-000150,-0.09986344809544637
ACH-000152,-0.1209003945681243
ACH-000153,-0.14824844863800418
ACH-000159,-0.12426936000151395
ACH-000160,-0.2037678987134736
ACH-000163,-0.228387827067844
ACH-000167,-0.0319219632673098
ACH-000168,-0.21209741826071546
ACH-000169,-0.09544607599932964
ACH-000178,-0.041301089857212495
ACH-000183,0.09725778122805938
ACH-000188,-0.17963225154780088
ACH-000189,-0.2776404789547145
ACH-000190,-0.11912789781260848
ACH-000198,-0.06871748022489306
ACH-000203,0.23471868344251404
ACH-000204,-0.30102850190601943
ACH-000206,-0.3659972095282655
ACH-000207,0.002514652541425388
ACH-000208,0.3562378098172367
ACH-000210,0.08950187804225485
ACH-000211,-0.12612105134494558
ACH-000215,-0.05139502785981118
ACH-000221,-0.03322801672352523
ACH-000222,0.08518120987598342
ACH-000223,-0.08711888730687921
ACH-000226,-0.08082433233617058
ACH-000227,-0.1408873007587313
ACH-000228,-0.048169418208257264
ACH-000231,-0.09650695462510901
ACH-000232,-0.04614708828934135
ACH-000233,-0.02206991247197168
ACH-000234,-0.1046604164348586
ACH-000235,-0.030807508843309118
ACH-000237,-0.051561016270097
ACH-000238,-0.07369301458074974
ACH-000242,-0.2323870574918299
ACH-000243,-0.04146904377078935
ACH-000244,0.057991782183541674
ACH-000246,-0.05888564169797684
ACH-000248,-0.12673187430833702
ACH-000250,-0.08138290472512491
ACH-000251,-0.09423648644823332
ACH-000252,-0.21189265688116
ACH-000253,-0.21765882852299856
ACH-000255,-0.04139815219519048
ACH-000256,-0.01833665725974596
ACH-000257,-0.01603614004436733
ACH-000258,-0.13577288300578738
ACH-000259,0.014174574676937075
ACH-000260,-0.00839318165797277
ACH-000261,-0.09055105626209804
ACH-000262,-0.011726323233044612
ACH-000263,0.07794791474649483
ACH-000264,-0.08186565459295242
ACH-000265,-0.09219104654908868
ACH-000266,-0.022456842129472368
ACH-000272,-0.1881873647602424
ACH-000274,-0.0330015812211111
ACH-000277,-0.13903854132888313
ACH-000278,-0.05834361918028839
ACH-000279,-0.06509111941550158
ACH-000280,-0.027326457858801344
ACH-000281,0.02349886702845019
ACH-000288,-0.030096079864521768
ACH-000291,-0.059225142173457035
ACH-000293,-0.08038463969818255
ACH-000294,0.00991530331561748
ACH-000295,0.14019592662466593
ACH-000296,-0.06591622435530997
ACH-000302,-0.1505760231102535
ACH-000304,-0.28877014241944193
ACH-000307,-0.09514099201142316
ACH-000308,-0.08823176564100471
ACH-000310,-0.15547581606917604
ACH-000311,0.00471907669708321
ACH-000312,0.02347166917293375
ACH-000315,-0.08587803281198395
ACH-000316,-0.07335623711795154
ACH-000317,-0.017916246339161425
ACH-000318,-0.2299260823668863
ACH-000319,-0.12004432464477766
ACH-000320,0.06932807036304993
ACH-000322,-0.10996150953127803
ACH-000323,-0.2202477604183096
ACH-000324,-0.09686119191939564
ACH-000329,-0.0009680964794931297
ACH-000330,-0.22352361696828352
ACH-000331,-0.05387358431377474
ACH-000332,-0.09747918678782967
ACH-000334,-0.2107058326482423
ACH-000335,0.07134876103590151
ACH-000336,-0.40458319143213706
ACH-000337,-0.2961562842717128
ACH-000338,0.34677791737627045
ACH-000339,-0.15629943375976002
ACH-000341,-0.08519900756825742
ACH-000348,-0.06962672978753516
ACH-000350,-0.003975183174221231
ACH-000352,-0.06802574124701515
ACH-000356,0.06259775914172695
ACH-000361,0.09357420386841503
ACH-000362,-0.06112570766637908
ACH-000363,-0.062342278818382724
ACH-000364,-0.02838394404638916
ACH-000365,0.006610589728283707
ACH-000366,-0.00046073510735241037
ACH-000368,0.003795323123128021
ACH-000374,-0.10389132512571148
ACH-000375,-0.00429324566909429
ACH-000376,-0.11161438814054024
ACH-000381,-0.011752792149246634
ACH-000383,-0.13255035785211516
ACH-000387,-0.12876307986273866
ACH-000389,0.016991001270753488
ACH-000390,-0.013835610794078265
ACH-000393,0.05782201809990385
ACH-000395,-0.17674637391671622
ACH-000396,-0.2770677583771993
ACH-000397,-0.0503551512392865
ACH-000401,-0.14203029726220984
ACH-000402,-0.1012868647650596
ACH-000403,-0.14441693289214752
ACH-000404,0.08151231449328225
