,EFNA2 (1943)
ACH-000004,-0.09420590682104886
ACH-000005,0.12049698115938652
ACH-000007,0.051013621892658165
ACH-000009,-0.03572206669696719
ACH-000011,-0.2616846913588865
ACH-000012,-0.16206136879267913
ACH-000013,-0.16183769976437667
ACH-000014,-0.05388582211737552
ACH-000015,-0.0965286884493848
ACH-000017,-0.2590267200414201
ACH-000018,-0.3211170606074501
ACH-000019,-0.2652583137318255
ACH-000021,-0.3409215886978785
ACH-000022,-0.04242715002565538
ACH-000025,-0.1404982503222144
ACH-000028,-0.2232965790928568
ACH-000030,-0.189707909467891
ACH-000035,-0.1644508783066341
ACH-000036,-0.25337809883625745
ACH-000037,-0.20155665281274626
ACH-000039,-0.12686431922873947
ACH-000040,-0.3877426114875183
ACH-000041,-0.05786966297485002
ACH-000042,-0.1101456079051193
ACH-000045,-0.2687782812016302
ACH-000047,-0.05228448651599465
ACH-000052,-0.2352463450904925
ACH-000053,-0.0962587162793626
ACH-000054,-0.20333372664910404
ACH-000055,-0.15005250437527995
ACH-000060,0.035695507301173685
ACH-000067,-0.2127200550377253
ACH-000070,-0.005184743237299885
ACH-000075,-0.3178730072118899
ACH-000078,-0.10786512678949407
ACH-000082,-0.17835440971785926
ACH-000085,-0.13334195078679573
ACH-000086,-0.15553835861163873
ACH-000087,0.03808163115101895
ACH-000092,-0.17442499609976214
ACH-000095,-0.13699771278588432
ACH-000097,-0.2537529580477991
ACH-000098,-0.23839726449609505
ACH-000099,-0.2324981371452616
ACH-000108,-0.20548168101957265
ACH-000113,-0.13315789934326144
ACH-000116,-0.17843985631919165
ACH-000118,-0.17524293837095314
ACH-000120,-0.12597130112250207
ACH-000123,-0.06547181837844553
ACH-000127,-0.313506626502841
ACH-000128,0.03390493980471581
ACH-000132,-0.31582868013269993
ACH-000133,-0.24913871313669175
ACH-000137,-0.18049397686125285
ACH-000138,-0.21549729670705808
ACH-000142,-0.15317358472675968
ACH-000143,-0.20621325840892515
ACH-000146,-0.15791028930077694
ACH-000148,-0.1045951745859074
ACH-000150,-0.3159006855326567
ACH-000152,-0.3659529864775539
ACH-000153,0.0011715751109558964
ACH-000159,-0.2463925583765347
ACH-000160,-0.09024053216033792
ACH-000163,-0.014685561196983396
ACH-000167,-0.2812009488773534
ACH-000168,-0.07534381458221334
ACH-000169,-0.2383012741971645
ACH-000178,-0.15351674249937358
ACH-000183,-0.2267427258157005
ACH-000188,-0.14562807728659796
ACH-000189,-0.3223106127126053
ACH-000190,-0.01960360599635784
ACH-000198,-0.10698997122473496
ACH-000203,-0.019263760905305013
ACH-000204,-0.0764043968215192
ACH-000206,-0.13022465919623644
ACH-000207,-0.09749462750494667
ACH-000208,-0.2652411896558577
ACH-000210,-0.025494976642607418
ACH-000211,-0.17728188597805308
ACH-000215,-0.22964992190722744
ACH-000221,-0.12979978964193722
ACH-000222,-0.14741189670827226
ACH-000223,-0.06135610224662338
ACH-000226,-0.11619239898266408
ACH-000227,0.03932169330364624
ACH-000228,-0.0009132248658887608
ACH-000231,-0.10174342155281282
ACH-000232,-0.15733047253302276
ACH-000233,-0.08585909915753848
ACH-000234,-0.22284879973121444
ACH-000235,-0.13027785030601596
ACH-000237,-0.17274467569927193
ACH-000238,-0.09939355722842913
ACH-000242,-0.11927170427412193
ACH-000243,-0.24162332631091854
ACH-000244,-0.08864741125803728
ACH-000246,-0.24678832056199745
ACH-000248,-0.4098307970939078
ACH-000250,-0.2987350820859556
ACH-000251,-0.2789815095958486
ACH-000252,0.048798325643496517
ACH-000253,-0.3053584983961458
ACH-000255,-0.13485438874307282
ACH-000256,-0.1008327754419518
ACH-000257,0.04336324099719575
ACH-000258,-0.18319343123569948
ACH-000259,-0.2343727544174772
ACH-000260,-0.17436600756413312
ACH-000261,-0.227674752058057
ACH-000262,-0.08961296259448039
ACH-000263,-0.183261902730482
ACH-000264,-0.1898614772771302
ACH-000265,-0.039407243329429735
ACH-000266,-0.2359199988684742
ACH-000272,-0.1614416601154392
ACH-000274,-0.2073159535071916
ACH-000277,-0.34987709579351794
ACH-000278,0.033773280786648166
ACH-000279,-0.18394137519899914
ACH-000280,-0.22152827892094806
ACH-000281,-0.2547775134383388
ACH-000288,-0.11979814796179715
ACH-000291,-0.06843950777034223
ACH-000293,-0.16711573824942147
ACH-000294,0.0025482830970862953
ACH-000295,-0.14726840797028534
ACH-000296,-0.17678312127222234
ACH-000302,-0.2362909929308473
ACH-000304,-0.1583737600091055
ACH-000307,-0.21905869800084812
ACH-000308,-0.1386073269770401
ACH-000310,-0.19719105096194534
ACH-000311,-0.33679345806683986
ACH-000312,-0.20765151733652326
ACH-000315,-0.09033651601650657
ACH-000316,-0.05916251562815704
ACH-000317,-0.2771868931487842
ACH-000318,-0.031041064236443094
ACH-000319,-0.34062170301892825
