,MAGOH (4116)
ACH-000004,-0.550138639848
ACH-000005,-0.4307804309580655
ACH-000007,-0.7324433725724107
ACH-000009,-0.4289228591943173
ACH-000011,-0.1950407896281795
ACH-000012,-0.7351572021636796
ACH-000013,-0.6129872494626151
ACH-000014,-0.5719578035525862
ACH-000015,-0.7241463532167725
ACH-000017,-0.5305167421884383
ACH-000018,-0.8708807022022776
ACH-000019,-0.7530675486794141
ACH-000021,-0.9312054724451386
ACH-000022,-0.9407000562252142
ACH-000025,-0.7705989419678427
ACH-000028,-0.7287798062938471
ACH-000030,-0.24124847015802997
ACH-000035,-0.7654977348548532
ACH-000036,-0.8183225530174677
ACH-000037,-1.0306200691631624
ACH-000039,-0.7305334341823763
ACH-000040,-0.8321483274192515
ACH-000041,-0.2209221331623152
ACH-000042,-0.889057911623285
ACH-000045,-0.8115196279502357
ACH-000047,-0.592645262334203
ACH-000052,-0.4378402115028868
ACH-000053,-0.7377732420025046
ACH-000054,-0.3522954584108789
ACH-000055,-0.5222806532435437
ACH-000060,-0.40017108997267703
ACH-000067,-0.4974255210644937
ACH-000070,-0.8566108228434534
ACH-000075,-0.4670901336254877
ACH-000078,-0.4125201627797487
ACH-000082,-0.23984627666418806
ACH-000085,-0.4648280621589943
ACH-000086,-0.2978570846911553
ACH-000087,-0.283949801739458
ACH-000092,-0.4435856640693812
ACH-000095,-0.773553661050135
ACH-000097,-0.056242755971193915
ACH-000098,-0.5419326443123329
ACH-000099,-0.6456246207649998
ACH-000108,-0.4501907019676277
ACH-000113,-0.3597025773708063
ACH-000116,-0.7581575063528149
ACH-000118,-0.8606384897226164
ACH-000120,-0.5484102082135411
ACH-000123,-0.3704303908096967
ACH-000127,-0.8388663916135735
ACH-000128,-0.8621432080811642
ACH-000132,-0.4811942815163695
ACH-000133,-0.3285635826312484
ACH-000137,-0.7168722490229195
ACH-000138,-0.7581275533473288
ACH-000142,-0.410718155146278
ACH-000143,-0.6657453053810383
ACH-000146,-0.5981274257500493
