,GPR116 (221395)
ACH-000004,-0.017096728824068676
ACH-000005,-0.4434286231523909
ACH-000007,-0.1576781508604866
ACH-000009,-0.2077530458942939
ACH-000011,-0.08140086369992756
ACH-000012,-0.30629134252712
ACH-000013,-0.3478437881886038
ACH-000014,-0.39640361790070855
ACH-000015,-0.1759142088009621
ACH-000017,-0.2853490917401194
ACH-000018,-0.3869051514854981
ACH-000019,-0.1366954755277656
ACH-000021,-0.2274290151301199
ACH-000022,-0.23127482139425
ACH-000025,-0.1858541204555055
ACH-000028,-0.15962099045966865
ACH-000030,-0.2066621439746718
ACH-000035,-0.3642768464624976
ACH-000036,-0.11911606231518808
ACH-000037,-0.058612798705751375
ACH-000039,-0.2590917996738677
ACH-000040,-0.23212367461959474
ACH-000041,-0.07287490918546481
ACH-000042,-0.1709079996173245
ACH-000045,-0.28004951957446783
ACH-000047,-0.12982925319795255
ACH-000052,-0.2593716658236897
ACH-000053,-0.15810004584958592
ACH-000054,-0.25310016258810075
ACH-000055,-0.1312007559588476
ACH-000060,-0.2328104441190791
ACH-000067,-0.2101871984322657
ACH-000070,-0.2120991602699523
ACH-000075,-0.13489440827063573
ACH-000078,-0.11407401007381715
ACH-000082,-0.16699528068726016
ACH-000085,-0.12595433884150367
ACH-000086,-0.17896993939080574
ACH-000087,-0.05736199208707823
ACH-000092,-0.15101694076491454
ACH-000095,-0.19536580174869692
ACH-000097,-0.22214488899467846
ACH-000098,-0.14219082919755055
ACH-000099,-0.21040474391880445
ACH-000108,-0.12182785660435586
ACH-000113,-0.1984893969871526
ACH-000116,-0.1975407559884568
ACH-000118,-0.22258429483503106
ACH-000120,-0.16081934707714785
ACH-000123,-0.15373103505735355
ACH-000127,-0.29569350881323964
ACH-000128,-0.1120457402253076
ACH-000132,-0.1505590472076394
ACH-000133,-0.25630566289154305
ACH-000137,-0.18768709567637284
ACH-000138,-0.1597477257260555
ACH-000142,-0.30713538671153645
ACH-000143,-0.15949195190593027
ACH-000146,-0.2083188828130594
ACH-000148,-0.1809859402958337
ACH-000150,0.009209281196791652
ACH-000152,-0.17547154947853946
ACH-000153,-0.017650631440768637
ACH-000159,-0.08979510366336678
ACH-000160,-0.3516644238337606
ACH-000163,-0.0745218146046888
ACH-000167,-0.3559155507437821
