,POLR2B (5431)
ACH-000004,-1.4756043264961642
ACH-000005,-1.242497324336442
ACH-000007,-1.32792730117327
ACH-000009,-1.0077999617253586
ACH-000011,-0.9616739861259932
ACH-000012,-1.2260784245582426
ACH-000013,-1.096531910454153
ACH-000014,-1.061621355563953
ACH-000015,-1.2324072787939602
ACH-000017,-0.9680745314374288
ACH-000018,-1.215785670476805
ACH-000019,-1.3585262981746713
ACH-000021,-1.0446615511638666
ACH-000022,-1.3049060881102288
ACH-000025,-1.2091397641539623
ACH-000028,-1.090191599359983
ACH-000030,-1.2648137503840582
ACH-000035,-1.1294140248415443
ACH-000036,-1.3411856653505028
ACH-000037,-1.3566369559710525
ACH-000039,-1.092021168821095
ACH-000040,-1.1512791462475644
ACH-000041,-1.1568059088670484
ACH-000042,-1.1066701224528896
ACH-000045,-1.221040301560396
ACH-000047,-1.2826154276277109
ACH-000052,-1.4881915468332068
ACH-000053,-1.3035846001576832
ACH-000054,-1.0637571087450095
ACH-000055,-1.019688474742761
ACH-000060,-1.0114208878001372
ACH-000067,-1.1791811023039185
ACH-000070,-1.3606117861965237
ACH-000075,-1.1013993425917812
ACH-000078,-1.3130067709563478
ACH-000082,-1.1933556661263884
ACH-000085,-1.1475604369023078
ACH-000086,-1.2027132211166809
ACH-000087,-1.4553867218538337
ACH-000092,-1.1888162404385088
ACH-000095,-1.2296062118570643
ACH-000097,-1.1563461400693709
ACH-000098,-1.1451154482943673
ACH-000099,-1.2394178662546207
ACH-000108,-1.2416845933151852
ACH-000113,-1.4790534135117506
ACH-000116,-1.3587378966366987
ACH-000118,-1.1495040115739417
ACH-000120,-1.1693582241561944
ACH-000123,-1.2028627135729677
ACH-000127,-1.4507404098476293
ACH-000128,-1.089903531508427
ACH-000132,-1.179753039257087
ACH-000133,-1.1503530827568946
ACH-000137,-1.3554485302463375
ACH-000138,-1.2880635913638492
ACH-000142,-1.1116829672727286
ACH-000143,-1.2369848692188659
ACH-000146,-1.355812777659474
ACH-000148,-1.2012752165150733
ACH-000150,-1.136862169308551
ACH-000152,-1.2924959921708483
ACH-000153,-1.0514186378827663
ACH-000159,-1.2559683470867988
ACH-000160,-1.1048221170386276
ACH-000163,-1.0017569302784597
ACH-000167,-1.4598848326495966
ACH-000168,-1.1311608915120268
ACH-000169,-1.3123607812910898
ACH-000178,-1.1976316839518282
ACH-000183,-1.2972281545053437
ACH-000188,-1.3398317692501085
ACH-000189,-1.2367218457381144
ACH-000190,-1.1439556224443002
ACH-000198,-1.1012179517325027
ACH-000203,-1.2036311067940395
ACH-000204,-1.3399268540456235
ACH-000206,-1.2049284270788156
ACH-000207,-0.9963971184804452
ACH-000208,-1.4000314795519486
ACH-000210,-1.2879191617372596
ACH-000211,-1.1972993667949894
ACH-000215,-1.3667573861315017
ACH-000221,-1.1700044970070766
ACH-000222,-1.1846183435114508
ACH-000223,-1.3806785955592722
ACH-000226,-1.1906415440224796
ACH-000227,-1.2904917661955593
ACH-000228,-1.4286872290900838
ACH-000231,-1.4732527730266625
ACH-000232,-1.0742114022827998
ACH-000233,-1.1677362532749136
