,FCGR1B (2210)
ACH-000004,-0.3130024437313442
ACH-000005,0.12244937943122335
ACH-000007,-0.2446795237350487
ACH-000009,-0.32395545580680474
ACH-000011,-0.5799119798142042
ACH-000012,-0.5135052648042095
ACH-000013,-0.41337722374465896
ACH-000014,-0.2319471037293325
ACH-000015,-0.4995162545290952
ACH-000017,-0.2091262231227801
ACH-000018,-0.2942856521389136
ACH-000019,-0.3839828510344896
ACH-000021,-0.13077480157296878
ACH-000022,-0.30108335517624824
ACH-000025,-0.6526922229911638
ACH-000028,-0.3299617000796167
ACH-000030,-0.1609823088773647
ACH-000035,-0.40742641211043057
ACH-000036,-0.34874840425697146
ACH-000037,-0.1475120989491397
ACH-000039,-0.5060208161564951
ACH-000040,-0.4490937711393153
ACH-000041,-0.3074407780989978
ACH-000042,-0.2713991683853653
ACH-000045,-0.2770054321286332
ACH-000047,-0.1411873816877799
ACH-000052,-0.2833323058558076
ACH-000053,-0.24892779277856897
ACH-000054,-0.2772451338109085
ACH-000055,-0.5098012908408446
ACH-000060,-0.36255650419408986
ACH-000067,-0.3199661165470025
ACH-000070,-0.15966604426370426
ACH-000075,-0.2245132424152324
ACH-000078,-0.1832450620690116
ACH-000082,-0.12790499525449847
ACH-000085,-0.26911389931467017
ACH-000086,-0.6219599423241539
ACH-000087,-0.2313563418651469
ACH-000092,-0.4553088955641923
ACH-000095,-0.12398682752028507
ACH-000097,-0.3410533367856216
ACH-000098,-0.3432401747805512
ACH-000099,-0.2285761532554058
ACH-000108,-0.18021250881374987
ACH-000113,-0.3396723474418535
ACH-000116,-0.05385827641343832
ACH-000118,-0.23321710481311894
ACH-000120,-0.2377586254715106
ACH-000123,-0.4988954417188839
ACH-000127,-0.3503950124100013
ACH-000128,-0.2974144881535306
ACH-000132,-0.2360729701918209
ACH-000133,-0.4755422925575459
ACH-000137,-0.5582582486132939
ACH-000138,-0.2813912513419945
ACH-000142,-0.2872090463006975
ACH-000143,-0.17620539008064562
ACH-000146,-0.33408455081182936
ACH-000148,-0.4135742994559548
ACH-000150,-0.18435217104904067
ACH-000152,-0.4135344578964845
ACH-000153,-0.2394149973901329
ACH-000159,-0.2774865531189928
ACH-000160,-0.24909893410961895
