,XXYLT1 (152002)
ACH-000004,-0.16040362979980755
ACH-000005,-0.22735042027552785
ACH-000007,-0.13709357199036667
ACH-000009,-0.3067310179157413
ACH-000011,-0.1297474311813597
ACH-000012,-0.3223635111256515
ACH-000013,-0.16425460159006888
ACH-000014,-0.21622099910978002
ACH-000015,-0.16864402019561345
ACH-000017,-0.2932748397201796
ACH-000018,-0.20684852079473656
ACH-000019,-0.3356173822290705
ACH-000021,-0.09593606634485284
ACH-000022,-0.12333023665297635
ACH-000025,-0.28424391983053204
ACH-000028,-0.42027998319680737
ACH-000030,-0.2699826896344117
ACH-000035,-0.08084996146942931
ACH-000036,-0.3517592429156092
ACH-000037,-0.114017403888963
ACH-000039,-0.3346037090379949
ACH-000040,-0.2387977118657201
ACH-000041,-0.0730404063071813
ACH-000042,-0.25683151437802565
ACH-000045,-0.304784881534037
ACH-000047,-0.3958342538886208
ACH-000052,-0.2920834797735853
ACH-000053,-0.3455288994092313
ACH-000054,-0.25112357883043906
ACH-000055,-0.2953165536798185
ACH-000060,-0.4126754684615421
ACH-000067,-0.2839302935254063
ACH-000070,-0.16953035751692555
ACH-000075,-0.07511260790908282
ACH-000078,-0.0228463177303226
ACH-000082,-0.14033287565042205
ACH-000085,-0.03335942255684097
ACH-000086,-0.30895295416571683
ACH-000087,-0.16476503042342716
ACH-000092,-0.2074350203553014
ACH-000095,-0.2717537085151449
ACH-000097,-0.16177820625723044
ACH-000098,-0.13626764862639612
ACH-000099,-0.20824643018534345
ACH-000108,-0.3495447016014362
ACH-000113,-0.12464365516279173
ACH-000116,-0.24388016787622616
ACH-000118,-0.15594830682151434
ACH-000120,-0.1660742663829569
ACH-000123,-0.2504722367206557
ACH-000127,-0.207186981732826
ACH-000128,-0.17682113286937912
ACH-000132,-0.2697690072126948
ACH-000133,-0.2887883983529448
ACH-000137,-0.05392895747219623
ACH-000138,-0.3414069725833148
ACH-000142,-0.34379526569693936
ACH-000143,-0.3631413671787759
ACH-000146,-0.2504898156783367
ACH-000148,-0.13055668373321133
ACH-000150,-0.2272348250442233
ACH-000152,-0.20470635068842727
ACH-000153,-0.1389938473834959
ACH-000159,-0.2354169298100587
ACH-000160,-0.4383009170858984
ACH-000163,-0.053176222850270106
ACH-000167,-0.3303599246822263
ACH-000168,-0.4219698578470384
ACH-000169,-0.12159762053489148
ACH-000178,-0.28629493426003394
ACH-000183,-0.3766892559914808
ACH-000188,-0.22548597841469534
ACH-000189,-0.3797610625319127
