,CAMSAP1 (157922)
ACH-000004,0.0914854744821232
ACH-000005,0.16160514586005287
ACH-000007,-0.13380022439229286
ACH-000009,-0.17254666021665074
ACH-000011,-0.14924931201077749
ACH-000012,0.0114165658728297
ACH-000013,-0.24710068830519386
ACH-000014,0.03364611681845472
ACH-000015,-0.1946486173221152
ACH-000017,-0.0010494091015814811
ACH-000018,-0.2029172306673437
ACH-000019,-0.11740281310024014
ACH-000021,-0.10670288281837728
ACH-000022,-0.21530580766448265
ACH-000025,0.041915178842151214
ACH-000028,0.02576667523486972
ACH-000030,0.00910384275067159
ACH-000035,-0.010184029432108176
ACH-000036,-0.17658256820275986
ACH-000037,-0.18115120834973927
ACH-000039,-0.042544226274394664
ACH-000040,-0.2108042579635961
ACH-000041,-0.318710494031166
ACH-000042,-0.15857120004734582
ACH-000045,-0.05472925788102908
ACH-000047,-0.12090957092817026
ACH-000052,-0.0049434748833045074
ACH-000053,-0.015305852659717834
ACH-000054,-0.09852610327864908
ACH-000055,0.07692904508216916
ACH-000060,-0.19451687008514434
ACH-000067,-0.19385616535802205
ACH-000070,-0.012983764569445205
ACH-000075,-0.059852765087961876
ACH-000078,0.030066096705294906
ACH-000082,0.012440961311641591
ACH-000085,-0.012173893451703128
ACH-000086,-0.022207657777800413
ACH-000087,0.024620144398485158
ACH-000092,-0.036127408339364696
ACH-000095,-0.08138820775199827
ACH-000097,0.02539686775616056
ACH-000098,-0.09939369698461273
ACH-000099,-0.14533296784407454
ACH-000108,-0.222731875915764
ACH-000113,-0.06361583322225946
ACH-000116,-0.042609453215966896
ACH-000118,-0.18429345707815767
ACH-000120,-0.06191695030551456
ACH-000123,-0.06702618347780498
ACH-000127,-0.1188768585580153
ACH-000128,-0.12433004752842172
ACH-000132,-0.20901742195372336
ACH-000133,-0.0008032153764980767
ACH-000137,-0.051266797206301985
ACH-000138,-0.12703637717836555
ACH-000142,-0.047544608632215234
ACH-000143,-0.16493399671539574
ACH-000146,-0.10773366575050924
ACH-000148,-0.0963831403314253
ACH-000150,-0.14692191895598367
ACH-000152,-0.1900372560152417
ACH-000153,-0.05027952500986817
ACH-000159,-0.028169979894762838
ACH-000160,-0.16742365509786364
ACH-000163,-0.2332622693201912
ACH-000167,-0.20023177356929733
ACH-000168,-0.11250548235370343
ACH-000169,-0.1830250092737367
ACH-000178,-0.09704212632019033
ACH-000183,0.14745554109390271
ACH-000188,-0.08448565398603687
ACH-000189,-0.058076763162319675
ACH-000190,-0.16828164712163088
ACH-000198,-0.08354680555095978
ACH-000203,0.061031675294780235
ACH-000204,-0.2881316336209224
ACH-000206,-0.24410247189767345
ACH-000207,-0.0667462179030145
ACH-000208,-0.36907272093776
ACH-000210,-0.03346063065327125
ACH-000211,-0.04050559844751399
ACH-000215,-0.17921198497840832
ACH-000221,-0.21018222907615025
ACH-000222,-0.11495055116330075
ACH-000223,-0.15514706894468536
ACH-000226,0.05467680115636315
ACH-000227,-0.10078831402054628
ACH-000228,-0.13444655060981348
ACH-000231,-0.14377989497666405
ACH-000232,-0.05896696421559947
ACH-000233,-0.1343586227649614
ACH-000234,-0.06840835718693111
ACH-000235,-0.16156098344480554
ACH-000237,-0.2178234953577709
ACH-000238,-0.14091266655236398
ACH-000242,-0.12914476701941446
ACH-000243,-0.1524535970813033
ACH-000244,0.08181816919339785
ACH-000246,-0.13145325905344146
ACH-000248,0.021514678072599342
ACH-000250,-0.1527734215271105
ACH-000251,-0.27688191771267673
ACH-000252,-0.29429760365177465
ACH-000253,-0.12246234934390356
ACH-000255,-0.06635409314633504
ACH-000256,0.02294546862522794
ACH-000257,0.07954992587125033
ACH-000258,-0.16253502075735488
ACH-000259,-0.025566979706581137
ACH-000260,-0.05887289515479875
ACH-000261,-0.08784188501040821
ACH-000262,-0.19621413417142086
ACH-000263,0.11430126006264575
ACH-000264,-0.19409563023757875
ACH-000265,-0.09179090224895133
ACH-000266,-0.13954974739894546
ACH-000272,-0.06375819486108039
ACH-000274,-0.050542271660673266
ACH-000277,-0.08073143253423068
ACH-000278,-0.1047471783814222
ACH-000279,-0.05539231988935515
ACH-000280,-0.05733131406683616
ACH-000281,-0.11556570076536812
ACH-000288,0.06466107945799225
ACH-000291,-0.08517796499294297
ACH-000293,0.0135900776523914
ACH-000294,0.0032996490996615373
ACH-000295,-0.1162433092024883
ACH-000296,-0.20869779574241745
ACH-000302,-0.08461808392846372
ACH-000304,0.11513176828963124
ACH-000307,-0.2104790853926488
ACH-000308,-0.17001302120346035
ACH-000310,-0.10098855660251448
ACH-000311,-0.07129037546892128
ACH-000312,-0.15365294135448376
ACH-000315,-0.16968069446686534
ACH-000316,-0.17277058964463055
ACH-000317,-0.09456531458052432
ACH-000318,-0.04019061396937517
ACH-000319,0.05647474081737686
ACH-000320,-0.18589012870053234
ACH-000322,-0.07579610986401157
ACH-000323,-0.02474340610895372
ACH-000324,-0.06729298569587926
ACH-000329,-0.01766516625449235
ACH-000330,0.06437398944896014
ACH-000331,-0.1519212615713251
ACH-000332,-0.14172696805750146
ACH-000334,-0.15670922401077747
ACH-000335,-0.17226660446781536
ACH-000336,-0.04964508955358593
ACH-000337,-0.40777281713829616
