,EIF2B3 (8891)
ACH-000004,-1.0010672630188664
ACH-000005,-0.8538896664072244
ACH-000007,-1.5287351039261052
ACH-000009,-1.115404706509133
ACH-000011,-1.1440532449311374
ACH-000012,-0.7427453419368534
ACH-000013,-1.059652395032832
ACH-000014,-1.2163603270617116
ACH-000015,-0.9885832761366696
ACH-000017,-0.9161187651079146
ACH-000018,-1.1454619694712531
ACH-000019,-1.1830486837679508
ACH-000021,-1.1370158600715503
ACH-000022,-1.4247773793908105
ACH-000025,-0.9071771374457214
ACH-000028,-1.1848474978334658
ACH-000030,-0.9151565078488519
ACH-000035,-1.2429454876671713
ACH-000036,-1.1132018056574882
ACH-000037,-0.896731885218568
ACH-000039,-1.1056373406608202
ACH-000040,-1.1374636357401442
ACH-000041,-1.0035183519195816
ACH-000042,-0.8975513014900469
ACH-000045,-1.0953051573495818
ACH-000047,-1.059739661938877
ACH-000052,-1.1291443550922735
ACH-000053,-1.1459177453011935
ACH-000054,-0.9689672568760102
ACH-000055,-0.9444656979211746
ACH-000060,-1.3455886744599652
ACH-000067,-1.220115014891222
ACH-000070,-1.0931308741880783
ACH-000075,-1.034650238215902
ACH-000078,-0.7163666059184194
ACH-000082,-0.9995212376254204
ACH-000085,-0.9746389653861618
ACH-000086,-1.122265497377038
ACH-000087,-0.9578352846678276
ACH-000092,-1.2657837957522788
ACH-000095,-0.9335258209392148
ACH-000097,-1.4438159041084695
ACH-000098,-1.0376115785049047
ACH-000099,-0.9959230753673716
ACH-000108,-1.091614219916715
ACH-000113,-1.0420680582854418
ACH-000116,-1.0376652050196964
ACH-000118,-0.84301662431632
ACH-000120,-0.9472640117110276
ACH-000123,-1.1995606900664408
ACH-000127,-1.2190786218819472
ACH-000128,-1.0809635589036253
ACH-000132,-0.9672896839579956
ACH-000133,-1.0267298500206643
ACH-000137,-1.1611147528696248
ACH-000138,-1.0630212973840871
ACH-000142,-1.0306774799238387
ACH-000143,-1.0790394118376236
ACH-000146,-0.6515306837719166
ACH-000148,-1.1639114447638566
ACH-000150,-0.9803352835966216
ACH-000152,-0.9373951217615444
ACH-000153,-1.021448273672079
ACH-000159,-1.0756670324214537
ACH-000160,-0.9328572542719372
ACH-000163,-1.028912559299807
ACH-000167,-1.4819282305689467
ACH-000168,-0.8877539525266456
ACH-000169,-0.8438205255365923
ACH-000178,-0.7550779559191833
ACH-000183,-1.3878578205347478
ACH-000188,-0.7230626149928834
ACH-000189,-0.9743611189298496
ACH-000190,-1.1840470232104112
ACH-000198,-0.8088439063175787
ACH-000203,-0.6561994981622403
ACH-000204,-1.0231110826947272
ACH-000206,-0.907779590078817
ACH-000207,-1.2080004616551967
ACH-000208,-1.022522950049821
ACH-000210,-1.106676786120477
ACH-000211,-1.0344059198392213
ACH-000215,-1.1552753014637112
ACH-000221,-0.8092699522306082
ACH-000222,-1.2278171863453462
ACH-000223,-1.2456107310691669
ACH-000226,-0.8867354643875295
ACH-000227,-1.100778261323352
ACH-000228,-0.8628124808544537
ACH-000231,-0.8698167441871659
ACH-000232,-1.2591225694566763
ACH-000233,-0.623220475389026
ACH-000234,-1.1215654863923847
ACH-000235,-1.2203375885346102
ACH-000237,-1.0955325039959485
ACH-000238,-1.4589048430185796
ACH-000242,-1.048780136084688
ACH-000243,-1.186510988635182
ACH-000244,-0.926150759372566
ACH-000246,-1.0132807999310165
ACH-000248,-1.077865067472977
ACH-000250,-0.8477005283305116
ACH-000251,-1.0669483358732368
ACH-000252,-1.1666248116589035
ACH-000253,-1.1848457918217141
ACH-000255,-0.8386047887871191
ACH-000256,-0.9430528651577929
ACH-000257,-1.12655795348193
ACH-000258,-0.6608890634489896
ACH-000259,-1.1679218469641712
ACH-000260,-0.9778418761438884
ACH-000261,-0.8921771145778893
ACH-000262,-1.0183055324723451
ACH-000263,-1.2195798202217256
ACH-000264,-1.3542971322723525
ACH-000265,-1.070994569334507
ACH-000266,-1.0009002711506507
ACH-000272,-1.3000676755690883
ACH-000274,-1.135293121345245
ACH-000277,-1.4852095356579305
ACH-000278,-0.7925577093064508
ACH-000279,-1.1527629074256376
ACH-000280,-1.0034356786731673
ACH-000281,-0.8585916250113647
ACH-000288,-1.2757271867387123
ACH-000291,-0.8745050218795409
ACH-000293,-0.7123348837226257
ACH-000294,-0.9207064850313944
ACH-000295,-0.8996598117591835
ACH-000296,-0.8898753754026169
ACH-000302,-1.1346767496300525
ACH-000304,-1.0646422673476177
ACH-000307,-1.1199948177726258
ACH-000308,-0.8839531891979566
ACH-000310,-1.268592013644695
ACH-000311,-0.9894367479871088
ACH-000312,-1.2918568016001315
ACH-000315,-1.36628674896698
ACH-000316,-0.9737689442217604
ACH-000317,-1.444322530053581
ACH-000318,-1.1978293819237251
ACH-000319,-1.2050356355823308
ACH-000320,-1.057286769933751
ACH-000322,-1.2921014518740208
ACH-000323,-0.8922096453993313
ACH-000324,-0.7861782605715859
ACH-000329,-1.0885065165263341
ACH-000330,-1.020781516357724
ACH-000331,-0.8464755089963466
ACH-000332,-1.2984691080041664
ACH-000334,-0.9220606103583
ACH-000335,-1.0612475230959708
ACH-000336,-1.0815301759381262
ACH-000337,-1.045763891210295
ACH-000338,-1.4448545722279786
ACH-000339,-0.8556569080014382
ACH-000341,-1.046251763579087
ACH-000348,-0.9041183386153108
ACH-000350,-0.7815848647106304
ACH-000352,-1.2454719966476222
ACH-000356,-1.1715501418770868
ACH-000361,-0.7724737163279867
ACH-000362,-0.7541447438890089
ACH-000363,-1.1949386721432451
ACH-000364,-0.8723171814808691
ACH-000365,-0.7623238189632472
