,PI4K2B (55300)
ACH-000004,-0.031969841380402514
ACH-000005,0.02018104355305813
ACH-000007,0.1241771515411192
ACH-000009,0.07607823338487205
ACH-000011,0.05120075058021646
ACH-000012,0.04451729142547769
ACH-000013,0.08987384981801104
ACH-000014,0.21172327416307385
ACH-000015,0.06311403423190949
ACH-000017,-0.039698806105231466
ACH-000018,0.002446829507974438
ACH-000019,-0.07158797465796435
ACH-000021,0.052016559933159005
ACH-000022,0.0898273021634985
ACH-000025,0.20883641077942536
ACH-000028,0.01541292180367965
ACH-000030,0.003595976010482115
ACH-000035,0.019615286729253997
ACH-000036,0.06261952072389701
ACH-000037,0.06285811611950591
ACH-000039,0.3128266593252104
ACH-000040,0.0011613966347357738
ACH-000041,-0.05037073667459945
ACH-000042,0.0903338664120683
ACH-000045,0.021248199800821748
ACH-000047,0.014707229064337331
ACH-000052,0.0265584062887879
ACH-000053,0.06290915965262221
ACH-000054,0.01094276187757525
ACH-000055,0.052250281374864316
ACH-000060,-0.05376994208482025
ACH-000067,0.039063861199814594
ACH-000070,0.004724900482442006
ACH-000075,-0.09232820548182813
ACH-000078,0.020265116334460157
ACH-000082,0.023243378897010624
ACH-000085,0.0088781205963202
ACH-000086,0.040546033997862
ACH-000087,0.08605551623038175
ACH-000092,0.09859177525715833
ACH-000095,0.10353415898555147
ACH-000097,0.012149528137105379
ACH-000098,0.08462192897746655
ACH-000099,0.15902441014523694
ACH-000108,0.10240030778746127
ACH-000113,-0.06292973398636709
ACH-000116,-0.012293423197257085
ACH-000118,0.02189125656377603
ACH-000120,-0.023046989548019075
ACH-000123,0.02713419166702897
ACH-000127,-0.0037391036169530994
ACH-000128,0.12293270871435867
ACH-000132,0.056058272594093295
ACH-000133,-0.0062874573537505295
ACH-000137,-0.07968064224491843
ACH-000138,0.0036834748119928397
ACH-000142,0.10576222717881673
ACH-000143,-0.07086641080621182
ACH-000146,-0.0014186246699578898
ACH-000148,0.06495526072202921
ACH-000150,-0.03864325255156365
ACH-000152,-0.0008002419835627581
ACH-000153,0.11292440311721275
ACH-000159,-0.03771265699697261
ACH-000160,-0.0533779484256008
ACH-000163,-0.09219562447631983
ACH-000167,-0.01054526326493041
ACH-000168,-0.006425002974663004
ACH-000169,0.165706499881664
ACH-000178,0.09103433319449436
ACH-000183,0.0695822846738238
ACH-000188,0.09440830654584433
ACH-000189,0.20496991498164724
ACH-000190,-0.10426850302660524
ACH-000198,0.04723135248154897
ACH-000203,0.26340798267343946
ACH-000204,-0.00015927426115617307
ACH-000206,0.05263031030240481
ACH-000207,0.13597073306118973
ACH-000208,0.08272287815793851
ACH-000210,-0.12307482770088432
ACH-000211,0.02785708907939527
ACH-000215,0.04692990265462957
ACH-000221,0.006890379661026858
ACH-000222,0.06465873122913036
ACH-000223,0.01429080950660412
ACH-000226,0.029058847247325933
ACH-000227,0.030116362373749806
ACH-000228,0.03860615010099792
ACH-000231,0.0601913467760845
ACH-000232,0.0926566808853686
ACH-000233,0.20267354922054298
ACH-000234,0.03218664420646974
ACH-000235,0.0896181886196985
ACH-000237,0.09238465319653294
ACH-000238,0.029292371193549938
ACH-000242,0.12687840134719894
ACH-000243,0.0035430616788945904
ACH-000244,-0.1405766977102966
ACH-000246,0.024656920171350245
ACH-000248,0.06791243594715304
ACH-000250,0.00797444831926188
ACH-000251,-0.022746465470921448
ACH-000252,0.0074812711544759315
ACH-000253,0.0492466497851876
ACH-000255,0.05882108765856031
ACH-000256,0.15126225069899946
ACH-000257,0.1189795653899074
ACH-000258,0.18432545825227187
ACH-000259,0.02001278310562072
ACH-000260,0.05254769241094495
ACH-000261,0.013097326974232344
ACH-000262,0.03381234253304016
ACH-000263,-0.3859946048032902
ACH-000264,0.062144967727934125
ACH-000265,0.0005429709727678387
ACH-000266,0.016405387187601327
ACH-000272,0.04762104644138991
ACH-000274,-0.02227919015603617
ACH-000277,0.13000781074572004
ACH-000278,0.13389840984242293
ACH-000279,-0.049100211425809184
ACH-000280,0.07406706067331922
ACH-000281,-0.027477543187416652
ACH-000288,0.13129115991129414
ACH-000291,-0.040451568506139284
ACH-000293,0.110784570735907
ACH-000294,-0.020781596120096425
ACH-000295,0.2385157813778222
ACH-000296,0.06864604829143668
ACH-000302,0.07761675320796631
ACH-000304,-0.05599137298907048
ACH-000307,0.14953108721182645
ACH-000308,-0.00317791479789382
ACH-000310,0.05006392206547315
ACH-000311,-0.07377075685545133
ACH-000312,0.05471283178378409
ACH-000315,-0.16950771905140394
ACH-000316,0.2175383863399684
ACH-000317,-0.16479382221925878
ACH-000318,-0.06351652987723358
ACH-000319,0.042796351986261034
ACH-000320,-0.040832073438295764
ACH-000322,0.23205661026219135
ACH-000323,-0.04641521840467496
ACH-000324,0.04569190498094601
ACH-000329,-0.015633279455160836
ACH-000330,-0.0997550612483059
ACH-000331,0.08204268781585869
ACH-000332,0.020540645718410525
ACH-000334,0.08585417957064356
ACH-000335,-0.011085060968632644
ACH-000336,-0.005123658425008855
ACH-000337,0.1227368966494603
ACH-000338,0.363912035361377
ACH-000339,0.09000713899377898
ACH-000341,-0.013334980184176427
ACH-000348,0.11767123550961522
ACH-000350,0.1078304269053056
ACH-000352,-0.11788970378557152
ACH-000356,0.14748147129746414
ACH-000361,0.027951923000333542
ACH-000362,0.07561283470586523
ACH-000363,0.0650985308651248
ACH-000364,-0.009201553211234148
ACH-000365,-0.04760983758808547
ACH-000366,-0.019634383485963608
ACH-000368,0.0019102941959039169
ACH-000374,0.036750456263390435
ACH-000375,0.11021624690010644
ACH-000376,0.05929910852169756
ACH-000381,-0.0031318263568102835
ACH-000383,0.055413343890271916
ACH-000387,0.0901778512892994
ACH-000389,0.09189371586836484
ACH-000390,0.03308798151707255
ACH-000393,0.01352108925026028
ACH-000395,-0.032547478181265785
ACH-000396,-0.08837684938976409
ACH-000397,0.0005465423010237343
ACH-000401,0.04701258694252308
ACH-000402,-0.3830496721312659
ACH-000403,0.034962902515191484
ACH-000404,-0.05226860346218015
ACH-000406,0.08267200696213307
ACH-000407,0.21736602804799293
ACH-000408,-0.0264773567683367
ACH-000410,0.18204452271632204
ACH-000411,0.11926464675630055
ACH-000414,0.04575643835152978
