,HINFP (25988)
ACH-000004,-0.9772528705593276
ACH-000005,-1.33691823074058
ACH-000007,-0.8468549649027485
ACH-000009,-0.8182485409882007
ACH-000011,-0.9728569491216248
ACH-000012,-0.7856953176439765
ACH-000013,-1.3069896588563634
ACH-000014,-0.6769215359277215
ACH-000015,-1.0223259403197715
ACH-000017,-1.0268274684412164
ACH-000018,-0.8763843884649088
ACH-000019,-0.6955688557070641
ACH-000021,-0.8505999556614948
ACH-000022,-1.019655146754784
ACH-000025,-0.8353017053815993
ACH-000028,-0.7965180436552242
ACH-000030,-0.823770062376075
ACH-000035,-0.842807682822489
ACH-000036,-0.9735800898228242
ACH-000037,-0.4798501600418473
ACH-000039,-0.8256480958852068
ACH-000040,-0.9070938048205682
ACH-000041,-1.000330438545662
ACH-000042,-0.9306685405583736
ACH-000045,-0.9540787872938868
ACH-000047,-0.9430273834632414
ACH-000052,-0.7622464694725647
ACH-000053,-1.1689980840980048
ACH-000054,-0.7955750410879155
ACH-000055,-0.952572341848646
ACH-000060,-0.8873459270581044
ACH-000067,-0.805212473078215
ACH-000070,-0.8327344199875584
ACH-000075,-0.9813554845269938
ACH-000078,-1.0378862092439134
ACH-000082,-0.900850687515139
ACH-000085,-1.1310539847966177
ACH-000086,-1.011062016264856
ACH-000087,-1.0228527322057903
ACH-000092,-0.7617834326808062
ACH-000095,-1.0329808999670385
ACH-000097,-0.9057330674934844
ACH-000098,-0.8952069792696985
ACH-000099,-0.7777876224005179
ACH-000108,-0.9352641703423432
ACH-000113,-0.8870278904819221
ACH-000116,-1.0567914043111122
ACH-000118,-1.0946884947864906
ACH-000120,-0.9206453506172662
ACH-000123,-0.9391580339742084
ACH-000127,-0.8788561357089812
ACH-000128,-0.8897150578902803
ACH-000132,-0.4855395099801858
ACH-000133,-0.9268840881862148
ACH-000137,-1.444521212264274
ACH-000138,-0.9137701478845895
ACH-000142,-0.9673244129144462
ACH-000143,-0.9694073793420612
ACH-000146,-0.8695206587545383
ACH-000148,-1.0920113864157963
ACH-000150,-1.0043068559091122
ACH-000152,-0.7843307610307181
ACH-000153,-1.1429862531596031
ACH-000159,-1.1735963204936497
ACH-000160,-0.8912805383515886
ACH-000163,-0.8768899632639009
ACH-000167,-1.0896023677265698
ACH-000168,-0.9677211658532352
ACH-000169,-0.928825493306788
ACH-000178,-0.8661571553018027
ACH-000183,-0.9565618492864192
ACH-000188,-0.888241848429107
ACH-000189,-1.178790477884547
ACH-000190,-0.590874583230471
ACH-000198,-0.9911002161350791
ACH-000203,-0.951600508230594
ACH-000204,-0.6916047965689861
ACH-000206,-0.8737348614887597
ACH-000207,-0.6607027773723655
ACH-000208,-1.0363526393402045
ACH-000210,-1.0747613187508955
ACH-000211,-0.9657459935761554
ACH-000215,-0.9370364308370166
ACH-000221,-1.1518528517914612
ACH-000222,-0.9835630944451568
ACH-000223,-0.7888824130853477
ACH-000226,-0.7889834319065208
ACH-000227,-0.7593334449818684
ACH-000228,-1.1624826801235175
ACH-000231,-0.9322723176172198
ACH-000232,-1.0232195292516486
ACH-000233,-0.9546757690697772
ACH-000234,-0.9291403584674344
ACH-000235,-0.8212480569315734
ACH-000237,-0.7905270812733688
ACH-000238,-0.8529987178979711
ACH-000242,-0.9435820048800164
ACH-000243,-0.9960057448939414
ACH-000244,-0.7420238861112318
ACH-000246,-0.8610435824525902
ACH-000248,-0.8604028641569942
ACH-000250,-0.8276267385780902
ACH-000251,-0.4744206539445629
ACH-000252,-0.8717431974834059
ACH-000253,-1.0088089113177074
ACH-000255,-0.9193126925140288
ACH-000256,-0.8231645263997031
ACH-000257,-0.9101415210613684
ACH-000258,-0.9184362582697524
ACH-000259,-1.2039940150979511
ACH-000260,-1.0285493286056857
ACH-000261,-0.8125925400491726
ACH-000262,-1.1184813118891341
ACH-000263,-1.0803536417141093
ACH-000264,-0.4467425255642024
ACH-000265,-1.065738760113914
ACH-000266,-0.8470197629094649
ACH-000272,-0.903059604373328
ACH-000274,-0.9823612179663456
ACH-000277,-0.8413625059846898
ACH-000278,-1.292131234548949
ACH-000279,-0.8445170360867692
ACH-000280,-1.0243112315512657
ACH-000281,-0.7954071940486475
ACH-000288,-0.9904567030655509
ACH-000291,-0.9614483316598524
ACH-000293,-1.467261828249646
ACH-000294,-0.8767353632247982
ACH-000295,-1.0881125455955456
ACH-000296,-0.942389172377146
ACH-000302,-0.8798798413954784
ACH-000304,-0.7273939816788734
ACH-000307,-0.9253203183510524
ACH-000308,-0.6892928313649688
ACH-000310,-0.8927363487619248
ACH-000311,-0.7579251242319616
ACH-000312,-0.9696937676511356
ACH-000315,-1.0873138264060218
ACH-000316,-1.1137381800507236
ACH-000317,-1.2749918901239603
ACH-000318,-0.9239327956881
ACH-000319,-1.0671256278328256
ACH-000320,-0.9414569141488559
ACH-000322,-0.7861288466245774
ACH-000323,-0.7594188271327024
ACH-000324,-0.9310913268740996
ACH-000329,-0.8292286628691549
ACH-000330,-1.0572381368161508
ACH-000331,-0.9216130259090852
ACH-000332,-0.7470949249197318
ACH-000334,-0.6375312307230422
ACH-000335,-0.7911203341523304
ACH-000336,-0.6432506143127146
ACH-000337,-1.2737364460043556
ACH-000338,-0.95587781978781
ACH-000339,-0.7902423880972258
ACH-000341,-0.8963719868061562
ACH-000348,-0.5967826770486189
ACH-000350,-0.8175458260017459
ACH-000352,-1.0106042698991209
ACH-000356,-0.9365423882220616
ACH-000361,-0.9228536248542502
ACH-000362,-0.9055198191007224
ACH-000363,-0.7495285110918528
ACH-000364,-0.7636577894360989
ACH-000365,-1.0210294788177952
ACH-000366,-1.0098126140554289
ACH-000368,-1.1448122391255755
ACH-000374,-1.0319622459777855
ACH-000375,-0.7385059807440559
ACH-000376,-0.9645100835674282
ACH-000381,-0.7520668045861482
ACH-000383,-0.7726219898939117
ACH-000387,-1.1731722380989973
ACH-000389,-0.9562505282059038
ACH-000390,-1.0798207196296592
ACH-000393,-0.8253870879047195
ACH-000395,-0.9816493199251212
ACH-000396,-0.7590173085568552
ACH-000397,-0.8479178044589871
ACH-000401,-0.9096006234354151
ACH-000402,-1.063687907193106
ACH-000403,-0.5508572292843571
ACH-000404,-0.8481655219856697
ACH-000406,-1.0297157990741812
ACH-000407,-0.9863817773924302
ACH-000408,-0.8184412102710472
ACH-000410,-1.0194194145705284
ACH-000411,-0.9650469564564108
ACH-000414,-0.8940266530379775
ACH-000415,-1.2102657279648823
ACH-000416,-1.1218935642338073
ACH-000420,-1.0413365630036306
ACH-000421,-1.0474479715305944
ACH-000424,-0.8150842196578255
ACH-000425,-0.8158980066102836
ACH-000426,-0.3019381962768621
ACH-000427,-1.0316864054317365
ACH-000433,-0.9406695355056784
ACH-000435,-1.2791745033247608
