,PYCR1 (5831)
ACH-000004,-0.10515170657026443
ACH-000005,-0.14156526036746805
ACH-000007,-0.2210860904507523
ACH-000009,-0.22788354944969516
ACH-000011,-0.3060243114722084
ACH-000012,-0.2923600886575859
ACH-000013,-0.17110305738366127
ACH-000014,-0.2491125375670921
ACH-000015,-0.15333095791753967
ACH-000017,-0.1924817601913628
ACH-000018,-0.16852483477042954
ACH-000019,-0.2323742126932156
ACH-000021,-0.14411035959989993
ACH-000022,-0.24384723997142335
ACH-000025,-0.34540923545190994
ACH-000028,-0.3399016854402017
ACH-000030,-0.1911630982801477
ACH-000035,-0.18221860209907256
ACH-000036,-0.4122522144508645
ACH-000037,-0.2673245238846351
ACH-000039,-0.2144332888137304
ACH-000040,-0.2695055041017242
ACH-000041,-0.16291562417162878
ACH-000042,-0.30000462404357325
ACH-000045,-0.2289235475627345
ACH-000047,-0.30751109575123164
ACH-000052,-0.17493308226227844
ACH-000053,-0.13004461808821208
ACH-000054,-0.1823658550730734
ACH-000055,-0.032825284231683335
ACH-000060,-0.2718709704156397
ACH-000067,-0.24992089796626096
ACH-000070,0.0058733326728052536
ACH-000075,-0.36380779860517465
ACH-000078,-0.415680358377657
ACH-000082,-0.25099279031132
ACH-000085,-0.4222182163671959
ACH-000086,-0.1858636957110691
ACH-000087,-0.1273864222218174
ACH-000092,-0.08910180605855632
ACH-000095,-0.2961204176766168
ACH-000097,-0.2294636100003519
ACH-000098,-0.14291701783431582
ACH-000099,-0.4033337211636192
ACH-000108,-0.3061742215170173
ACH-000113,-0.2117513859787588
ACH-000116,-0.21724512610436447
ACH-000118,-0.23261337233036425
ACH-000120,-0.4723997614009034
ACH-000123,-0.1983982824464184
ACH-000127,-0.2338931665241916
ACH-000128,-0.18216453164773852
ACH-000132,-0.15536844665328198
ACH-000133,-0.18025300667198504
ACH-000137,-0.1910321032858385
ACH-000138,-0.1817298528006157
ACH-000142,-0.3898984410087765
ACH-000143,-0.13099593282113456
ACH-000146,-0.20388287927169227
ACH-000148,-0.2508627204265726
ACH-000150,-0.19252248713911774
ACH-000152,-0.17006687789137048
ACH-000153,-0.26354668679648185
ACH-000159,-0.22071248170964528
ACH-000160,-0.3167228332533462
ACH-000163,-0.05762751887632681
ACH-000167,-0.5219812230458393
ACH-000168,-0.3864896249363883
ACH-000169,-0.27196147465802817
ACH-000178,-0.16749544923323165
ACH-000183,-0.19285009838701409
ACH-000188,-0.26604563441390017
ACH-000189,-0.2058318351381748
ACH-000190,-0.16770530936843508
ACH-000198,-0.09358170751651013
ACH-000203,-0.7810103892311301
ACH-000204,0.05490053285672364
ACH-000206,-0.4089527341877371
ACH-000207,-0.2167707345289019
ACH-000208,-0.3009724791791861
