,HECW2 (57520)
ACH-000004,0.04882048035654151
ACH-000005,-0.1046459094804152
ACH-000007,0.11761210585936445
ACH-000009,0.057356271626689735
ACH-000011,0.052664476266678285
ACH-000012,-0.004302091869625918
ACH-000013,0.12149153410109995
ACH-000014,-0.000354664610200037
ACH-000015,0.03068089834896958
ACH-000017,0.05844418266086757
ACH-000018,-0.0044555182224950965
ACH-000019,0.12492000205992075
ACH-000021,0.025719225693105082
ACH-000022,-0.03874384718080443
ACH-000025,-0.038805483345310525
ACH-000028,0.007957687076984523
ACH-000030,0.12950295317432328
ACH-000035,0.012484675108456456
ACH-000036,0.0218904757119127
ACH-000037,-0.14705572426008773
ACH-000039,0.06064234427372126
ACH-000040,-0.24108707108008315
ACH-000041,0.03416402660354985
ACH-000042,-0.06170819998064014
ACH-000045,0.07241339193110839
ACH-000047,-0.017192390443161336
ACH-000052,-0.1382653629897303
ACH-000053,-0.053075629028442935
ACH-000054,-0.001388932032525422
ACH-000055,0.09989431902021947
ACH-000060,0.039572043962126914
ACH-000067,-0.07744124983104507
ACH-000070,0.1475687424716174
ACH-000075,0.13634134713402454
ACH-000078,0.18905651689177547
ACH-000082,-0.07608908442552359
ACH-000085,0.11496985425891
ACH-000086,0.07523658875471495
ACH-000087,0.16766040687140984
ACH-000092,-0.056974505042890373
ACH-000095,-0.011113487557690904
ACH-000097,0.0234688253888943
ACH-000098,-0.02685596030486599
ACH-000099,-0.01845265716634524
ACH-000108,-0.02062145942129458
ACH-000113,0.02413485484577457
ACH-000116,0.12249416568293045
ACH-000118,0.007096137679269459
ACH-000120,0.05118005661186335
ACH-000123,-0.05926891411201829
ACH-000127,0.023904266731192062
ACH-000128,0.041645163419557235
ACH-000132,0.05916768247173705
ACH-000133,0.09064232355232577
ACH-000137,0.04122349853190993
ACH-000138,0.010261884843792904
ACH-000142,0.14828341717178414
ACH-000143,0.04300149066510109
ACH-000146,0.00898838695401597
ACH-000148,0.05826026251888593
ACH-000150,0.1905140126585332
ACH-000152,-0.04514284441270566
