,CTU2 (348180)
ACH-000004,-0.7862968581806709
ACH-000005,-0.8826867305043293
ACH-000007,-0.6375782472841517
ACH-000009,-0.5627931730299951
ACH-000011,-1.061598592676496
ACH-000012,-0.6998264071464639
ACH-000013,-1.0242017990998142
ACH-000014,-0.7279920154799518
ACH-000015,-0.7810470211171415
ACH-000017,-1.0528995040831957
ACH-000018,-0.911200560314442
ACH-000019,-0.4894195818132672
ACH-000021,-0.8856994920951688
ACH-000022,-0.4803776554976109
ACH-000025,-1.0743088491014563
ACH-000028,-0.728700412367256
ACH-000030,-0.8933829548542658
ACH-000035,-0.6795395861650346
ACH-000036,-0.9726698668232212
ACH-000037,-0.7232045446860479
ACH-000039,-0.7636148053731002
ACH-000040,-0.5604009934945224
ACH-000041,-0.9327647138009052
ACH-000042,-0.6230311241794166
ACH-000045,-0.769824346534664
ACH-000047,-0.6411520748226349
ACH-000052,-0.8746821740302925
ACH-000053,-0.8506525684797279
ACH-000054,-0.7540832225068516
ACH-000055,-0.9375298940341956
ACH-000060,-0.5669966153920862
ACH-000067,-0.6736148623952931
ACH-000070,-0.6809717846940336
ACH-000075,-0.7916085162670489
ACH-000078,-0.4712640741855689
ACH-000082,-0.4746043492079781
ACH-000085,-0.700449820764095
ACH-000086,-0.9379285739406618
ACH-000087,-0.9244358436916724
ACH-000092,-0.8208009760539525
ACH-000095,-0.9071838144200312
ACH-000097,-0.4560786192732965
ACH-000098,-1.0619602871482328
ACH-000099,-0.601359175158149
ACH-000108,-0.8368602974607358
ACH-000113,-0.4687307473432509
ACH-000116,-0.6431578389937224
ACH-000118,-0.529836774742136
ACH-000120,-0.8021555210106056
ACH-000123,-0.8453745246599502
ACH-000127,-0.8741944318270317
ACH-000128,-0.4978905835984314
ACH-000132,-1.1057512538469012
ACH-000133,-0.9032378134558636
ACH-000137,-0.789142516490473
ACH-000138,-0.7691428997864985
ACH-000142,-0.9521467816395116
ACH-000143,-0.9270161855849526
ACH-000146,-0.3832299288301403
ACH-000148,-0.6907066549439252
ACH-000150,-0.6495736390792888
ACH-000152,-0.5739118196953572
ACH-000153,-0.8584739138007659
ACH-000159,-0.6383322599240286
ACH-000160,-0.43915104146029177
ACH-000163,-0.7145306478181139
ACH-000167,-0.7333880427098637
ACH-000168,-0.7696345553861975
ACH-000169,-0.7575758427591374
ACH-000178,-0.9244037852116536
ACH-000183,-0.9765788495541082
ACH-000188,-0.6199078411583371
ACH-000189,-0.7186680390191766
ACH-000190,-0.8521625928946993
ACH-000198,-0.5921032632324014
ACH-000203,-0.9119714527817312
ACH-000204,-0.5420932538819755
ACH-000206,-0.6465191865347786
ACH-000207,-0.5137176714587213
ACH-000208,-0.6425403425223479
ACH-000210,-0.3746157321329943
ACH-000211,-0.8760533991827052
ACH-000215,-0.7672156694579616
