,LAIR1 (3903)
ACH-000004,-0.18929710247825948
ACH-000005,-0.38787833990728604
ACH-000007,-0.1887454897958256
ACH-000009,-0.2021313349554232
ACH-000011,-0.16271464214272882
ACH-000012,-0.14986888132929804
ACH-000013,-0.573872221863188
ACH-000014,-0.1308435189352071
ACH-000015,-0.3560779173182869
ACH-000017,-0.09677513177924912
ACH-000018,-0.1938622086024915
ACH-000019,-0.3746944947623221
ACH-000021,-0.3048770265550261
ACH-000022,-0.27979656064522823
ACH-000025,-0.14507082813511055
ACH-000028,-0.218204276689082
ACH-000030,-0.4423774385669747
ACH-000035,-0.008210542533920766
ACH-000036,-0.22023869028676324
ACH-000037,-0.15935407816593958
ACH-000039,-0.3043710220839694
ACH-000040,-0.19353644839523154
ACH-000041,-0.2776030194380792
ACH-000042,-0.1467299324975671
ACH-000045,-0.3123537806291661
ACH-000047,-0.12635089825633106
ACH-000052,-0.2483872610279087
ACH-000053,-0.18478249069670635
ACH-000054,-0.22125406974926995
ACH-000055,-0.16521243129128416
ACH-000060,-0.11917769154409102
ACH-000067,-0.21598012315374746
ACH-000070,0.022549992013503148
ACH-000075,-0.0962245599197356
ACH-000078,-0.25618394078772705
ACH-000082,-0.19680551607598049
ACH-000085,-0.04220601676171657
ACH-000086,-0.27656479261351696
ACH-000087,0.04152788562587967
ACH-000092,-0.2388613137780439
ACH-000095,-0.29442900244014303
ACH-000097,-0.4137998060860001
ACH-000098,-0.3017076151798867
ACH-000099,-0.19239421930690745
ACH-000108,-0.11773418938647605
ACH-000113,-0.1916044590573885
ACH-000116,-0.20370081106932167
ACH-000118,-0.07453208728822723
ACH-000120,-0.12089652084696866
ACH-000123,-0.2524208833755722
ACH-000127,-0.2031332693473491
ACH-000128,-0.15400308985768596
ACH-000132,-0.15326852634743104
ACH-000133,-0.2366339797529154
ACH-000137,-0.19812429793814348
ACH-000138,-0.2585114202418425
ACH-000142,-0.3133299143125572
ACH-000143,-0.23648757488775324
ACH-000146,-0.2689488285833144
ACH-000148,-0.19448908303203535
ACH-000150,-0.11940245024053538
ACH-000152,-0.15337512866644493
ACH-000153,-0.2941484779448665
ACH-000159,-0.2841338065150256
ACH-000160,-0.2610212359246965
ACH-000163,-0.1089903226562696
ACH-000167,-0.4810795465589102
ACH-000168,-0.28387915426519034
ACH-000169,-0.27811011237634364
ACH-000178,-0.2641359841119919
ACH-000183,-0.08121581121028862
ACH-000188,-0.2719637986681328
ACH-000189,-0.14779848704049667
ACH-000190,0.00031636393645201853
ACH-000198,-0.2895320090350727
ACH-000203,-0.4745264088614368
ACH-000204,-0.3300863072127648
ACH-000206,-0.2206402407782387
ACH-000207,-0.1922769412147204
ACH-000208,-0.07626238813500699
ACH-000210,-0.3266687558770616
ACH-000211,-0.3104152901311993
ACH-000215,-0.16955013156012408
ACH-000221,-0.27463361602696035
ACH-000222,-0.16273670350838687
ACH-000223,-0.17259484086407634
ACH-000226,-0.014409715529504015
ACH-000227,-0.15630038227688106
ACH-000228,-0.01925074558876777
ACH-000231,-0.05608064059370959
ACH-000232,-0.3101118558192439
ACH-000233,-0.3288612393624025
ACH-000234,-0.10845389078114068
ACH-000235,-0.21238749328275425
ACH-000237,-0.2988161241545974
ACH-000238,-0.2047704302541688
ACH-000242,-0.3866937096467992
ACH-000243,-0.09186324878324303
ACH-000244,-0.08802181295985033
ACH-000246,-0.2173583967543793
ACH-000248,-0.1763912092300813
