,METTL2B (55798)
ACH-000004,-0.2571527141023396
ACH-000005,0.16248797476579724
ACH-000007,-0.09195141129466826
ACH-000009,-0.1617424915699781
ACH-000011,-0.1802849539794273
ACH-000012,-0.1253229428489882
ACH-000013,-0.06581074512007845
ACH-000014,-0.3440696007778538
ACH-000015,-0.08141815220349825
ACH-000017,-0.10079473076785213
ACH-000018,-0.16631161667146555
ACH-000019,-0.7371240344570588
ACH-000021,-0.2680108021900748
ACH-000022,-0.1504111928693298
ACH-000025,-0.22473317471090368
ACH-000028,-0.488399375851973
ACH-000030,-0.1318996702067827
ACH-000035,-0.2090025411950958
ACH-000036,-0.28816198449997416
ACH-000037,-0.3309644168570669
ACH-000039,-0.3465636179144969
ACH-000040,-0.20109095129239046
ACH-000041,-0.08417241273432875
ACH-000042,-0.15810865161930696
ACH-000045,-0.1388925461678853
ACH-000047,-0.09085112898568053
ACH-000052,-0.3727802932974789
ACH-000053,-0.16233349169905553
ACH-000054,-0.2826306768648551
ACH-000055,-0.18206077114918445
ACH-000060,-0.2633054786304593
ACH-000067,-0.1486718255017952
ACH-000070,-0.03054546123987557
ACH-000075,-0.13411305043262672
ACH-000078,-0.4530031450891186
ACH-000082,-0.22136223605892724
ACH-000085,-0.3328469247866211
ACH-000086,-0.08284418130936003
ACH-000087,-0.1929551450529889
ACH-000092,-0.03677941135373748
ACH-000095,-0.30911349175625724
ACH-000097,-0.20192631396871308
ACH-000098,-0.21866945665580306
ACH-000099,-0.4004964896938049
ACH-000108,-0.05140150371334919
ACH-000113,-0.1388538745653639
ACH-000116,-0.16302290550772708
ACH-000118,-0.3241279335180696
ACH-000120,-0.2113781969784189
ACH-000123,-0.07044407405837239
ACH-000127,-0.10137790079471692
ACH-000128,-0.17258894690450158
ACH-000132,-0.2318669278884663
ACH-000133,-0.2997073525415808
ACH-000137,-0.12215300226080805
ACH-000138,-0.23220647143466405
ACH-000142,-0.21827394722296314
ACH-000143,-0.1599625934975404
ACH-000146,-0.1882585359570957
ACH-000148,-0.08861177821088279
ACH-000150,-0.2314761339537545
ACH-000152,-0.26214256263103464
ACH-000153,0.04877009289712783
ACH-000159,-0.17861564201990307
ACH-000160,-0.12311509410632868
ACH-000163,-0.08213385172172863
ACH-000167,-0.3317578561887859
ACH-000168,-0.16686246415860267
ACH-000169,-0.185798918873823
ACH-000178,-0.025882560359855502
ACH-000183,-0.15366649257066745
ACH-000188,-0.18209174213522875
ACH-000189,-0.09448448528783268
ACH-000190,-0.12206414730470595
ACH-000198,-0.1959147986157413
ACH-000203,-0.27519604667134384
ACH-000204,-0.027730124611514504
ACH-000206,-0.10408659447259874
ACH-000207,-0.14340905385782066
ACH-000208,-0.1629585617408656
ACH-000210,-0.19812291037724933
ACH-000211,-0.2623464046348077
