,STAMBP (10617)
ACH-000004,-0.26472818772703216
ACH-000005,0.098393965284786
ACH-000007,-0.2705234606770089
ACH-000009,-0.2058241047813438
ACH-000011,-0.12396147625871648
ACH-000012,-0.8665766012477621
ACH-000013,-0.2546431426968823
ACH-000014,-0.3450970482427969
ACH-000015,-0.2619226850313675
ACH-000017,-0.10667936485141924
ACH-000018,-0.7369611197938967
ACH-000019,-0.2767046843451583
ACH-000021,-0.3327690624429745
ACH-000022,-0.18366725765307595
ACH-000025,-0.2726942510456013
ACH-000028,-0.21362643327858186
ACH-000030,-0.3924022952335688
ACH-000035,-0.3279496408332057
ACH-000036,-0.1982454440541001
ACH-000037,-0.2529536704637734
ACH-000039,-0.5909254475761002
ACH-000040,-0.16576506168209434
ACH-000041,-0.3833722469508711
ACH-000042,-0.1621810078530429
ACH-000045,-0.1516566983212564
ACH-000047,-0.32768004217205765
ACH-000052,-0.3436988497308653
ACH-000053,-0.2049791960868572
ACH-000054,-0.3256112942766548
ACH-000055,-0.229999643542925
ACH-000060,-0.33759823389507315
ACH-000067,-0.783759611104837
ACH-000070,-0.23253031942229874
ACH-000075,-0.1377296411942424
ACH-000078,-0.10628021847730666
ACH-000082,-0.2559756590117897
ACH-000085,-0.019407700485396855
ACH-000086,-0.2296665295316461
ACH-000087,-0.2681591517520023
ACH-000092,-0.3736519202370272
ACH-000095,-0.2720126844180398
ACH-000097,-0.4158210544856661
ACH-000098,-0.08801061711348147
ACH-000099,-0.16812375820670736
ACH-000108,-0.5723715564697667
ACH-000113,-0.4075459382664476
ACH-000116,-0.7224979796467821
ACH-000118,-0.7549073083696143
ACH-000120,-0.33649652815979714
ACH-000123,-0.1959821012543954
ACH-000127,-0.24623992453974256
ACH-000128,-0.10458744352700007
ACH-000132,-0.2505822389651309
ACH-000133,-0.31402107381359673
ACH-000137,-0.13627815112826294
ACH-000138,-0.2504539051197377
ACH-000142,-0.3762440551326064
ACH-000143,-0.1583348070751628
ACH-000146,-0.25871103032769177
ACH-000148,-0.18437740314530696
ACH-000150,-0.017864791298468578
ACH-000152,-0.253226917936418
ACH-000153,-0.96847753223335
ACH-000159,-0.2526079854982934
ACH-000160,-0.6809752472281076
ACH-000163,-0.21939027292816385
ACH-000167,-0.21282902362625186
ACH-000168,-0.29267623052899383
ACH-000169,-1.0007492862973808
ACH-000178,-0.4967336300365556
ACH-000183,-0.18011910694570635
ACH-000188,-0.8229850687499778
ACH-000189,-0.7956111757780464
ACH-000190,-0.14400360132337905
ACH-000198,-0.2910687895621423
ACH-000203,-0.4446832872748144
ACH-000204,-0.3612514116499241
ACH-000206,-0.21291569266544444
ACH-000207,-1.1507396123800666
ACH-000208,-0.31253337818746435
ACH-000210,-0.6232544854363191
ACH-000211,-0.09192299078874036
ACH-000215,-0.1769337210589798
ACH-000221,-0.4061895418494169
ACH-000222,-0.34581519756669443
ACH-000223,-0.30053772277925234
ACH-000226,-0.14397422813372035
ACH-000227,-0.4426108726721269
ACH-000228,-0.5354450217993685
ACH-000231,-0.2121101421760738
ACH-000232,-0.3143905009833957
ACH-000233,-0.16892929113198665
ACH-000234,-0.13898256773431572
ACH-000235,-0.3853724520347804
ACH-000237,-0.08760143139161361
ACH-000238,-0.7538254900032236
ACH-000242,-0.2566735160062795
ACH-000243,-1.006913714974451
ACH-000244,-0.23577252689839645
ACH-000246,-0.5105893041142275
ACH-000248,-0.4802931416838793
ACH-000250,-0.14037897948600064
ACH-000251,-0.6805414717303226
ACH-000252,-0.3057250323953137
ACH-000253,-0.15671688382737706
ACH-000255,-0.25998454638578683
ACH-000256,-0.11072489776280887
ACH-000257,-0.4726474306591119
ACH-000258,-0.18592046082314626
ACH-000259,-0.2792350627383325
ACH-000260,-0.18949659216075
ACH-000261,-0.11526237264464685
ACH-000262,-0.6138758516519838
ACH-000263,-0.1877584663061943
ACH-000264,-0.14693394226354484
ACH-000265,-0.2373765864022576
ACH-000266,-0.12740357613860562
ACH-000272,-0.9972271161688876
ACH-000274,-0.187603505145592
ACH-000277,-0.21544686828789655
ACH-000278,-0.1584161919930701
ACH-000279,-0.7281230380410016
ACH-000280,-0.2893392787985547
ACH-000281,0.05216784937712685
ACH-000288,-0.6980890078151719
ACH-000291,-0.4632043331749385
ACH-000293,-0.36530142778709335
ACH-000294,-0.21347792271608795
ACH-000295,-0.5337852396392331
ACH-000296,-0.15910766386336148
ACH-000302,-0.15554843567234874
ACH-000304,-0.4318656232562623
ACH-000307,-0.10506744298435497
ACH-000308,-0.4255070265470583
ACH-000310,-0.2071766446860486
ACH-000311,-0.12671698160071146
ACH-000312,-0.2077989489996732
ACH-000315,-0.0930142369453105
ACH-000316,-0.07536152753221848
ACH-000317,-0.5138531419286895
ACH-000318,-0.2906312587073359
ACH-000319,-0.05371236244933652
ACH-000320,-0.3705714033665229
ACH-000322,-0.8031340352917762
ACH-000323,0.005169245853182024
ACH-000324,-0.2915755110636481
ACH-000329,-0.14631050588917702
ACH-000330,-0.18094142685675127
ACH-000331,-0.17949259807072412
ACH-000332,-0.24134915101611945
ACH-000334,-0.07356933140349675
ACH-000335,-0.12901427486221767
ACH-000336,-0.4412669610554658
ACH-000337,-0.2646172680223384
ACH-000338,-0.1800952453386567
ACH-000339,-0.22235200154306614
ACH-000341,-0.4590721308477971
ACH-000348,-0.33824375821962577
ACH-000350,-0.267578382036819
ACH-000352,-0.2380629420100781
ACH-000356,-0.20663583782878767
ACH-000361,-0.2491677154023897
ACH-000362,-0.19368708877639626
ACH-000363,-0.2068653572855029
ACH-000364,-0.15173185381381593
ACH-000365,-0.5025005618465574
ACH-000366,-0.4676789621063263
ACH-000368,-0.038425333165953576
ACH-000374,-0.7166262294457306
ACH-000375,-0.15830478458325706
ACH-000376,-0.09973402488834393
ACH-000381,-0.6463255225604152
ACH-000383,-0.5816448113304622
ACH-000387,-0.3391533185544656
ACH-000389,-0.2801944380666825
ACH-000390,-0.2613284992776768
ACH-000393,-0.175468777033161
ACH-000395,-0.7924127578863085
ACH-000396,-0.12751226069269508
ACH-000397,-0.2826390544084605
ACH-000401,-0.1903850619001797
ACH-000402,-0.15837482064882874
ACH-000403,-0.3155633740407012
ACH-000404,-0.3151846391459564
ACH-000406,-0.14155941887656345
ACH-000407,-0.3119914460591965
ACH-000408,-0.9811156837351022
ACH-000410,-0.32349312371875977
ACH-000411,-0.7701203581778098
ACH-000414,-0.254993016461242
ACH-000415,-0.427004872365802
ACH-000416,-0.15021057910047975
ACH-000420,-0.2822299213504282
ACH-000421,-0.18840055615023707
ACH-000424,-0.2112257465852693
ACH-000425,-0.34353387412797165
ACH-000426,-0.02477892866383813
ACH-000427,-0.7386528164202437
ACH-000433,0.07727838115603249
ACH-000435,-0.2511520809685491
ACH-000436,-0.18364577609479352
ACH-000444,-0.08603579974763811
ACH-000445,-0.15674883283869473
ACH-000448,-0.5975127551746544
ACH-000450,-0.6320145515515126
ACH-000452,-0.1877434380823592
ACH-000454,-1.0332779165716606
ACH-000458,-0.3606558889147845
ACH-000459,-0.7233488069246682
ACH-000460,-0.3111326876161544
ACH-000461,-0.17488556574674216
ACH-000463,-0.11082639222364833
ACH-000464,-0.13216520255516773
ACH-000466,-0.652713939603962
