,RPS3A (6189)
ACH-000004,-0.9484382630409364
ACH-000005,-1.156565092700142
ACH-000007,-0.9794005902882836
ACH-000009,-1.1258244293768649
ACH-000011,-1.2353875226216229
ACH-000012,-1.0999546793174335
ACH-000013,-0.9226133071196329
ACH-000014,-1.02846161039176
ACH-000015,-1.0406100117778707
ACH-000017,-0.9297248285986016
ACH-000018,-0.8096502759848788
ACH-000019,-0.7926758276843752
ACH-000021,-0.969299425801957
ACH-000022,-0.8118884606464498
ACH-000025,-0.8862998913012462
ACH-000028,-0.8541510484674723
ACH-000030,-0.9882978637483452
ACH-000035,-1.0203747206467222
ACH-000036,-0.7507247837341543
ACH-000037,-1.0094261889941356
ACH-000039,-1.1432374469131408
ACH-000040,-1.1094789836659522
ACH-000041,-1.0784097846277272
ACH-000042,-0.8262777665127738
ACH-000045,-1.1765154252198011
ACH-000047,-0.933315231684722
ACH-000052,-1.1370705015287892
ACH-000053,-1.0677039080862871
ACH-000054,-1.1143117152629136
ACH-000055,-0.8269912985543297
ACH-000060,-1.1614066971153376
ACH-000067,-0.9103725062522656
ACH-000070,-1.0503376719608863
ACH-000075,-1.2145299258912141
ACH-000078,-0.9436039938702806
ACH-000082,-1.1355120107349768
ACH-000085,-0.9766830724483402
ACH-000086,-0.8456989135923632
ACH-000087,-1.0633410011787885
ACH-000092,-1.0693425658242004
ACH-000095,-0.8905463694304503
ACH-000097,-0.9346747720700584
ACH-000098,-0.9145953578835015
ACH-000099,-0.9834495417734812
ACH-000108,-0.9986455484411118
ACH-000113,-0.9911995216265759
ACH-000116,-1.0157400166105957
ACH-000118,-1.053670202583871
ACH-000120,-1.094148054872468
ACH-000123,-1.02135122958697
ACH-000127,-0.9709886202256914
ACH-000128,-1.1305822375823058
ACH-000132,-0.9721287528664422
ACH-000133,-1.2331178199996091
ACH-000137,-1.0103840430914035
ACH-000138,-0.9507701776226984
ACH-000142,-1.1005894653338186
ACH-000143,-1.0244570434421527
ACH-000146,-0.9146815309720076
ACH-000148,-1.1786778708050163
ACH-000150,-0.9190107150758616
ACH-000152,-0.8680865877071845
ACH-000153,-1.1922377405316635
ACH-000159,-1.0260143165709459
ACH-000160,-1.1296178530438348
ACH-000163,-1.0415522816767546
ACH-000167,-0.5312140942106852
ACH-000168,-0.8012502612859614
ACH-000169,-0.8651780247435583
ACH-000178,-0.9233107167131204
ACH-000183,-1.0306744628093172
ACH-000188,-1.0373788671829811
ACH-000189,-1.3334920732778912
ACH-000190,-1.0754144426135148
ACH-000198,-0.9650341630121816
ACH-000203,-0.9075962425883399
ACH-000204,-1.0271892183382874
ACH-000206,-1.347376941655311
ACH-000207,-0.6275401242475869
ACH-000208,-0.8062083992342997
ACH-000210,-1.1127823078328027
ACH-000211,-1.084921725938837
ACH-000215,-0.907188973916745
ACH-000221,-0.9980812804448196
ACH-000222,-0.8460275388849049
ACH-000223,-1.1060945701834173
ACH-000226,-1.042296509566765
ACH-000227,-1.1532138382665074
ACH-000228,-0.95279302741714
ACH-000231,-0.8704187876607551
ACH-000232,-0.9420401774522722
ACH-000233,-1.0196758497647551
ACH-000234,-1.0409840709756941
ACH-000235,-0.8872663953652423
ACH-000237,-1.090248785371303
ACH-000238,-0.8580821214621361
ACH-000242,-0.5475252519509262
ACH-000243,-1.013110640881312
ACH-000244,-1.0348268523424082
ACH-000246,-1.019239444333885
ACH-000248,-1.104734090841326
ACH-000250,-0.8842870162497992
ACH-000251,-0.9327585841869576
ACH-000252,-0.9314901282571372
ACH-000253,-0.9251237134515916
ACH-000255,-0.8798722617556336
ACH-000256,-1.0728267468455508
ACH-000257,-1.0791990567241732
ACH-000258,-1.0547545721541451
ACH-000259,-1.0311180733713023
ACH-000260,-0.901633938693967
ACH-000261,-1.0060548808839334
ACH-000262,-1.1716106054069972
ACH-000263,-1.2813292167706254
ACH-000264,-0.8301505264181095
ACH-000265,-0.8809023226270724
ACH-000266,-0.8145572732006918
ACH-000272,-0.952783361086873
ACH-000274,-0.9965710427866598
ACH-000277,-0.7540138474856828
ACH-000278,-0.9058798142893992
ACH-000279,-1.0028676320070131
ACH-000280,-0.7713210792614488
ACH-000281,-1.0322850493244458
ACH-000288,-0.9777649821578341
ACH-000291,-0.9769041204060158
ACH-000293,-0.8333603882520273
ACH-000294,-0.959312537836484
ACH-000295,-0.6784882586818204
ACH-000296,-1.0874130158136912
ACH-000302,-1.106091646328507
ACH-000304,-1.0739441818447082
ACH-000307,-0.945023949217782
ACH-000308,-1.0680436237387372
ACH-000310,-0.8876562400157214
ACH-000311,-1.1457644614769134
ACH-000312,-1.0101578045419048
ACH-000315,-1.1278524526291334
ACH-000316,-0.8765892172387457
ACH-000317,-0.8561536684483421
ACH-000318,-0.9144120505909344
ACH-000319,-1.0352363837303462
ACH-000320,-1.0416729889389933
ACH-000322,-0.963640816418944
ACH-000323,-0.9712003407912202
ACH-000324,-1.0454471833712686
ACH-000329,-0.9493469149204018
ACH-000330,-0.9324037136585518
ACH-000331,-1.1160116099797797
ACH-000332,-0.8724479589459696
ACH-000334,-1.3589850511753692
ACH-000335,-1.319099655809949
ACH-000336,-1.0133482173380357
ACH-000337,-0.92795894999766
ACH-000338,-1.2601234952248077
ACH-000339,-1.035940714322385
ACH-000341,-1.0102844791837349
ACH-000348,-1.1086771625941727
ACH-000350,-0.909997293239642
