,MBNL1 (4154)
ACH-000004,-0.19852684294658332
ACH-000005,-0.5651155019738308
ACH-000007,-0.000841965672238103
ACH-000009,-0.1263991745280132
ACH-000011,0.01522115411824772
ACH-000012,-0.21414759077165468
ACH-000013,0.01241553862938892
ACH-000014,-0.6545092316813531
ACH-000015,0.0698918405930205
ACH-000017,-0.21963055104035906
ACH-000018,-0.30380833084820114
ACH-000019,-0.31268060723817204
ACH-000021,-0.1265068556645886
ACH-000022,-0.10956425084949306
ACH-000025,0.3802876869018181
ACH-000028,0.013882407964373922
ACH-000030,-0.1563231919511532
ACH-000035,-0.29084471507689497
ACH-000036,0.062188789740053076
ACH-000037,-0.5940842230046378
ACH-000039,-0.20308908636081568
ACH-000040,-0.4175922407603432
ACH-000041,-0.18353276826720494
ACH-000042,-0.26430305223624984
ACH-000045,-0.35688699320298656
ACH-000047,0.07946688340088479
ACH-000052,-0.2723255510087218
ACH-000053,-0.7382334236813767
ACH-000054,-0.15954207903744008
ACH-000055,-0.5945685741904162
ACH-000060,-0.23006959247363706
ACH-000067,-0.1892631472691803
ACH-000070,-0.5735060986502131
ACH-000075,-0.14474230897411808
ACH-000078,0.1346890892625404
ACH-000082,-0.5363280578597787
ACH-000085,-0.06784882579516635
ACH-000086,0.015025278274044181
ACH-000087,0.06091808173383964
ACH-000092,-0.39798446275571625
ACH-000095,0.20181005773290164
ACH-000097,-0.3649915750272631
ACH-000098,-0.42511701392214596
ACH-000099,-0.04780812237548901
ACH-000108,-0.19638100003248668
ACH-000113,-0.8358811999177369
ACH-000116,-0.15612309564648927
ACH-000118,-0.2886372370148138
ACH-000120,-0.07446251468645466
ACH-000123,-0.225867017220538
ACH-000127,-0.2501718128346962
ACH-000128,-0.4047897697284133
ACH-000132,-0.15554951861293612
ACH-000133,-0.11359166695599465
ACH-000137,-0.17851040016187994
ACH-000138,-0.3682531085641063
ACH-000142,-0.019292017744444244
ACH-000143,-0.020992568690672363
ACH-000146,-0.1679247640489966
ACH-000148,-0.5271800684303576
ACH-000150,-0.0844794410071657
ACH-000152,-0.26559448186086304
ACH-000153,-0.30948290576871657
ACH-000159,-0.28149812771254995
ACH-000160,-0.3193659014255917
ACH-000163,-0.6619342618685321
ACH-000167,-0.6084366921737596
ACH-000168,-0.6836749822233233
ACH-000169,0.23151432027156305
ACH-000178,-0.30312076355592965
ACH-000183,-0.7329574135330592
ACH-000188,-0.05305063498334553
ACH-000189,-0.2200810133323681
ACH-000190,-0.15884149739033224
ACH-000198,-0.7348794762346054
ACH-000203,-0.035313732680565736
ACH-000204,-0.25460846931232034
ACH-000206,-0.8646145375983881
ACH-000207,-0.29277759128890257
ACH-000208,0.4624498060401501
ACH-000210,-0.13782296890667334
ACH-000211,-0.2253291339862847
ACH-000215,-0.2965329976017453
ACH-000221,-0.01978585898445044
ACH-000222,-0.2971153275493517
ACH-000223,-0.1965142796141704
ACH-000226,-0.42191824557118696
ACH-000227,-0.25819723646127696
ACH-000228,-0.28856804781380896
ACH-000231,0.14457714100758975
ACH-000232,0.08288233309410653
ACH-000233,-0.3829315681319573
ACH-000234,-0.1984522166420195
ACH-000235,-0.0884488101555629
ACH-000237,-0.27158960470087434
ACH-000238,-0.08027851337749548
ACH-000242,-0.27283554171925395
ACH-000243,-0.3044875629662286
ACH-000244,-0.4037822032622096
ACH-000246,-0.00795620657917796
ACH-000248,-0.17458652769458974
