,GJB4 (127534)
ACH-000004,-0.06246639028427683
ACH-000005,-0.2618410609383871
ACH-000007,-0.011992566751885377
ACH-000009,-0.11675076118276367
ACH-000011,0.10340634411595932
ACH-000012,-0.2252784125392479
ACH-000013,-0.14795909136372226
ACH-000014,-0.03401373837027155
ACH-000015,-0.2421142732520664
ACH-000017,0.020582943424098308
ACH-000018,0.0316271765047374
ACH-000019,-0.06667414479060821
ACH-000021,0.06213787868940265
ACH-000022,-0.09718153785114364
ACH-000025,-0.08534061166845716
ACH-000028,-0.04858278201053206
ACH-000030,0.0844332203048079
ACH-000035,-0.2377425482630919
ACH-000036,-0.16540991878207792
ACH-000037,-0.10721426459270206
ACH-000039,-0.19333229422787
ACH-000040,-0.04310448991825445
ACH-000041,-0.33596610470421795
ACH-000042,-0.016505810981348398
ACH-000045,-0.014503425874452669
ACH-000047,-0.14709239983952854
ACH-000052,-0.32971428784985257
ACH-000053,-0.18902116988237816
ACH-000054,-0.092040197415545
ACH-000055,-0.1240038221631394
ACH-000060,-0.21384808465301075
ACH-000067,-0.1939549321722852
ACH-000070,-0.060538469906670216
ACH-000075,-0.1689369221595272
ACH-000078,-0.10545279784766118
ACH-000082,-0.1873876838081103
ACH-000085,0.01488995717456353
ACH-000086,-0.01108485657881519
ACH-000087,-0.08768660757025241
ACH-000092,-0.3466217130143012
ACH-000095,-0.1873269414260154
ACH-000097,-0.13396667741273965
ACH-000098,-0.0060925478962739355
ACH-000099,-0.09434401882068112
ACH-000108,-0.1124623779191018
ACH-000113,-0.011359200337421044
ACH-000116,-0.06724078173266787
ACH-000118,0.016826608576641644
ACH-000120,-0.16311464728850875
ACH-000123,-0.09049873761495114
ACH-000127,-0.11533140281201724
ACH-000128,-0.2182978606423628
ACH-000132,-0.2728540447462693
ACH-000133,-0.2344979258496216
ACH-000137,-0.2270002367961538
ACH-000138,0.013810048315988458
ACH-000142,-0.09217720418732042
ACH-000143,-0.10240610118032503
ACH-000146,-0.2002103676419436
ACH-000148,-0.02023468823454936
ACH-000150,-0.3583548098499477
ACH-000152,-0.4461860010498988
ACH-000153,0.10383694504461832
ACH-000159,-0.12664735459054685
ACH-000160,0.08681370921705192
ACH-000163,0.047968319775782885
ACH-000167,0.178267994522857
ACH-000168,-0.15854272888152768
ACH-000169,-0.09884490358540853
ACH-000178,-0.06725469519987712
ACH-000183,-0.30550295663975285
ACH-000188,-0.18497489024568645
