,TUBB4A (10382)
ACH-000004,-0.2330923714078484
ACH-000005,-0.18396267090687632
ACH-000007,-0.18197821239074052
ACH-000009,-0.2338302262471165
ACH-000011,-0.13687359704781152
ACH-000012,-0.3729916657750902
ACH-000013,-0.23000796593409215
ACH-000014,-0.4689418291766835
ACH-000015,-0.41178132261363104
ACH-000017,-0.2724189429834188
ACH-000018,-0.40689298283824493
ACH-000019,-0.3581645925726383
ACH-000021,-0.33549211239569576
ACH-000022,-0.3289849151387019
ACH-000025,-0.3384589354615024
ACH-000028,-0.2603408677070285
ACH-000030,-0.3408449018685624
ACH-000035,-0.2130058332537412
ACH-000036,-0.2990525385716061
ACH-000037,-0.2873746902792205
ACH-000039,-0.40390488050084
ACH-000040,-0.4241191929650741
ACH-000041,-0.2841109502586933
ACH-000042,-0.2891717988088034
ACH-000045,-0.3691000862265262
ACH-000047,-0.4145409208883801
ACH-000052,-0.3610904951862436
ACH-000053,-0.2802599230203385
ACH-000054,-0.2241887158806784
ACH-000055,-0.14667962595177667
ACH-000060,-0.2763022827948036
ACH-000067,-0.34460096772033744
ACH-000070,-0.4588637709141824
ACH-000075,-0.1840554193172338
ACH-000078,-0.17714433033384894
ACH-000082,-0.1812551420675516
ACH-000085,-0.3053734844349386
ACH-000086,-0.19324539528014395
ACH-000087,-0.07319979529754085
ACH-000092,-0.2406815871634701
ACH-000095,-0.1929004891619715
ACH-000097,-0.2446583314272419
ACH-000098,-0.5395403409638383
ACH-000099,-0.26634991847630946
ACH-000108,-0.3402708006606346
ACH-000113,-0.35102564809033937
ACH-000116,-0.20216239367799554
ACH-000118,-0.3911868963467117
ACH-000120,-0.3367114393933985
ACH-000123,-0.3279608434926959
ACH-000127,-0.35197692691331256
ACH-000128,-0.3866648838878416
ACH-000132,-0.3767802030692274
ACH-000133,-0.2890349477544746
ACH-000137,-0.32955864797158657
ACH-000138,-0.4266954588590732
ACH-000142,-0.2865548577253902
ACH-000143,-0.23696211881167695
ACH-000146,-0.3180393546762556
ACH-000148,-0.19399173333270864
ACH-000150,-0.4468517369382198
ACH-000152,-0.20687835390500686
ACH-000153,-0.08831665742711634
ACH-000159,-0.3609907183748765
ACH-000160,-0.20048278688462215
ACH-000163,-0.4480851814457431
ACH-000167,0.24639939563473506
ACH-000168,-0.4647678583098597
ACH-000169,-0.19114083473086912
ACH-000178,-0.3337676539977057
ACH-000183,-0.416702062395441
ACH-000188,-0.3419350839713174
ACH-000189,-0.33943002047839765
ACH-000190,-0.3077250233665065
ACH-000198,-0.2646736277300776
ACH-000203,0.11651556053796552
ACH-000204,-0.4193916587402049
ACH-000206,-0.29837340563097603
ACH-000207,-0.08897406237825595
ACH-000208,-0.6655529593401376
ACH-000210,-0.10343635302421184
ACH-000211,-0.28598901358605866
ACH-000215,-0.2153759694803166
ACH-000221,-0.43968487397392736
ACH-000222,-0.35776357564029954
ACH-000223,-0.28351871202307904
ACH-000226,-0.2816465502444554
ACH-000227,-0.12047355477909392
ACH-000228,-0.26943686463134514
ACH-000231,-0.2718759760543484
ACH-000232,-0.314658098484473
ACH-000233,-0.3775321125823721
ACH-000234,-0.2309135675964678
ACH-000235,-0.349345055157149
ACH-000237,-0.24701878178845998
ACH-000238,-0.20513369943090132
ACH-000242,-0.06741311153437393
ACH-000243,-0.25386438864250177
ACH-000244,-0.18885177783716545
ACH-000246,-0.2656703404151567
ACH-000248,-0.329989374729878
ACH-000250,-0.3960737528753965
ACH-000251,-0.11815735989105362
ACH-000252,-0.2596723857932754
ACH-000253,-0.33595215048406235
ACH-000255,-0.3071872160245601
ACH-000256,-0.27189671748672045
ACH-000257,-0.093889645138497
ACH-000258,-0.3337281080584645
ACH-000259,-0.2707801661438657
ACH-000260,-0.32148887479921656
ACH-000261,-0.30390811306561183
ACH-000262,-0.18572194730301672
ACH-000263,-0.28896866352353595
ACH-000264,-0.2587667599262028
ACH-000265,-0.21347811236096165
ACH-000266,-0.2314332261554515
ACH-000272,-0.32223811021526244
ACH-000274,-0.27195700690394503
ACH-000277,-0.2902144475619556
ACH-000278,-0.2203582476260819
ACH-000279,-0.16841785859944486
ACH-000280,-0.455390903679298
ACH-000281,-0.4540835845327049
ACH-000288,-0.21887238745580515
ACH-000291,-0.3041640587683978
ACH-000293,-0.3847426270151883
ACH-000294,-0.2282718378148566
ACH-000295,-0.270985711406588
ACH-000296,-0.2939108434956589
ACH-000302,-0.3954333002109167
