,ISX (91464)
ACH-000004,-0.18404746165222896
ACH-000005,-0.17718868254191364
ACH-000007,-0.13597506014790464
ACH-000009,0.04695064065859534
ACH-000011,-0.19891677329969976
ACH-000012,-0.06725243199190595
ACH-000013,-0.111770159547462
ACH-000014,-0.08163907769825778
ACH-000015,-0.07485437953701743
ACH-000017,-0.01853227720684461
ACH-000018,-0.01920784653728804
ACH-000019,-0.08637679438867599
ACH-000021,0.015089206073319431
ACH-000022,0.030797736346174175
ACH-000025,-0.04300160338648093
ACH-000028,-0.106612355802363
ACH-000030,-0.14198738778292613
ACH-000035,0.011843372748320005
ACH-000036,0.06270121830373487
ACH-000037,-0.08939343184463065
ACH-000039,0.1167485048679456
ACH-000040,0.10981047177342487
ACH-000041,-0.20323692891807071
ACH-000042,-0.35245805445025663
ACH-000045,0.10979252814618327
ACH-000047,0.03729826557472906
ACH-000052,-0.11433586845379608
ACH-000053,-0.05927973339171942
ACH-000054,-0.024695273759404848
ACH-000055,-0.15922464954822813
ACH-000060,-0.09126060125494063
ACH-000067,-0.04272431899075559
ACH-000070,-0.03684905863049388
ACH-000075,-0.06406849428683292
ACH-000078,0.07921441709606006
ACH-000082,0.04352554142378892
ACH-000085,0.022411657645051253
ACH-000086,0.06234441177776636
ACH-000087,-0.07669731174597767
ACH-000092,-0.14659790640324216
ACH-000095,-0.04986457184026807
ACH-000097,-0.04673065261863168
ACH-000098,-0.146657612868521
ACH-000099,-0.025682125403974663
ACH-000108,0.0492473966779165
ACH-000113,0.1052527372852506
ACH-000116,-0.011994050913399666
ACH-000118,-0.0385214617300518
ACH-000120,-0.009722541551082332
ACH-000123,-0.18973060751889495
ACH-000127,0.06882156437366681
ACH-000128,0.029772763203993476
ACH-000132,-0.06565358816075756
ACH-000133,-0.02370320000569824
ACH-000137,-0.1744416241528133
ACH-000138,0.04960140589192586
ACH-000142,0.02853114104332617
ACH-000143,-0.049570803488621785
ACH-000146,-0.03231819005139925
ACH-000148,0.07965516590967707
ACH-000150,0.05556540160862924
ACH-000152,0.02668796003913592
ACH-000153,0.09006949655077783
ACH-000159,0.08761359597959176
ACH-000160,0.010657034862048413
ACH-000163,-0.1975620372857768
ACH-000167,0.005057724320068715
ACH-000168,-0.02403689272363476
ACH-000169,-0.12067473038585713
ACH-000178,0.04114671992880816
ACH-000183,-0.012870608459861106
ACH-000188,0.08944250734628073
ACH-000189,-0.08487863374438555
ACH-000190,-0.15537662672753258
ACH-000198,0.029167752278622838
ACH-000203,-0.3900952779719325
ACH-000204,-0.13167520458803528
ACH-000206,-0.02969377651920775
ACH-000207,-0.047179410436003114
ACH-000208,0.05754186239888276
ACH-000210,0.17448835750765476
ACH-000211,-0.030094338252589482
ACH-000215,0.052950737605970084
ACH-000221,-0.13722938721934466
ACH-000222,-0.020365070199431047
ACH-000223,-0.03730704818381062
ACH-000226,0.014642217815189009
ACH-000227,-0.047046828360690816
ACH-000228,-0.06025005065208897
ACH-000231,0.038304990081401764
ACH-000232,0.02594092684410209
ACH-000233,-0.14846925307315847
ACH-000234,0.03751421735583948
ACH-000235,0.049446468858353285
ACH-000237,-0.024555809998626898
ACH-000238,-0.07585243798722635
ACH-000242,0.13286485252630392
ACH-000243,0.04474903099425728
ACH-000244,-0.009163374860010313
ACH-000246,0.07578131985313981
ACH-000248,-0.03316101115755952
ACH-000250,0.0988738114341186
ACH-000251,0.1279962877663304
ACH-000252,-0.005299905717670224
ACH-000253,-0.1484874543251936
ACH-000255,-0.17177574501235732
