,DNMT1 (1786)
ACH-000004,-0.23370473378475884
ACH-000005,-0.467998991195018
ACH-000007,-0.4443695521952975
ACH-000009,-0.4987414805216514
ACH-000011,-0.1962129971280267
ACH-000012,-0.22673706470074914
ACH-000013,-0.5102031147657645
ACH-000014,-0.2386250164175735
ACH-000015,-0.40801557113470505
ACH-000017,-0.3390602359792309
ACH-000018,-0.3331471314554033
ACH-000019,-0.5046224235459447
ACH-000021,-0.4840622250335237
ACH-000022,-0.4180482904295717
ACH-000025,-0.3720358613584143
ACH-000028,-0.4317218976218284
ACH-000030,-0.16052911850966062
ACH-000035,-0.530569465581754
ACH-000036,-0.44422642151665176
ACH-000037,-0.11562410253684212
ACH-000039,-0.2817147263160245
ACH-000040,-0.2424206074379316
ACH-000041,-0.5760902575351508
ACH-000042,-0.4058179382779632
ACH-000045,-0.10744318251499263
ACH-000047,-0.5400946150785769
ACH-000052,-0.42873948908524667
ACH-000053,-0.4532217652636431
ACH-000054,-0.4124948856438849
ACH-000055,-0.4415677018008983
ACH-000060,-0.3329246664934099
ACH-000067,-0.3480313278696405
ACH-000070,-0.5704372851429016
ACH-000075,-0.5125779932550297
ACH-000078,-0.17754433279878956
ACH-000082,-0.4475998812845278
ACH-000085,-0.3099637216546611
ACH-000086,-0.62723515406952
ACH-000087,-0.3535871470031393
ACH-000092,-0.4272156566561531
ACH-000095,-0.3426438839608582
ACH-000097,-0.5284851030988515
ACH-000098,-0.4431491077230735
ACH-000099,-0.18021383563552648
ACH-000108,-0.5427264784099199
ACH-000113,-0.4968471504637737
ACH-000116,-0.4462979648269697
ACH-000118,-0.29336657906740365
ACH-000120,-0.3344737660149877
ACH-000123,-0.4205438389457328
ACH-000127,-0.3740516782148387
ACH-000128,-0.22687171397860456
ACH-000132,-0.3821248863459258
ACH-000133,-0.39275045845916223
ACH-000137,-0.3019435943302192
ACH-000138,-0.4051282975468135
ACH-000142,-0.4214662213813953
ACH-000143,-0.5017884877269928
ACH-000146,-0.3461509001049443
ACH-000148,-0.3545940707561018
ACH-000150,-0.36932262744245103
ACH-000152,-0.4027871765030673
ACH-000153,-0.3230365830435281
ACH-000159,-0.5795132185199394
ACH-000160,-0.16964365748874766
ACH-000163,-0.3611774544532344
ACH-000167,0.03052114737280642
ACH-000168,-0.3424009006595337
ACH-000169,-0.38671193054065145
ACH-000178,-0.4165853314278813
ACH-000183,-0.28458691581979195
ACH-000188,-0.4321725752978466
ACH-000189,-0.3878625800558265
ACH-000190,-0.1514179073865703
ACH-000198,-0.30706377433001475
ACH-000203,-0.399160005927506
ACH-000204,-0.08376504303122254
ACH-000206,-0.3960581311001668
ACH-000207,-0.1879096099936468
ACH-000208,-0.571883213660353
ACH-000210,-0.4597299369693222
ACH-000211,-0.2674862586207603
ACH-000215,-0.3698147707100341
ACH-000221,-0.4008942912883324
ACH-000222,-0.3300402265382256
ACH-000223,-0.4903131589281592
ACH-000226,-0.4165042155825221
ACH-000227,-0.31022410113948884
ACH-000228,-0.3733079493357018
ACH-000231,-0.3289192367011952
ACH-000232,-0.2545126675690981
ACH-000233,-0.4535299740349209
ACH-000234,-0.485066004261276
ACH-000235,-0.4503172447937603
ACH-000237,-0.4595517122076598
ACH-000238,-0.17281773382624654
ACH-000242,-0.5413467698720847
ACH-000243,-0.3011901771331867
