,KCNG1 (3755)
ACH-000004,-0.2470320717477102
ACH-000005,-0.3758222573064604
ACH-000007,-0.4299462401373185
ACH-000009,-0.2537043896487536
ACH-000011,-0.034300789170812265
ACH-000012,-0.2778030921015457
ACH-000013,-0.09937538496853301
ACH-000014,-0.0580597690029729
ACH-000015,-0.13501254797109713
ACH-000017,-0.3214515708228933
ACH-000018,-0.20855036115101985
ACH-000019,-0.2461791035583463
ACH-000021,-0.3298352184107085
ACH-000022,-0.08433205173746591
ACH-000025,-0.25864495974601803
ACH-000028,-0.3261600644849392
ACH-000030,-0.23092162858344434
ACH-000035,-0.2802958949563218
ACH-000036,-0.14727813432738354
ACH-000037,-0.18171421540269267
ACH-000039,-0.19708914905721145
ACH-000040,-0.264620407637266
ACH-000041,-0.18784788611209047
ACH-000042,-0.3961436687970976
ACH-000045,-0.1738725731059503
ACH-000047,-0.3816975204727544
ACH-000052,-0.2352199340464076
ACH-000053,-0.110130541235466
ACH-000054,-0.3298975756872624
ACH-000055,-0.3886090541886081
ACH-000060,-0.29632980473937304
ACH-000067,-0.3273698431152793
ACH-000070,-0.18117759672941547
ACH-000075,-0.2738932360096774
ACH-000078,-0.3264020714841334
ACH-000082,-0.220053261261708
ACH-000085,-0.1991413812611557
ACH-000086,-0.1708720607722747
ACH-000087,-0.11896519570858302
ACH-000092,-0.13544935360219099
ACH-000095,-0.13385039550046846
ACH-000097,-0.2254637275213677
ACH-000098,-0.1068545662164514
ACH-000099,-0.2155603388738268
ACH-000108,-0.1345521658982768
ACH-000113,-0.1831174728870424
ACH-000116,-0.2895760286055663
ACH-000118,-0.3440024280452972
ACH-000120,-0.2868505176946084
ACH-000123,-0.10515897137280487
ACH-000127,-0.24376692513743875
ACH-000128,-0.2082733665900857
ACH-000132,-0.135559525383324
ACH-000133,-0.3482327609116701
ACH-000137,-0.21420961046614667
ACH-000138,-0.17804000932543584
ACH-000142,-0.21007082160761265
ACH-000143,-0.0867537330489037
ACH-000146,-0.11031066856989703
ACH-000148,-0.165768757687078
ACH-000150,-0.1708921870134834
ACH-000152,-0.1535216645510477
ACH-000153,0.08336972035544203
ACH-000159,-0.16533377013303482
ACH-000160,-0.32102179310526824
ACH-000163,-0.21704111715813806
ACH-000167,-0.10978981542492568
ACH-000168,-0.22124109907407996
ACH-000169,-0.2722329134326218
ACH-000178,-0.1259485117805974
ACH-000183,-0.3189660389022805
ACH-000188,-0.17161524473425227
ACH-000189,9.429398018126315e-05
ACH-000190,-0.4588863317834582
ACH-000198,-0.2755465220900295
ACH-000203,-0.6283202573196122
ACH-000204,-0.16688227403974834
ACH-000206,-0.010142290639635045
ACH-000207,-0.2912963356357688
ACH-000208,-0.10109442520411496
ACH-000210,-0.3793190024050595
ACH-000211,-0.2924000428489457
ACH-000215,-0.17434638834458874
ACH-000221,-0.2066077499052173
ACH-000222,-0.3086881224207013
ACH-000223,-0.23151696554902176
ACH-000226,-0.18586274162733504
ACH-000227,-0.2836592542266429
ACH-000228,-0.2700036153168448
ACH-000231,-0.19756290821028424
ACH-000232,-0.19858355240779635
ACH-000233,-0.27632771409131784
ACH-000234,-0.313031806382546
ACH-000235,-0.16479327953412562
ACH-000237,-0.027343932110195767
ACH-000238,-0.28329520366258243
ACH-000242,-0.02572280722953597
ACH-000243,-0.14080276966148894
ACH-000244,0.004116619563309772
ACH-000246,-0.2004508146109192
ACH-000248,-0.23504451700264184
ACH-000250,-0.15496230561244204
ACH-000251,-0.3457172348125705
ACH-000252,-0.2839563335505588
ACH-000253,-0.1904364120556088
ACH-000255,-0.2489620708974909
ACH-000256,-0.3317619954529504
ACH-000257,-0.2175643043142325
ACH-000258,-0.10895227806330292
ACH-000259,-0.1790394274145498
ACH-000260,-0.2545474972104152
ACH-000261,-0.3916378328750744
ACH-000262,-0.1645947045323874
ACH-000263,-0.022926558076695643
ACH-000264,-0.24174951559164234
ACH-000265,-0.1879253476571196
ACH-000266,-0.243749108478486
ACH-000272,-0.3504576532024817
ACH-000274,-0.3004802537030325
ACH-000277,-0.3885034519557134
ACH-000278,-0.12598476856207672
ACH-000279,-0.27397339221512457
ACH-000280,-0.1219681510429314
ACH-000281,-0.2720862236605116
ACH-000288,-0.11552475588531907
ACH-000291,-0.17617726758203212
ACH-000293,-0.23307148470168104
ACH-000294,-0.2093916248566436
ACH-000295,0.051393886810163325
ACH-000296,-0.4701601810726429
ACH-000302,-0.16715329593841868
ACH-000304,-0.20096852653115507
ACH-000307,-0.20541222441410487
ACH-000308,-0.263781383972482
ACH-000310,-0.21490755750477056
ACH-000311,-0.2746820188044792
ACH-000312,-0.273795558028502
ACH-000315,-0.1993196158973578
ACH-000316,-0.06739006346361641
ACH-000317,-0.19926250806413928
ACH-000318,-0.18190040371653726
ACH-000319,-0.23057963959201105
ACH-000320,-0.2878834575459611
ACH-000322,-0.31744325328792794
ACH-000323,-0.25463506789029544
ACH-000324,-0.22448014630216576
ACH-000329,-0.2178709931710203
ACH-000330,-0.1750422757412431
ACH-000331,-0.2712521119656069
ACH-000332,-0.2881351726778804
ACH-000334,-0.0697163447912466
ACH-000335,-0.17582401910474618
ACH-000336,-0.2780200157093624
ACH-000337,-0.585484925891433
ACH-000338,-0.1733548396753529
ACH-000339,-0.056917672853945285
ACH-000341,-0.1633306845794016
ACH-000348,-0.2296129590668844
ACH-000350,-0.3183679905992399
ACH-000352,-0.08806667849801544
ACH-000356,-0.052391292564909236
ACH-000361,-0.12941923706771735
ACH-000362,-0.10980419768668527
ACH-000363,-0.09771518501996376
