,GTF3C3 (9330)
ACH-000004,-0.5964646638863099
ACH-000005,-0.3477353952086385
ACH-000007,-0.2769314099032077
ACH-000009,-0.4422139990247173
ACH-000011,-0.579025367261365
ACH-000012,-0.5091448234307381
ACH-000013,-0.3779890972369487
ACH-000014,-0.2920207015952148
ACH-000015,-0.3049895252413712
ACH-000017,-0.7661128123196249
ACH-000018,-0.34114093026921005
ACH-000019,0.045684465247759744
ACH-000021,-0.4036350706299453
ACH-000022,-0.30189150625677025
ACH-000025,-0.4714362766273313
ACH-000028,-0.27075003715939794
ACH-000030,-0.3632256248000546
ACH-000035,-0.6429039162837201
ACH-000036,-0.1332140743247014
ACH-000037,-0.2450566447275821
ACH-000039,-0.13826673120358596
ACH-000040,-0.5619647080352257
ACH-000041,-0.5467784916122113
ACH-000042,-0.4134822348578023
ACH-000045,-0.496260235567016
ACH-000047,-0.4810283576379906
ACH-000052,-0.2499929485785796
ACH-000053,-0.3671862670858541
ACH-000054,-0.4248728000918589
ACH-000055,-0.3507502044537944
ACH-000060,-0.43580890761447216
ACH-000067,-0.6131636016119975
ACH-000070,-0.4524625134362126
ACH-000075,-0.7272472763557435
ACH-000078,-0.1797042178894927
ACH-000082,-0.470380660518419
ACH-000085,-0.2958064436185253
ACH-000086,-0.4742882805763498
ACH-000087,-0.17230229531891098
ACH-000092,-0.3806798145741668
ACH-000095,-0.2764432249882404
ACH-000097,-0.12361499632748232
ACH-000098,-0.4633834200552642
ACH-000099,-0.4115385152067992
ACH-000108,-0.4321966587125155
ACH-000113,-0.4975562666565909
ACH-000116,-0.5756858195946204
ACH-000118,-0.4285570739101642
ACH-000120,-0.23717434074318056
ACH-000123,-0.4388763992534008
ACH-000127,-0.2958716559997757
ACH-000128,-0.5771872788765591
ACH-000132,-0.5071015808811776
ACH-000133,-0.462391294915312
ACH-000137,-0.5649231806215498
ACH-000138,-0.27669774053611
ACH-000142,-0.39433205153262735
ACH-000143,-0.5037012611935094
ACH-000146,-0.2757176277255177
ACH-000148,-0.5455903670391836
ACH-000150,-0.3038029626355991
ACH-000152,-0.32108004762245185
ACH-000153,-0.3427052779061808
ACH-000159,-0.3892456801193411
ACH-000160,-0.09116518953298666
ACH-000163,-0.5215967688116306
ACH-000167,0.19719640080872847
ACH-000168,-0.535807013885215
ACH-000169,-0.22369822304818116
ACH-000178,-0.4482794140128984
ACH-000183,-0.42315136793249053
ACH-000188,-0.2707732232000377
ACH-000189,-0.8258200266663652
ACH-000190,-0.04089593699325942
ACH-000198,-0.4718871825319056
ACH-000203,-1.0990085054433998
ACH-000204,-0.3130863832197157
ACH-000206,-0.23436877604803455
ACH-000207,-0.3566123480316851
ACH-000208,-0.12121061852330985
ACH-000210,-0.08541554919017574
ACH-000211,-0.4336672989242423
ACH-000215,-0.27091271341682466
ACH-000221,-0.505475817701279
ACH-000222,-0.24808678503415624
ACH-000223,-0.4719802116582562
ACH-000226,-0.3883400671249139
ACH-000227,-0.2347317192008971
ACH-000228,-0.35412965747783504
ACH-000231,-0.5471550625527786
ACH-000232,-0.4063576811071944
ACH-000233,-0.3750264588380193
ACH-000234,-0.3927506570235801
ACH-000235,-0.294649932150226
ACH-000237,-0.4933775021614749
ACH-000238,-0.493381920315127
ACH-000242,-0.10000661320474084
ACH-000243,-0.39188493406826297
ACH-000244,-0.34157322897023024
ACH-000246,-0.4517400439161969
ACH-000248,-0.6035017323748909
ACH-000250,-0.2747262981270297
ACH-000251,-0.2234573032440366
ACH-000252,-0.5503433458750946
ACH-000253,-0.3326265623589231
ACH-000255,-0.5186194175406694
ACH-000256,-0.3251202790137216
ACH-000257,-0.31717206034035045
ACH-000258,-0.3245605141293643
ACH-000259,-0.5344668911359556
ACH-000260,-0.4666799176648256
ACH-000261,-0.43157946340817904
ACH-000262,-0.35405899543615604
ACH-000263,-0.3549159088394344
ACH-000264,-0.4733081058836362
ACH-000265,-0.3903909409142722
ACH-000266,-0.4251758612987586
ACH-000272,-0.3218327942004776
ACH-000274,-0.4559082700498623
ACH-000277,-0.3979178343258429
ACH-000278,-0.3915218964525357
ACH-000279,-0.6267096476895884
ACH-000280,-0.43706723197610897
ACH-000281,-0.5928015480114986
ACH-000288,-0.4393545564007656
ACH-000291,-0.33144574999931903
ACH-000293,-0.4427514835635592
ACH-000294,-0.4012811101286808
ACH-000295,-0.37282286064588177
ACH-000296,-0.2837317910321062
ACH-000302,-0.2811016923405553
ACH-000304,-0.16086597615664805
ACH-000307,-0.5612612624737774
ACH-000308,-0.25207609478649223
ACH-000310,-0.16885793889325487
ACH-000311,-0.4649352546969156
ACH-000312,-0.3343205858619309
ACH-000315,-0.5071496525379715
ACH-000316,-0.7072244262990398
ACH-000317,-0.7110186564107643
ACH-000318,-0.5378166685219855
ACH-000319,-0.5740521532801144
ACH-000320,-0.484596816524912
ACH-000322,-0.2860819563264473
ACH-000323,-0.33209485356824164
ACH-000324,-0.44015980601749466
ACH-000329,-0.25830904612188144
ACH-000330,-0.467077240817725
ACH-000331,-0.5617234550502229
ACH-000332,-0.2742398463329964
ACH-000334,-0.2724036072574685
ACH-000335,-0.6148826773822069
ACH-000336,-0.5942309768550957
ACH-000337,-0.33672600045718604
ACH-000338,-0.30795506147954826
ACH-000339,-0.3096151267321725
ACH-000341,-0.2811154010684377
ACH-000348,-0.2944138898040412
ACH-000350,-0.4679065858503101
ACH-000352,-0.4386863229769524
ACH-000356,-0.7158794925431954
ACH-000361,-0.7605974064309118
ACH-000362,-0.33159466468269794
ACH-000363,-0.24994156095841386
ACH-000364,-0.3561513000269629
ACH-000365,-0.5697675982717589
ACH-000366,-0.32755074873382856
ACH-000368,-0.4508715077614749
ACH-000374,-0.3796729565130851
ACH-000375,-0.20459076356843708
ACH-000376,-0.36131093611448944
ACH-000381,-0.3635277585445029
ACH-000383,-0.2781757540752897
ACH-000387,-0.2530751634849149
ACH-000389,-0.7259866324615294
ACH-000390,-0.2001386006962552
ACH-000393,-0.34431061888346315
ACH-000395,-0.6038169422679067
ACH-000396,-0.5620275592151699
ACH-000397,-0.3205220749654498
ACH-000401,-0.4558194834346463
ACH-000402,-0.36483701751811615
ACH-000403,-0.2870297107781932
ACH-000404,-0.5202353052553097
ACH-000406,-0.4076965101062223
ACH-000407,-0.2633650229330178
ACH-000408,-0.3807718820800855
ACH-000410,-0.30180721194702864
ACH-000411,-0.34992521477966226
ACH-000414,-0.3506462388012587
ACH-000415,-0.5314854396453337
ACH-000416,-0.20758346537813385
ACH-000420,-0.19503337735198825
ACH-000421,-0.5177142434986638
ACH-000424,-0.3107707286113631
ACH-000425,-0.22463894894396275
ACH-000426,-0.4499853712164942
ACH-000427,-0.22148403679134512
ACH-000433,-0.3597236765260106
ACH-000435,-0.31032864318479103
ACH-000436,-0.13108089670416673
ACH-000444,-0.5479651207228373
ACH-000445,-0.5606121641628821
ACH-000448,-0.25733435424752976
ACH-000450,-0.5810049347256309
