,TEX264 (51368)
ACH-000315,-0.006637711651571307
ACH-000316,0.06517453118788083
ACH-000317,0.06896352486351792
ACH-000318,0.07636698558623309
ACH-000319,-0.03970200766596847
ACH-000320,0.1902464067596616
ACH-000322,0.006436338440546957
ACH-000323,-0.12066181992026387
ACH-000324,-0.02513906416376243
ACH-000329,0.04157067692522546
ACH-000330,-0.13571078349990665
ACH-000331,0.13526162813142067
ACH-000332,0.02880724745951652
ACH-000334,0.009022049237686234
ACH-000335,-0.031133097144452587
ACH-000336,0.2559007414206114
ACH-000337,-0.009493266534553707
ACH-000338,-0.02559682634454953
ACH-000339,0.002324348424740959
ACH-000341,-0.13447197728294916
ACH-000348,0.03671022822427596
ACH-000350,0.1051698528592342
ACH-000352,-0.052994487919969406
ACH-000356,-0.07863859122831912
ACH-000361,0.1070330503585258
ACH-000362,0.09234989889355752
ACH-000363,0.0065003073038587145
ACH-000364,0.11339343768904432
ACH-000365,-0.07625768148121835
ACH-000366,0.060265817546845415
ACH-000368,0.1318165903153759
ACH-000374,-0.09711759975041184
ACH-000375,0.14702566095738262
ACH-000376,0.03314476516006848
ACH-000381,0.14156921422320332
ACH-000383,0.019513469224804632
ACH-000387,0.05814288235317903
ACH-000389,0.13816005400217682
ACH-000390,0.025550391676462968
ACH-000393,-0.04902774928900937
ACH-000395,-0.008113611764256002
ACH-000396,-0.09129223829323342
ACH-000397,0.03949447774680072
ACH-000401,0.12182073166203986
ACH-000402,0.027948256257091148
ACH-000403,0.02223275666336272
ACH-000404,-0.11354390039353895
ACH-000406,0.018544327920502
ACH-000407,0.049495814741777264
ACH-000408,-0.04751738212176195
ACH-000410,0.014603582237539641
ACH-000411,0.02473366110458776
ACH-000414,-0.10137710874981826
ACH-000415,-0.14027894134004024
ACH-000416,0.08723275295927299
ACH-000420,0.02068381410787746
ACH-000421,-0.026044061759095658
ACH-000424,0.30845197815302466
ACH-000425,0.018529475384323292
ACH-000426,0.09463429535882874
ACH-000427,0.022145984999917483
ACH-000433,0.09875007696555124
ACH-000435,0.008126739127665183
ACH-000436,0.020037720859715908
ACH-000444,0.09103993574399624
ACH-000445,0.1140177994092106
ACH-000448,-0.0321856349380294
ACH-000450,0.13541542270092713
ACH-000452,-0.007790687572907628
ACH-000454,-0.1934696155159452
ACH-000458,-0.03304289051036201
ACH-000459,-0.040632180380902966
ACH-000460,0.06496983339925654
ACH-000461,-0.06370861277507994
ACH-000463,-0.004998993194435008
ACH-000464,-0.01073180456185038
ACH-000466,-0.1278138158527714
ACH-000467,0.034916511933233516
ACH-000468,-0.04377446728575105
ACH-000469,0.025542970647250852
ACH-000470,0.013551942052052984
ACH-000471,0.11125371054034648
ACH-000472,0.035969385098256534
ACH-000473,0.02682535019199599
ACH-000475,0.07595835302170892
ACH-000476,-0.008509082242170691
ACH-000477,0.09042185789889197
ACH-000479,0.09617426424789413
ACH-000480,0.07051263540467805
ACH-000481,-0.044617156677093636
ACH-000483,0.05269318212914802
ACH-000484,0.20992448514415948
ACH-000485,0.04260172366992485
ACH-000486,-0.04540329583490292
ACH-000487,0.03576878610981931
ACH-000488,-0.054073307071483855
ACH-000490,0.03048037551362183
ACH-000491,-0.06252373540647581
ACH-000495,-0.01034684906258188
ACH-000496,0.11640453166696492
ACH-000499,0.028985349565790595
ACH-000500,-0.2750036634820753
ACH-000502,-0.01776284477507509
ACH-000503,0.07136932039281456
ACH-000505,0.015158833990743862
ACH-000507,-0.11261332867501687
ACH-000510,0.04053382900617918
ACH-000511,0.1575628834066545
ACH-000512,-0.008084893841859167
ACH-000516,0.03209853013004246
ACH-000517,0.010240144587053608
ACH-000518,-0.02950285283502096
ACH-000520,-0.03058348887457862
ACH-000521,0.2477069402271929
ACH-000522,0.07432916248771884
ACH-000524,0.013423221860910094
ACH-000527,-0.0222495794222083
ACH-000528,0.018008860116718726
ACH-000537,-0.014750703211158232
ACH-000541,-0.04752626091096666
ACH-000542,0.10898617532041756
ACH-000544,-0.11664775064084107
ACH-000545,-0.06626269552227533
ACH-000547,-0.18708461537164345
ACH-000548,0.04843368624570159
ACH-000549,0.008459108070717912
ACH-000550,0.054189049965702236
ACH-000552,-0.01843328730548682
ACH-000556,-0.04913650573810345
ACH-000557,0.08216312980136065
ACH-000569,0.4348073267105628
ACH-000570,-0.012498187559305016
ACH-000571,0.04686351488807629
ACH-000573,0.17159661428357104
ACH-000576,0.1361350298230294
ACH-000579,0.041369513260842886
ACH-000580,0.15431462932384465
ACH-000584,0.0951723777920818
ACH-000585,0.07034551286035677
ACH-000588,0.0434893752614088
ACH-000589,0.08474115791329365
ACH-000591,0.11848469245730918
ACH-000593,0.01667526985366375
ACH-000600,0.03970536681150767
ACH-000601,0.02703629184108505
ACH-000605,0.09737838257623878
ACH-000606,-0.08377719113320778
ACH-000608,-0.015205924063019271
ACH-000614,0.013033568421005745
ACH-000616,0.034551025495244386
ACH-000618,0.10307997133362364
ACH-000619,-0.09073525507435902
ACH-000620,-0.004878883766988697
ACH-000621,0.03343562683869177
ACH-000622,-0.06680817950716894
ACH-000623,0.052626859333672116
ACH-000624,-0.0045146042062072025
ACH-000627,-0.01646530104358367
ACH-000630,0.09364352505098256
ACH-000631,0.14221939625337754
ACH-000632,0.06954942485016602
ACH-000633,-0.00023653639103633022
ACH-000637,0.06511702380500692
ACH-000638,-0.034120024959844314
ACH-000646,0.01044022475811162
ACH-000647,0.005028586785825721
ACH-000648,0.010659801704370545
ACH-000649,0.0275002126560951
ACH-000651,0.0693594088863234
ACH-000652,-0.1675426028974653
ACH-000653,0.11611920918010632
ACH-000657,0.0005128184976626642
ACH-000658,0.0633752961475679
ACH-000661,-0.04934710447290401
ACH-000662,-0.06620385070985656
ACH-000663,0.03231770920644534
ACH-000665,0.001224083481867111
ACH-000671,0.037547532610751215
ACH-000672,-0.0013015077865065046
ACH-000673,0.03562162045041204
ACH-000676,-0.02431980799510186
ACH-000677,-0.09247508242062244
ACH-000681,0.2226541809785216
ACH-000683,0.022501182031916454
ACH-000684,0.06945862870358628
ACH-000688,0.036747743064561716
ACH-000693,0.03675848331285776
ACH-000694,0.09237925881496276
ACH-000695,0.0020620506113881764
ACH-000696,0.06463002022472122
ACH-000697,0.1688431174534474
ACH-000699,0.10578679978772004
ACH-000701,-0.109609833509403
