,GDPD1 (284161)
ACH-000004,0.041959240451020015
ACH-000005,0.12579199745607866
ACH-000007,0.1537262388359625
ACH-000009,-0.1062830288756338
ACH-000011,0.0031132610754076658
ACH-000012,-0.13722098131640098
ACH-000013,0.00434489419350056
ACH-000014,-0.0866790553234042
ACH-000015,-0.03908622630268158
ACH-000017,-0.09756259552020144
ACH-000018,-0.051367860309132686
ACH-000019,-0.5182882150709731
ACH-000021,-0.039943295957530094
ACH-000022,-0.12905629488238207
ACH-000025,-0.04982145406112362
ACH-000028,-0.4098533002933837
ACH-000030,-0.03756489372646039
ACH-000035,-0.09322870089780988
ACH-000036,-0.10938769781464412
ACH-000037,-0.0657939242755887
ACH-000039,-0.045846613516804594
ACH-000040,-0.2336099758495984
ACH-000041,0.02689888163353228
ACH-000042,-0.0567923969812834
ACH-000045,-0.21738864683352
ACH-000047,-0.07690860122101914
ACH-000052,-0.0807131023013542
ACH-000053,-0.05194432649022835
ACH-000054,-0.2095501514605133
ACH-000055,-0.2511888142492958
ACH-000060,-0.11210746557785996
ACH-000067,-0.17674513647676734
ACH-000070,-0.09022620110247133
ACH-000075,-0.09344969984920312
ACH-000078,-0.2634343160685599
ACH-000082,-0.04553024673500703
ACH-000085,0.07857866032917936
ACH-000086,-0.05885416038614765
ACH-000087,-0.04698742889727525
ACH-000092,-0.06321453927330388
ACH-000095,-0.15591481980514849
ACH-000097,-0.09039657271722608
ACH-000098,-0.1421990866307779
ACH-000099,-0.20572157383072565
ACH-000108,-0.09061173216857647
ACH-000113,-0.029160931033135343
ACH-000116,-0.06688503216326765
ACH-000118,-0.02305619033582412
ACH-000120,-0.30117616804849856
ACH-000123,-0.17815650011184478
ACH-000127,-0.06907702168991199
ACH-000128,-0.014880882164243497
ACH-000132,-0.010036167871715584
ACH-000133,-0.06398100495891777
ACH-000137,-0.1206627341678024
ACH-000138,-0.28023196795926725
ACH-000142,-0.16497629031267216
ACH-000143,-0.02804871823715799
ACH-000146,-0.01794852889227997
ACH-000148,-0.14118856410194947
ACH-000150,-0.038101139163843264
ACH-000152,-0.1043725854431296
ACH-000153,-0.00680948839110871
ACH-000159,-0.16703649437151954
ACH-000160,-0.19769761289345067
ACH-000163,-0.07366259351754331
ACH-000167,-0.17546214975595725
ACH-000168,0.023011005913771337
ACH-000169,-0.021553663710207262
ACH-000178,0.01379991366574161
ACH-000183,-0.09411863428272832
ACH-000188,-0.16329369394480292
ACH-000189,-0.17725936381760646
ACH-000190,-0.007309035470822186
ACH-000198,-0.030609424769034933
ACH-000203,-0.5801714062065335
ACH-000204,-0.030695747669135364
ACH-000206,-0.010806192793640585
ACH-000207,0.0057588087331254655
ACH-000208,-0.016121992010820187
ACH-000210,-0.08171776972857812
ACH-000211,-0.09413344342135266
ACH-000215,-0.1046898161281374
ACH-000221,0.08053174825001294
ACH-000222,-0.061746983369590926
ACH-000223,-0.047200514064700605
ACH-000226,0.004161590958665365
ACH-000227,-0.2271785557454803
ACH-000228,-0.11909128279016105
ACH-000231,-0.10163039417696612
ACH-000232,-0.12775526796043193
ACH-000233,-0.05870982079666823
ACH-000234,-0.2263017862412537
ACH-000235,-0.07457730159806418
ACH-000237,-0.08571032059187413
ACH-000238,-0.2804090653297188
ACH-000242,-0.020285935303872318
ACH-000243,-0.1746356615580308
ACH-000244,-0.07369199652922298
ACH-000246,-0.06995732722642396
ACH-000248,-0.09475763355616182
ACH-000250,-0.09522794015300223
ACH-000251,-0.1882416534068949
ACH-000252,0.10762092891764408
ACH-000253,-0.08082629166171765
ACH-000255,-0.2912916789889756
ACH-000256,-0.2882342630179715
ACH-000257,0.13885665490549912
ACH-000258,-0.15554112271149748
ACH-000259,-0.1983598157302684
ACH-000260,-0.1386921817866927
ACH-000261,-0.06359825268792776
ACH-000262,-0.26182218591343004
ACH-000263,-0.2684826748368093
ACH-000264,-0.15911208086219922
ACH-000265,-0.05061507630745333
ACH-000266,-0.08647311875894677
ACH-000272,-0.11567653416161387
ACH-000274,-0.14571776197141922
ACH-000277,-0.21669868150949465
ACH-000278,-0.024582490600334544
ACH-000279,-0.06817917735319752
ACH-000280,-0.03535708735066933
ACH-000281,0.09298730816862982
ACH-000288,-0.09292681265527006
ACH-000291,-0.054384343543460174
ACH-000293,-0.1157201474703084
ACH-000294,-0.1121273052898848
ACH-000295,-0.18465158676342885
ACH-000296,-0.26092363048196404
ACH-000302,0.029957094493273294
ACH-000304,-0.16429089066651528
ACH-000307,-0.08346721914070189
ACH-000308,-0.09545430658302648
ACH-000310,-0.33396703869732003
ACH-000311,-0.14302269673056234
ACH-000312,-0.07383570849923808
ACH-000315,0.17348125922189894
ACH-000316,-0.22357902013786815
ACH-000317,-0.017783185818592534
ACH-000318,0.12420779953391516
ACH-000319,-0.09673614175108694
ACH-000320,0.037647625793950784
ACH-000322,-0.09964549539977748
ACH-000323,-0.16408212706005154
ACH-000324,-0.10854960292556208
ACH-000329,-0.10871312993539003
ACH-000330,-0.2963181007462541
