,GPR137C (283554)
ACH-000004,-0.304696734985033
ACH-000005,0.18438764833161933
ACH-000007,-0.3401231654960929
ACH-000009,-0.12680104310675305
ACH-000011,-0.3044166210192495
ACH-000012,-0.2099222271842756
ACH-000013,-0.23278390664035115
ACH-000014,-0.0625380311497942
ACH-000015,-0.2335129881177549
ACH-000017,-0.2184945581319141
ACH-000018,-0.4636752202245131
ACH-000019,-0.33977576994939673
ACH-000021,-0.21693817647272576
ACH-000022,-0.2071721603243892
ACH-000025,-0.24493776872159365
ACH-000028,-0.2295372906024148
ACH-000030,-0.25244552423482725
ACH-000035,-0.2675366005701718
ACH-000036,-0.3063816228408713
ACH-000037,-0.21750156204612853
ACH-000039,-0.0991984220329735
ACH-000040,-0.43467492147439785
ACH-000041,-0.1889036544205971
ACH-000042,-0.2525363027838637
ACH-000045,-0.19465945093499767
ACH-000047,-0.3068878330826241
ACH-000052,-0.2021534085039945
ACH-000053,-0.2182599721229108
ACH-000054,-0.2131273670309648
ACH-000055,-0.2267095738375204
ACH-000060,-0.4519497312112479
ACH-000067,-0.23191219166486185
ACH-000070,-0.21414237671124609
ACH-000075,-0.03181093660416225
ACH-000078,-0.2912143126609456
ACH-000082,-0.3971112735330647
ACH-000085,-0.3988131732000961
ACH-000086,-0.214941647832054
ACH-000087,-0.4847284916217372
ACH-000092,-0.2936408316502984
ACH-000095,-0.30978362922551195
ACH-000097,-0.1572174365753546
ACH-000098,-0.2298316010676431
ACH-000099,-0.30029956319049705
ACH-000108,-0.3216394688518305
ACH-000113,-0.17073324384213134
ACH-000116,-0.2521773837716222
ACH-000118,-0.3317701101737354
ACH-000120,-0.05305166740930098
ACH-000123,-0.1197405552886062
ACH-000127,-0.19966410508958884
ACH-000128,-0.06867381802087039
ACH-000132,-0.1670094714670814
ACH-000133,-0.2089942896257676
ACH-000137,-0.21746174635716606
ACH-000138,-0.28209083124895223
ACH-000142,-0.1341646428416203
ACH-000143,-0.1602485748812522
ACH-000146,-0.28426524267624204
ACH-000148,-0.1392029609079139
ACH-000150,-0.2374485433774416
ACH-000152,-0.30651386750289394
ACH-000153,-0.12734892121086627
ACH-000159,-0.3655993197579333
ACH-000160,-0.25183117408036043
ACH-000163,-0.1936057106840974
