,MADCAM1 (8174)
ACH-000004,-0.034889451152723766
ACH-000005,-0.345224905621294
ACH-000007,-0.1949047971123033
ACH-000009,-0.14212953091818145
ACH-000011,0.04638609023389205
ACH-000012,-0.03555784876894734
ACH-000013,-0.01691254611849836
ACH-000014,-0.1210196047611433
ACH-000015,-0.14813007546373502
ACH-000017,-0.27981905949095404
ACH-000018,-0.05945661859482247
ACH-000019,0.03645222733518134
ACH-000021,0.0024645750454898325
ACH-000022,-0.20941799577000345
ACH-000025,-0.1954172193904313
ACH-000028,-0.1003006476091372
ACH-000030,-0.06758711517714926
ACH-000035,-0.12497712639170967
ACH-000036,0.05048594207903007
ACH-000037,-0.07113909276561016
ACH-000039,-0.10472980062838301
ACH-000040,-0.12355258322995513
ACH-000041,0.10847312121957496
ACH-000042,-0.03203956347348408
ACH-000045,-0.19218098365909456
ACH-000047,-0.20266050723864729
ACH-000052,-0.15517010337831186
ACH-000053,0.00375374057336015
ACH-000054,-0.024263028525938802
ACH-000055,-0.06361433992308589
ACH-000060,-0.09792127005099237
ACH-000067,0.08023342938149054
ACH-000070,-0.18243082526880974
ACH-000075,-0.2263219733129829
ACH-000078,-0.12647094588647168
ACH-000082,0.027038176989138647
ACH-000085,-0.16831720266002614
ACH-000086,-0.06752386489381729
ACH-000087,0.000886662310627502
ACH-000092,-0.0868630583758518
ACH-000095,-0.069031535677961
ACH-000097,-0.18456598449611414
ACH-000098,-0.11632321442274675
ACH-000099,-0.09937527757038518
ACH-000108,-0.08491089314429373
ACH-000113,-0.04822680859824168
ACH-000116,-0.15748104391321968
ACH-000118,-0.0157787925642959
ACH-000120,-0.06928394225643922
ACH-000123,-0.17840709827308324
ACH-000127,-0.03195449093059342
ACH-000128,-0.1052865579111742
ACH-000132,-0.18980057106914086
ACH-000133,0.04586107207256571
ACH-000137,-0.1585425949243725
ACH-000138,-0.12413211062839187
ACH-000142,-0.28543915141707715
ACH-000143,0.09124184431604164
ACH-000146,-0.015658290493331964
ACH-000148,-0.03720943851139902
ACH-000150,-0.11113324781992433
ACH-000152,0.08246540098589376
ACH-000153,-0.3144387709978466
ACH-000159,-0.15967675530764916
ACH-000160,-0.16665737531054814
ACH-000163,0.0839631278056752
ACH-000167,-0.2296636671289911
ACH-000168,-0.2882715062270965
ACH-000169,-0.02276837272304625
ACH-000178,-0.07806836748293867
ACH-000183,-0.03327945585456035
ACH-000188,-0.25157326206061065
ACH-000189,-0.4568237632066238
ACH-000190,0.12250930738077412
ACH-000198,-0.03965726286778395
ACH-000203,-0.13832013058122486
ACH-000204,-0.19434707500191212
ACH-000206,0.059136213158213415
ACH-000207,-0.4500056560163313
ACH-000208,0.04007963775036344
ACH-000210,-0.113998571063285
ACH-000211,-0.05421688307545558
ACH-000215,-0.08633870587692166
ACH-000221,-0.07733363170151909
ACH-000222,0.09017905202188924
ACH-000223,-0.1588775486304072
ACH-000226,-0.09249283093443103
ACH-000227,0.060382248540852126
ACH-000228,-0.19147779251892288
ACH-000231,-0.07065845494688766
ACH-000232,-0.021945589117270087
ACH-000233,-0.08753659967766438
ACH-000234,-0.14360814663557342
ACH-000235,-0.12213549507421917
ACH-000237,-0.02305726268115916
ACH-000238,-0.04131483245808613
ACH-000242,0.14219660023138764
ACH-000243,-0.03721060656223557
ACH-000244,-0.4488785631971037
ACH-000246,-0.2658417385386222
ACH-000248,-0.2636332669781533
ACH-000250,0.020348774039008838
ACH-000251,-0.2094186902032045
ACH-000252,-0.004471872259349058
ACH-000253,-0.2634483042544485
ACH-000255,-0.06949374987703864
ACH-000256,0.017124674613900458
ACH-000257,-0.23309657987717514
ACH-000258,-0.22441533072364486
ACH-000259,-0.09325183533670177
ACH-000260,0.0009741476086911687
ACH-000261,0.009177393088916996
ACH-000262,-0.3818424081933161
ACH-000263,0.06525155961701436
ACH-000264,-0.2691084342186545
ACH-000265,0.14564973476615006
ACH-000266,-0.15012629253781498
ACH-000272,-0.1471996257514632
ACH-000274,-0.19537944063202947
ACH-000277,-0.2323485542895339
ACH-000278,-0.09091007083537377
ACH-000279,-0.13566192375607744
ACH-000280,-0.0852855701427753
ACH-000281,-0.03898935474103593
ACH-000288,0.08508798853847581
ACH-000291,-0.1457465779233131
ACH-000293,-0.16192304187526912
ACH-000294,-0.10611881910430987
ACH-000295,-0.3945128656557553
ACH-000296,-0.14568960985171311
ACH-000302,-0.15177149274371834
ACH-000304,0.06214149624284571
ACH-000307,-0.05251676025456855
ACH-000308,-0.11194288466952694
ACH-000310,0.04139323677571659
ACH-000311,-0.26280482930842564
ACH-000312,-0.2030241350763674
ACH-000315,-0.011117839703517731
ACH-000316,-0.020990638980985115
ACH-000317,0.15225166317293667
ACH-000318,-0.10168117067037408
ACH-000319,-0.2806857676681537
ACH-000320,-0.09512070083081088
ACH-000322,-0.004745126696947505
ACH-000323,-0.35104438598856963
ACH-000324,-0.1300282272939278
ACH-000329,-0.13558552440259306
ACH-000330,-0.06952991424827411
ACH-000331,-0.06493583392271235
ACH-000332,-0.18005934330863568
ACH-000334,-0.09392743238819452
ACH-000335,-0.1162317594883076
ACH-000336,0.11765631900440697
ACH-000337,-0.2898079808400755
ACH-000338,-0.002895954165301366
ACH-000339,-0.08800454458911873
ACH-000341,-0.26538189493431513
ACH-000348,-0.14959648353693142
ACH-000350,-0.005987202938664204
ACH-000352,-0.1201127399500906
ACH-000356,0.13065135318615764
ACH-000361,-0.19251726237095496
ACH-000362,-0.011399024333054328
ACH-000363,-0.10996739510199864
ACH-000364,-0.0610376810094072
ACH-000365,0.027212863617438042
ACH-000366,-0.20696089906640916
ACH-000368,-0.07935750517503118
ACH-000374,-0.1987916680439164
ACH-000375,-0.1044593984576155
ACH-000376,-0.12860750501397725
ACH-000381,-0.1694175299628119
ACH-000383,-0.08765359026621766
ACH-000387,0.019208245187754318
ACH-000389,-0.15011378632529904
ACH-000390,-0.160037079830892
ACH-000393,-0.10608023382364434
ACH-000395,-0.1286389718011682
ACH-000396,0.1947816361045846
