,WDTC1 (23038)
ACH-000004,-0.36640186667111607
ACH-000005,-0.4843512846841773
ACH-000007,-0.31778904868742264
ACH-000009,-0.4977687248266774
ACH-000011,-0.34064169745107403
ACH-000012,-0.3864729166910145
ACH-000013,-0.4457435631660357
ACH-000014,-0.629331790115084
ACH-000015,-0.3676333173720591
ACH-000017,-0.25568721950456674
ACH-000018,-0.3109322912241557
ACH-000019,-0.3415321286481089
ACH-000021,-0.3231306589449365
ACH-000022,-0.3209348125667604
ACH-000025,-0.33397652251093235
ACH-000028,-0.2507721768486789
ACH-000030,-0.3458524806893696
ACH-000035,-0.5497690974917595
ACH-000036,-0.20584147447082055
ACH-000037,-0.5895676615140327
ACH-000039,-0.33560740325743177
ACH-000040,-0.4096179721391915
ACH-000041,-0.26329420910519197
ACH-000042,-0.27805950856745515
ACH-000045,-0.3020164055001877
ACH-000047,-0.3623041617264458
ACH-000052,-0.3376959991264945
ACH-000053,-0.36648811746463655
ACH-000054,-0.3167238542094934
ACH-000055,-0.4883081721450441
ACH-000060,-0.3319119285639044
ACH-000067,-0.5516454872152332
ACH-000070,-0.1648959697232608
ACH-000075,-0.28207635096170364
ACH-000078,-0.2932570541375077
ACH-000082,-0.2710187572800297
ACH-000085,-0.5092422678777829
ACH-000086,-0.3879025654562948
ACH-000087,-0.363885552765639
ACH-000092,-0.41607312629927
ACH-000095,-0.2942640537611759
ACH-000097,-0.3829565916517767
ACH-000098,-0.4087373465843492
ACH-000099,-0.3287767801543438
ACH-000108,-0.3301340366065704
ACH-000113,-0.12139107235712598
ACH-000116,-0.22497388456655956
ACH-000118,-0.23769465062076395
ACH-000120,-0.060051872103728775
ACH-000123,-0.22167354406628348
ACH-000127,-0.4315480571685108
ACH-000128,-0.3399922453767686
ACH-000132,-0.4937538809637738
ACH-000133,-0.22569963291610565
ACH-000137,-0.5127201512349464
ACH-000138,-0.3513615534193153
ACH-000142,-0.3015236143299021
ACH-000143,-0.5352309078221011
ACH-000146,-0.21132145045816486
ACH-000148,-0.3755493129836893
ACH-000150,-0.5301982981354997
ACH-000152,-0.3907550946281044
ACH-000153,-0.3790722059671905
ACH-000159,-0.38614520009535946
ACH-000160,-0.4773815130502154
ACH-000163,-0.3708238534275537
ACH-000167,-0.7525230210683667
ACH-000168,-0.4214230301747485
ACH-000169,-0.3948533512862852
ACH-000178,-0.4146207486459343
ACH-000183,-0.3591825017033658
ACH-000188,-0.28759123211242005
ACH-000189,-0.1598677652412185
ACH-000190,-0.2454634954117702
ACH-000198,-0.4611706246625684
ACH-000203,-0.43539515005417057
ACH-000204,-0.2603426798902204
ACH-000206,-0.2439881689734532
ACH-000207,-0.4875481128949303
ACH-000208,-0.276655743196304
ACH-000210,-0.2881766219583027
ACH-000211,-0.1894275198608175
ACH-000215,-0.31216350074514365
ACH-000221,-0.33934999534747984
ACH-000222,-0.4159863085393944
ACH-000223,-0.3249667335467667
ACH-000226,-0.27822191199277113
ACH-000227,-0.2077860516568089
ACH-000228,-0.11084818416020327
ACH-000231,-0.2724662219214884
ACH-000232,-0.4602763063700115
ACH-000233,-0.37438496316352776
ACH-000234,-0.34855339387237405
ACH-000235,-0.2333312009751826
ACH-000237,-0.44007529373979465
ACH-000238,-0.4042516868048171
ACH-000242,-0.5232898430526759
ACH-000243,-0.4287038007319109
ACH-000244,-0.10989928542295177
ACH-000246,-0.5118745328852395
ACH-000248,-0.14831728835807967
ACH-000250,-0.3991784573296896
ACH-000251,-0.3955956336172605
ACH-000252,-0.31566361414557503
ACH-000253,-0.3398043829299377
ACH-000255,-0.2949833293329202
ACH-000256,-0.5278046770404353
ACH-000257,-0.4679077259374382
ACH-000258,-0.450433453334507
ACH-000259,-0.3393744732117132
ACH-000260,-0.39798565501364097
ACH-000261,-0.2817891019181271
ACH-000262,-0.21685100972465254
ACH-000263,-0.5337596005148039
ACH-000264,-0.2921994853029259
ACH-000265,-0.4093847455708648
ACH-000266,-0.2661062413440457
ACH-000272,-0.2346376099139496
ACH-000274,-0.5472221701800479
ACH-000277,-0.021778534880277974
ACH-000278,-0.22179517371747756
ACH-000279,-0.34828628817240703
ACH-000280,-0.18844888952691066
ACH-000281,-0.3320959775522353
ACH-000288,-0.327386219404164
ACH-000291,-0.4755267026195408
ACH-000293,-0.3833339277457693
ACH-000294,-0.2374106826200926
ACH-000295,-0.3587912702591337
ACH-000296,-0.3366501142519094
ACH-000302,-0.43888393224678895
ACH-000304,-0.204108576696162
ACH-000307,-0.20858653095032345
ACH-000308,-0.2773672126132039
ACH-000310,-0.1902002374512227
ACH-000311,-0.2747798393166121
ACH-000312,-0.5854668389352589
ACH-000315,-0.4035674497377673
ACH-000316,-0.3183305156752336
ACH-000317,-0.4296268717377563
ACH-000318,-0.3028512933747427
ACH-000319,-0.31352833240709244
ACH-000320,-0.5691840152045677
ACH-000322,-0.21268716104787325
ACH-000323,-0.6548279409969119
ACH-000324,-0.4288056000921539
ACH-000329,-0.2872277587686874
ACH-000330,-0.4869829725430248
ACH-000331,-0.4124036728059916
ACH-000332,-0.3568037883338597
ACH-000334,-0.5019078754996655
ACH-000335,-0.5154835791269116
ACH-000336,0.04320806140421978
ACH-000337,-0.4789795837072399
ACH-000338,-0.6524050327778455
ACH-000339,-0.29305045228952603
ACH-000341,-0.31636792218520354
ACH-000348,-0.400469740640611
ACH-000350,-0.2942034774771146
ACH-000352,-0.32287412154099826
ACH-000356,-0.4658678333600394
