,AHCYL1 (10768)
ACH-000004,-0.4757698331846634
ACH-000005,-0.2803627937322883
ACH-000007,-0.2509521795198557
ACH-000009,-0.10106927550693344
ACH-000011,-0.4607085538258003
ACH-000012,-0.5482134237267181
ACH-000013,-0.2733703389998143
ACH-000014,-0.8258665423723542
ACH-000015,-0.6296904674804518
ACH-000017,-0.979426349933742
ACH-000018,-0.3608847812947356
ACH-000019,-0.5706287567228326
ACH-000021,-0.29788844345886234
ACH-000022,-0.4440179563576215
ACH-000025,-0.4327647884461148
ACH-000028,-0.3291514890764328
ACH-000030,-0.6928397997205141
ACH-000035,-0.3532073272775852
ACH-000036,-0.4250723660052847
ACH-000037,-0.29898792199452745
ACH-000039,-0.12087036549684595
ACH-000040,-0.3760374116991756
ACH-000041,-0.5760977759319114
ACH-000042,-0.4504022439203981
ACH-000045,-0.5086918713341291
ACH-000047,-0.7587968396557225
ACH-000052,-0.4399067708543412
ACH-000053,-0.3650501706775709
ACH-000054,-0.2688614701195123
ACH-000055,-0.1323823578670206
ACH-000060,-0.7208274612237218
ACH-000067,-0.5645460944293079
ACH-000070,-0.5339929293040749
ACH-000075,-0.17687722137173215
ACH-000078,-0.22428176149069987
ACH-000082,-0.15977410933979608
ACH-000085,-0.3470936884064758
ACH-000086,-0.4408750211631389
ACH-000087,-0.4577997137690922
ACH-000092,-0.7847358330308111
ACH-000095,-0.5690047020199855
ACH-000097,-0.05124665135955872
ACH-000098,-0.3739911214538528
ACH-000099,-0.09113724926781136
ACH-000108,-0.8752767616751761
ACH-000113,-1.0432943097524818
ACH-000116,-0.10215861307772538
ACH-000118,-0.6307651262465686
ACH-000120,-0.1180671436475729
ACH-000123,-0.7892350158988554
ACH-000127,-0.40306706504277867
ACH-000128,-0.3549156399399893
ACH-000132,-0.1590174787595275
ACH-000133,-0.17293588450934902
ACH-000137,-0.4137105763680569
ACH-000138,-0.5847847251398754
ACH-000142,-0.33675267731868325
ACH-000143,-0.5868466876893021
ACH-000146,-0.8859418778210085
ACH-000148,-0.4266200059893389
ACH-000150,-0.8343371600533577
ACH-000152,-0.5427604663195174
ACH-000153,-0.3408752292213592
ACH-000159,-0.48670381120608097
ACH-000160,-0.14863346047633144
ACH-000163,-0.37390435962823343
ACH-000167,-0.10580372801902127
ACH-000168,-0.22415745031249584
ACH-000169,-0.15155121218483308
ACH-000178,-0.027036751818530158
