,HIST1H3G (8355)
ACH-000004,-0.1249190994687762
ACH-000005,-0.4613564974803247
ACH-000007,-0.14777065664113584
ACH-000009,-0.1748091537807224
ACH-000011,-0.2997309388737508
ACH-000012,-0.348950985459148
ACH-000013,-0.07825561529383802
ACH-000014,-0.3525639385528328
ACH-000015,-0.2972169039759709
ACH-000017,-0.20468653418322355
ACH-000018,-0.20716961800687336
ACH-000019,-0.2558627320288201
ACH-000021,-0.15874630127984746
ACH-000022,-0.22692649643539214
ACH-000025,-0.3438773826826061
ACH-000028,-0.25732444080678324
ACH-000030,-0.16893239086181147
ACH-000035,-0.2774482902614672
ACH-000036,-0.15570217896936644
ACH-000037,-0.3028248872934925
ACH-000039,-0.2332431260783157
ACH-000040,-0.403592822117242
ACH-000041,-0.056618136331924585
ACH-000042,-0.1237028670280355
ACH-000045,-0.18604358027619208
ACH-000047,-0.1441873846522656
ACH-000052,-0.3976532195470753
ACH-000053,-0.2825470680007707
ACH-000054,-0.18801543371575
ACH-000055,-0.0809194288130783
ACH-000060,-0.2388328426037691
ACH-000067,-0.2014394968685617
ACH-000070,-0.2441901508842368
ACH-000075,-0.1878818265534049
ACH-000078,-0.32973785849321746
ACH-000082,-0.2986527586362689
ACH-000085,-0.40568701378696864
ACH-000086,-0.3864234204455636
ACH-000087,-0.3925212431495536
ACH-000092,-0.1318185948538071
ACH-000095,-0.2310771253852257
ACH-000097,-0.19087055731617367
ACH-000098,-0.4288416653173795
ACH-000099,-0.12896241800915695
ACH-000108,-0.20934488397835316
ACH-000113,-0.2016344847872254
ACH-000116,-0.2910758233058252
ACH-000118,-0.19919459044774634
ACH-000120,-0.34143820341716874
ACH-000123,-0.09941306005398036
ACH-000127,-0.18571053412344696
ACH-000128,-0.1238550437713794
ACH-000132,-0.19262898533786388
ACH-000133,-0.2630164316533503
ACH-000137,-0.39708050440829373
ACH-000138,-0.4309775938819732
ACH-000142,-0.17636719768212847
ACH-000143,-0.231563813229286
ACH-000146,-0.3614019476749799
ACH-000148,-0.06350771826355618
ACH-000150,-0.031756652824971886
ACH-000152,-0.2725074141778681
ACH-000153,-0.4064823993755374
ACH-000159,-0.21427338103414734
ACH-000160,-0.231776825090564
ACH-000163,-0.3422563118614657
ACH-000167,-0.11611169985094033
ACH-000168,-0.4948258399556783
ACH-000169,-0.30126257425481623
ACH-000178,-0.17029431065728054
ACH-000183,-0.13661307445987372
ACH-000188,-0.3358420378829711
ACH-000189,0.018460556712666127
ACH-000190,0.09438017425207264
ACH-000198,-0.29412270965574777
ACH-000203,-0.33962226952981706
ACH-000204,-0.2394113267856991
ACH-000206,-0.7052523583959686
ACH-000207,-0.08780357457975321
ACH-000208,-0.4364539235772443
ACH-000210,-0.17856207247448722
ACH-000211,-0.23006318690576524
ACH-000215,-0.3143729993760917
