,FAXC (84553)
ACH-000004,-0.033670598219097965
ACH-000005,0.16424876641313407
ACH-000007,-0.07140641297480994
ACH-000009,0.0045688348961339135
ACH-000011,0.046640553427313866
ACH-000012,-0.05346275212451156
ACH-000013,0.001123378564355882
ACH-000014,-0.053418925047237664
ACH-000015,0.059812626980947886
ACH-000017,0.01615909079515576
ACH-000018,-0.10904166516859824
ACH-000019,0.10215299570512314
ACH-000021,-0.08356043315656538
ACH-000022,0.04028805718840522
ACH-000025,-0.1047209099923162
ACH-000028,0.032290080632962084
ACH-000030,-0.03980010674157886
ACH-000035,-0.024741319986746863
ACH-000036,-0.1389549014951081
ACH-000037,0.03497486449003282
ACH-000039,-0.040675139550685344
ACH-000040,0.0282137834038175
ACH-000041,-0.024797341230783018
ACH-000042,-0.04109231443955853
ACH-000045,-0.1334565333648866
ACH-000047,-0.02282805056728084
ACH-000052,-0.08284211748627986
ACH-000053,-0.02708098575423488
ACH-000054,0.0963711121182574
ACH-000055,-0.037340736423230776
ACH-000060,-0.13224793994096642
ACH-000067,-0.04441098687466991
ACH-000070,0.006907328812390305
ACH-000075,-0.25762315776382194
ACH-000078,0.035166201971097565
ACH-000082,-0.1284369453888116
ACH-000085,-0.06946574388508038
ACH-000086,-0.0039780977279623994
ACH-000087,-0.07317181766215466
ACH-000092,-0.014158201748740237
ACH-000095,-0.09553436588175787
ACH-000097,-0.041636939396044834
ACH-000098,-0.0800286642186051
ACH-000099,-0.0009817532304874023
ACH-000108,-0.033258399447660895
ACH-000113,0.055360849039010604
ACH-000116,0.039364456914147264
ACH-000118,0.0364867280136667
ACH-000120,0.004599467229181569
ACH-000123,-0.09420116067613583
ACH-000127,0.037768284645369514
ACH-000128,-0.13642609535064512
ACH-000132,-0.13491271673422695
ACH-000133,-0.06949953230463136
ACH-000137,0.008467605930667218
ACH-000138,-0.06155467293490409
ACH-000142,-0.08884340912954984
ACH-000143,-0.15837126648232924
ACH-000146,-0.05892492757540794
ACH-000148,0.002470965458440788
