,OSGIN1 (29948)
ACH-000004,-0.24065550828176804
ACH-000005,-0.15455409340096693
ACH-000007,-0.0937591793366643
ACH-000009,-0.11618137646965886
ACH-000011,-0.05848791861555535
ACH-000012,-0.11795237195982212
ACH-000013,-0.13571060338497815
ACH-000014,-0.08089436432555018
ACH-000015,-0.05897480509275566
ACH-000017,-0.171058797684463
ACH-000018,-0.18099932576265287
ACH-000019,-0.07956124325915795
ACH-000021,-0.13622260999169625
ACH-000022,-0.10020001903507164
ACH-000025,-0.2442234037491956
ACH-000028,-0.01846771441769505
ACH-000030,0.07926346405914993
ACH-000035,-0.0500366642430322
ACH-000036,-0.208879793754826
ACH-000037,-0.06433784159249488
ACH-000039,-0.038692261372949996
ACH-000040,-0.21848428410740986
ACH-000041,-0.2205426753465861
ACH-000042,-0.13992466886334556
ACH-000045,-0.13799858324981384
ACH-000047,-0.2458304739395945
ACH-000052,-0.21130787430462789
ACH-000053,-0.02028021885405236
ACH-000054,-0.14013812178581386
ACH-000055,-0.13638669111022025
ACH-000060,-0.106648876142617
ACH-000067,-0.031852474145591565
ACH-000070,-0.06274667400100849
ACH-000075,-0.3101904231807289
ACH-000078,-0.1411280276415146
ACH-000082,-0.15775559817118284
ACH-000085,-0.06366978034398224
ACH-000086,-0.020409086329928525
ACH-000087,-0.0012629482285261638
ACH-000092,-0.0016254314744255935
ACH-000095,-0.21428971833115446
ACH-000097,-0.02121971935694484
ACH-000098,-0.08704183366694168
ACH-000099,-0.0977548159410322
ACH-000108,-0.0878056744688344
ACH-000113,-0.2381499177978261
ACH-000116,-0.1804609089008058
ACH-000118,0.0019298369071145817
ACH-000120,-0.2306432511061431
ACH-000123,-0.10992857759930066
ACH-000127,-0.10883881079896704
ACH-000128,-0.11610274718765545
ACH-000132,0.05540623274685889
ACH-000133,-0.2654719025515733
ACH-000137,-0.18791221362676108
ACH-000138,-0.17265577423270115
ACH-000142,-0.028655470955482282
ACH-000143,-0.05016170999795255
ACH-000146,-0.16202921739908172
ACH-000148,-0.06459457965093299
ACH-000150,-0.08362429986911027
ACH-000152,-0.10000517545018048
ACH-000153,-0.10391633453938057
ACH-000159,-0.17236388025690286
ACH-000160,-0.01878909672996024
ACH-000163,-0.09385889796487497
ACH-000167,0.3414813522065307
