,CHMP4A (29082)
ACH-000004,-0.17680989173213152
ACH-000005,-0.12417591593365293
ACH-000007,-0.16183020491772782
ACH-000009,-0.03442440485876589
ACH-000011,-0.09620220014233334
ACH-000012,-0.06755564201313641
ACH-000013,-0.06446065744814489
ACH-000014,-0.11076414231566094
ACH-000015,-0.044296323449585534
ACH-000017,-0.2482329006844489
ACH-000018,-0.15147655831945003
ACH-000019,-0.15915527119475645
ACH-000021,-0.07411780233195547
ACH-000022,-0.02868931765715592
ACH-000025,0.03550151538166816
ACH-000028,-0.1302055184420561
ACH-000030,-0.1312850490879997
ACH-000035,-0.16970885878871594
ACH-000036,-0.015234918425292085
ACH-000037,0.030454782771275456
ACH-000039,-0.13847842865366364
ACH-000040,-0.16962206024723422
ACH-000041,-0.056567148404308966
ACH-000042,-0.04143165609455896
ACH-000045,-0.03329554807218366
ACH-000047,-0.23897801786932696
ACH-000052,-0.053123748885481416
ACH-000053,-0.09656296881032082
ACH-000054,-0.15812444985535976
ACH-000055,-0.20328848149006284
ACH-000060,-0.3122883719531215
ACH-000067,-0.17185752928505646
ACH-000070,-0.024696351434342536
ACH-000075,-0.026194263421996
ACH-000078,-0.0338124375508958
ACH-000082,-0.1689138137063141
ACH-000085,-0.059852645390002186
ACH-000086,-0.141216728501396
ACH-000087,-0.07971390575567516
ACH-000092,-0.09659493933719536
ACH-000095,-0.17868344270575814
ACH-000097,-0.2592130007946053
ACH-000098,-0.07871535314448379
ACH-000099,0.057411281089089314
ACH-000108,0.0015838156424529321
ACH-000113,-0.15452794098076564
ACH-000116,-0.11831397908325228
ACH-000118,-0.151002374578681
ACH-000120,0.007052871078409484
ACH-000123,-0.04184224899862375
ACH-000127,-0.12820369665862796
ACH-000128,-0.11937922202564505
ACH-000132,0.02550893611632424
ACH-000133,-0.16447735136552255
ACH-000137,-0.09233655245972028
ACH-000138,-0.01810808178153924
ACH-000142,-0.054992827764411785
ACH-000143,-0.055702818031987615
ACH-000146,-0.08778824731475778
ACH-000148,-0.1704401490502267
ACH-000150,0.051124486525689086
ACH-000152,-0.1847295006422432
ACH-000153,-0.06706202200222737
ACH-000159,-0.1886221629715433
ACH-000160,-0.3975677031870731
ACH-000163,-0.1583933666476564
ACH-000167,-0.2698478000919705
ACH-000168,-0.10315863557109356
ACH-000169,-0.03659791085279
ACH-000178,-0.05201179501911464
ACH-000183,-0.1593313672454963
ACH-000188,-0.0731099747815133
ACH-000189,-0.0352662968348002
ACH-000190,-0.04552368829764646
ACH-000198,-0.12010979139384224
ACH-000203,0.21252544352991046
ACH-000204,0.04089667989683639
ACH-000206,-0.07367692878382427
ACH-000207,-0.2119106133151509
ACH-000208,-0.28810442770637346
ACH-000210,-0.1399318152804681
ACH-000211,-0.10042630498228347
ACH-000215,-0.07775613554222696
ACH-000221,0.06012606592305288
ACH-000222,-0.06909434028544748
ACH-000223,-0.07213632003539673
ACH-000226,-0.06262242829304808
ACH-000227,-0.01224747735760593
ACH-000228,-0.15415592076626602
ACH-000231,-0.1980871546659864
ACH-000232,-0.09251424293391099
ACH-000233,-0.06845915373116315
ACH-000234,-0.1706921351049928
