,MOV10L1 (54456)
ACH-000004,-0.17352818063556585
ACH-000005,-0.13666458296845865
ACH-000007,-0.016256272806969754
ACH-000009,-0.11817354687049032
ACH-000011,-0.03987552628883671
ACH-000012,-0.10411317477292772
ACH-000013,-0.011947960439615091
ACH-000014,0.15276576830242491
ACH-000015,-0.02853135139735565
ACH-000017,-0.07294876368328564
ACH-000018,-0.0033835893433026088
ACH-000019,0.09394310835874166
ACH-000021,0.01054372029747305
ACH-000022,-0.044445717958744836
ACH-000025,-0.2067797329607386
ACH-000028,-0.04962123451573837
ACH-000030,-0.2087248098151494
ACH-000035,0.0052860153935262106
ACH-000036,-0.054669772394139914
ACH-000037,-0.11850661612703313
ACH-000039,-0.18821415556110135
ACH-000040,-0.12353961135102892
ACH-000041,-0.0543942329561105
ACH-000042,-0.05164988861730303
ACH-000045,0.01984430385657501
ACH-000047,-0.08132739154351096
ACH-000052,-0.02650146726169831
ACH-000053,-0.08257186675709363
ACH-000054,-0.10404422225323576
ACH-000055,-0.17799118025772834
ACH-000060,-0.15282426411215008
ACH-000067,0.04894850563956038
ACH-000070,0.03151210096201094
ACH-000075,-0.1550055265562133
ACH-000078,-0.1367020031351118
ACH-000082,-0.06391611129420728
ACH-000085,-0.2341790215982185
ACH-000086,0.1665858504276287
ACH-000087,-0.14682644987711632
ACH-000092,0.09077600160398457
ACH-000095,-0.06182788124708249
ACH-000097,0.09048926958066901
ACH-000098,-0.08873053678483883
ACH-000099,-0.14499403946206613
ACH-000108,-0.07589983502892954
ACH-000113,-0.03377633118381385
ACH-000116,0.04533393659940725
ACH-000118,-0.016730297945087298
ACH-000120,0.01559072910646204
ACH-000123,-0.13868976861021395
ACH-000127,-0.05447454444105377
ACH-000128,-0.06432071211525976
ACH-000132,0.0845576843366301
ACH-000133,0.08907161471867082
ACH-000137,-0.023661846341192862
ACH-000138,0.005179569858954215
ACH-000142,0.050278081700208616
ACH-000143,-0.26338375671087444
ACH-000146,-0.04020837166779991
ACH-000148,0.002028082229735279
ACH-000150,0.024167409131132918
